seconds, accX, accY, accZ, temp
1,0.07,1.29,0.30,39.99
1,0.09,2.05,0.54,38.15
1,0.09,2.05,0.01,38.69
1,-0.05,1.00,0.01,38.69
1,-0.19,-0.02,-0.43,41.08
1,-0.05,0.59,-0.14,36.31
1,-0.05,0.59,0.29,37.89
1,-0.00,1.48,0.26,37.93
1,0.06,2.03,0.45,37.93
1,0.10,0.83,-0.09,39.09
1,-0.12,-0.07,-0.42,36.92
1,-0.18,-0.07,-0.41,37.47
1,0.00,0.70,-0.03,37.47
1,0.01,1.59,0.40,39.65
1,0.13,1.59,0.44,38.00
1,0.07,1.99,0.44,38.00
1,-0.10,0.73,-0.16,40.05
1,-0.10,0.73,-0.42,37.90
1,-0.18,-0.11,-0.42,37.90
1,-0.08,0.80,-0.03,39.11
1,-0.08,0.81,0.41,38.24
1,0.09,1.74,0.41,38.19
1,-0.02,1.87,0.34,37.41
1,-0.02,0.55,-0.26,37.37
1,-0.08,0.55,-0.26,40.02
1,-0.09,-0.04,-0.37,40.02
1,-0.09,0.85,0.09,42.24
1,0.01,0.85,0.09,39.80
1,0.11,1.83,0.49,39.80
1,0.10,1.62,0.28,37.54
1,-0.03,1.62,0.27,37.89
1,-0.09,0.42,-0.29,37.89
1,-0.14,0.23,-0.33,37.91
1,-0.14,0.23,0.10,39.21
1,0.01,0.97,0.10,39.21
1,0.05,1.89,0.45,42.54
1,0.05,1.89,0.19,40.99
1,-0.05,1.45,0.19,40.91
1,-0.11,0.37,-0.35,37.00
1,-0.11,0.32,-0.24,38.77
1,-0.04,0.38,-0.24,38.67
1,0.13,1.19,0.23,37.10
1,0.13,1.95,0.52,37.46
1,0.11,1.95,0.52,38.84
1,-0.07,1.26,0.13,38.84
1,-0.11,0.16,-0.41,38.73
1,-0.17,0.16,-0.39,41.32
1,-0.05,0.50,-0.20,41.32
1,-0.04,1.40,0.27,39.31
1,0.02,1.40,0.47,38.96
1,0.04,2.01,0.47,38.96
1,-0.05,1.04,-0.02,37.13
1,-0.05,1.04,-0.42,39.88
1,-0.17,0.06,-0.42,39.95
1,-0.01,0.54,-0.13,36.82
1,-0.01,0.51,0.34,35.87
1,0.10,1.45,0.34,35.22
1,0.09,2.02,0.49,39.92
1,0.09,0.90,-0.05,39.13
1,-0.07,0.90,-0.05,38.71
1,-0.21,-0.08,-0.43,38.71
1,-0.21,0.65,-0.11,38.03
1,-0.03,0.65,-0.10,37.04
1,0.04,1.59,0.34,37.04
1,0.01,2.01,0.41,39.45
1,0.01,2.01,0.39,40.89
1,-0.09,0.71,-0.17,40.89
1,-0.14,-0.14,-0.41,39.05
1,-0.14,-0.14,0.01,41.13
1,-0.00,0.77,0.01,41.13
1,0.13,1.71,0.46,39.22
1,0.13,1.74,0.39,36.60
1,0.03,1.86,0.39,35.98
1,-0.07,0.59,-0.23,39.90
1,-0.07,-0.00,-0.37,39.04
1,-0.14,-0.00,-0.37,37.97
1,-0.08,0.85,0.03,37.97
1,-0.08,1.82,0.41,39.81
1,0.09,1.82,0.41,38.57
1,-0.02,1.70,0.25,38.57
1,-0.03,0.49,-0.29,39.61
1,-0.09,0.49,-0.26,40.65
1,-0.10,0.14,-0.32,40.65
1,0.06,1.01,0.14,39.95
1,0.06,1.01,0.49,37.27
1,0.12,1.85,0.49,37.27
1,-0.05,1.49,0.22,38.16
1,-0.05,1.48,-0.35,38.09
1,-0.12,0.35,-0.35,37.70
1,-0.08,0.39,-0.27,40.05
1,-0.08,0.39,0.16,38.93
1,0.06,1.20,0.16,38.86
1,0.03,1.93,0.46,38.08
1,0.03,1.30,0.09,39.28
1,-0.06,1.30,0.09,39.16
1,-0.13,0.19,-0.38,39.16
1,-0.13,0.47,-0.17,38.37
1,-0.01,0.47,-0.15,37.24
1,0.13,1.32,0.28,37.24
1,0.16,1.98,0.51,37.56
1,0.10,1.98,0.04,39.10
1,-0.02,1.08,0.04,39.10
1,-0.22,0.04,-0.41,39.30
1,-0.22,0.04,-0.18,37.47
1,-0.02,0.52,-0.18,37.47
1,0.01,1.43,0.28,38.97
1,0.01,1.40,0.47,38.55
1,0.06,2.03,0.47,38.80
1,-0.11,0.95,-0.06,38.80
1,-0.11,-0.06,-0.43,39.32
1,-0.20,-0.06,-0.43,38.18
1,0.02,0.67,-0.07,38.18
1,0.02,1.56,0.39,38.44
1,0.10,1.56,0.40,39.93
1,0.04,2.02,0.46,39.93
1,0.05,0.76,-0.15,38.82
1,-0.07,0.76,-0.16,38.63
1,-0.17,-0.12,-0.41,38.63
1,-0.10,0.76,-0.06,40.65
1,-0.10,0.76,0.36,39.05
1,0.09,1.70,0.36,39.05
1,0.02,1.91,0.35,38.47
1,0.02,1.92,-0.23,38.91
1,-0.08,0.61,-0.23,38.35
1,-0.12,-0.08,-0.39,37.57
1,-0.12,-0.12,0.06,41.23
1,-0.00,0.82,0.06,40.39
1,0.14,1.76,0.46,40.39
1,0.14,1.72,0.31,37.50
1,0.02,1.72,0.31,38.41
1,-0.10,0.51,-0.27,38.41
1,-0.11,0.16,-0.35,39.54
1,-0.11,0.16,-0.35,37.61
1,-0.02,0.96,0.09,37.61
1,0.03,1.90,0.46,40.34
1,0.03,1.90,0.21,37.71
1,-0.05,1.52,0.21,37.71
1,-0.10,0.36,-0.35,38.94
1,-0.10,0.36,-0.27,38.03
1,-0.03,0.35,-0.27,37.70
1,0.08,1.14,0.21,39.26
1,0.08,1.13,0.51,38.56
1,0.09,1.94,0.51,38.59
1,-0.05,1.33,0.13,38.59
1,-0.05,0.20,-0.37,38.37
1,-0.17,0.20,-0.37,39.05
1,-0.08,0.44,-0.23,39.05
1,-0.11,1.29,0.21,39.48
1,0.08,1.29,0.21,40.70
1,0.06,1.97,0.46,40.70
1,0.05,1.14,0.04,37.83
1,-0.08,1.14,0.02,37.91
1,-0.18,0.14,-0.41,37.91
1,0.02,0.51,-0.14,39.94
1,0.02,0.51,0.34,38.68
1,0.11,1.40,0.34,38.68
1,0.08,2.03,0.52,38.89
1,0.08,2.04,-0.04,40.09
1,-0.07,0.92,-0.04,39.90
1,-0.19,-0.06,-0.44,40.69
1,-0.19,-0.01,-0.11,39.55
1,-0.07,0.62,-0.11,38.77
1,0.00,1.57,0.33,38.77
1,0.00,2.01,0.42,37.51
1,0.05,2.01,0.42,37.44
1,-0.08,0.75,-0.13,37.44
1,-0.09,-0.09,-0.41,37.86
1,-0.15,-0.09,-0.38,40.05
1,0.00,0.73,-0.01,40.05
1,0.15,1.64,0.42,39.27
1,0.15,1.64,0.40,40.71
1,0.07,1.91,0.40,40.71
1,-0.10,0.68,-0.19,38.22
1,-0.10,0.68,-0.40,37.58
1,-0.17,-0.07,-0.40,38.04
1,-0.08,0.82,-0.00,38.04
1,-0.08,1.78,0.41,39.23
1,0.07,1.78,0.41,37.86
1,-0.04,1.77,0.30,37.86
1,-0.04,0.52,-0.30,39.02
1,-0.07,0.52,-0.30,40.21
1,-0.09,0.06,-0.35,40.21
1,-0.11,0.94,0.13,39.60
1,0.01,0.94,0.18,39.88
1,0.09,1.86,0.49,39.88
1,-0.04,1.52,0.25,37.84
1,-0.04,1.52,-0.33,39.46
1,-0.10,0.35,-0.33,39.46
1,-0.11,0.32,-0.29,37.99
1,-0.11,0.36,0.13,38.01
1,0.03,1.05,0.13,38.12
1,0.05,1.90,0.46,38.90
1,0.05,1.93,0.14,38.23
1,-0.05,1.37,0.14,38.16
1,-0.12,0.31,-0.36,38.94
1,-0.12,0.44,-0.19,39.43
1,-0.02,0.44,-0.19,38.15
1,0.12,1.26,0.26,38.15
1,0.11,1.95,0.51,38.27
1,0.11,1.95,0.54,38.51
1,-0.06,1.17,0.10,38.51
1,-0.01,0.10,-0.41,36.25
1,-0.20,0.10,-0.17,37.94
1,-0.04,0.56,-0.17,37.94
1,0.01,1.44,0.25,39.68
1,0.01,1.44,0.46,39.39
1,0.06,2.01,0.46,39.85
1,-0.07,0.96,-0.06,40.64
1,-0.07,0.99,-0.42,38.84
1,-0.18,-0.01,-0.42,38.68
1,-0.02,0.61,-0.07,39.46
1,-0.02,1.52,0.38,38.87
1,0.09,1.52,0.38,37.84
1,0.07,2.00,0.47,37.84
1,0.07,0.80,-0.09,40.82
1,-0.08,0.80,-0.07,39.66
1,-0.20,-0.11,-0.45,39.66
1,-0.23,0.71,-0.09,39.13
1,-0.04,0.71,-0.10,38.48
1,0.09,1.66,0.34,38.48
1,0.01,1.98,0.40,37.10
1,0.01,1.98,-0.19,39.17
1,-0.10,0.65,-0.19,39.17
1,-0.12,-0.14,-0.40,39.56
2,-0.07,0.87,0.05,36.78
2,-0.07,1.84,0.43,39.77
2,0.06,1.84,0.42,39.65
