seconds, accX, accY, accZ, temp
1,-0.06,0.86,0.07,43.14
1,-0.01,1.66,0.24,43.14
1,-0.03,1.59,0.18,42.88
1,-0.03,1.59,-0.02,41.70
1,-0.08,0.61,-0.02,41.70
1,-0.09,0.24,-0.06,41.06
1,-0.09,0.21,0.14,41.63
1,-0.00,0.90,0.14,41.94
1,0.05,1.71,0.32,41.16
1,0.05,1.54,0.22,44.72
1,0.01,1.54,0.22,41.55
1,-0.10,0.56,-0.00,41.55
1,-0.07,0.28,-0.06,42.70
1,-0.14,0.28,-0.03,43.86
1,-0.03,0.95,0.09,43.86
1,0.03,1.74,0.23,42.99
1,0.03,1.74,0.15,40.52
1,-0.03,1.49,0.15,40.43
1,-0.11,0.50,-0.03,37.29
1,-0.11,0.28,-0.05,40.43
1,-0.08,0.28,-0.05,42.15
1,0.02,1.00,0.17,42.15
1,0.02,1.78,0.30,42.22
1,0.08,1.78,0.27,41.61
1,-0.02,1.43,0.20,41.61
1,-0.11,0.45,-0.02,40.31
1,-0.11,0.45,-0.06,41.86
1,-0.10,0.35,-0.06,41.47
1,-0.05,1.09,0.12,39.91
1,-0.05,1.07,0.24,42.73
1,0.01,1.82,0.24,41.09
1,-0.03,1.38,0.13,41.09
1,-0.03,0.41,-0.06,42.92
1,-0.10,0.41,-0.02,41.15
1,-0.09,0.35,-0.02,41.15
1,-0.11,1.10,0.20,41.96
1,0.01,1.10,0.31,40.77
1,0.06,1.80,0.31,40.77
1,-0.01,1.30,0.16,44.27
1,-0.01,1.28,-0.04,43.45
1,-0.12,0.34,-0.04,43.33
1,-0.11,0.39,-0.03,42.55
1,-0.11,1.17,0.13,40.91
1,-0.01,1.17,0.13,43.84
1,0.03,1.84,0.25,43.84
1,0.02,1.28,0.11,41.85
1,-0.05,1.28,-0.05,42.41
1,-0.12,0.33,-0.05,42.41
1,-0.05,0.44,-0.00,40.08
1,-0.05,0.42,0.21,41.62
1,0.04,1.23,0.21,41.96
1,0.08,1.83,0.31,43.53
1,0.08,1.20,0.14,41.89
1,-0.04,1.20,0.14,42.61
1,-0.12,0.26,-0.05,42.61
1,-0.08,0.47,-0.02,40.56
1,-0.08,0.47,-0.02,41.46
1,-0.03,1.26,0.17,41.46
1,0.01,1.83,0.26,38.59
1,0.01,1.83,0.08,39.83
1,-0.04,1.13,0.08,39.18
1,-0.11,0.23,-0.07,39.18
1,-0.11,0.19,0.03,42.12
1,-0.06,0.50,0.03,41.11
1,0.04,1.33,0.24,41.11
1,0.06,1.83,0.29,41.27
1,0.06,1.83,0.30,39.21
1,-0.04,1.07,0.11,39.21
1,-0.13,0.21,-0.06,39.44
1,-0.13,0.21,0.00,39.33
1,-0.08,0.55,0.00,39.33
1,0.01,1.37,0.18,40.04
1,0.01,1.32,0.22,40.28
1,0.02,1.82,0.22,42.44
1,-0.07,0.99,0.06,42.44
1,-0.07,0.17,-0.07,42.43
1,-0.12,0.17,-0.07,42.48
1,-0.03,0.60,0.05,42.48
1,-0.06,1.41,0.26,43.70
1,0.06,1.41,0.28,41.56
1,0.05,1.79,0.28,41.56
1,-0.06,0.93,0.10,44.83
1,-0.06,0.93,-0.08,39.91
1,-0.09,0.18,-0.08,40.33
1,-0.09,0.68,0.04,42.68
1,-0.09,1.47,0.21,42.35
1,-0.01,1.47,0.21,42.34
1,0.01,1.79,0.22,42.34
1,0.05,0.87,0.03,37.50
1,-0.07,0.87,0.05,42.04
1,-0.12,0.17,-0.07,42.04
1,-0.03,0.68,0.08,40.98
1,-0.03,0.63,0.28,41.95
1,0.06,1.50,0.28,42.14
1,0.04,1.71,0.27,42.92
1,0.04,0.78,0.05,43.55
1,-0.06,0.78,0.05,41.00
1,-0.14,0.17,-0.06,41.00
1,-0.18,0.75,0.05,43.20
1,-0.06,0.75,0.02,41.47
1,0.02,1.58,0.21,41.47
1,0.01,1.71,0.20,39.89
1,0.01,1.71,0.01,43.54
1,-0.10,0.75,0.01,43.77
1,-0.09,0.20,-0.07,42.21
1,-0.09,0.23,0.10,40.19
1,-0.00,0.80,0.10,41.17
1,0.06,1.62,0.29,41.17
1,0.06,1.64,0.24,44.99
1,0.03,1.64,0.22,40.19
1,-0.09,0.65,0.03,40.19
1,-0.11,0.19,-0.08,41.40
1,-0.11,0.19,0.07,40.38
1,-0.06,0.84,0.07,40.38
1,-0.00,1.66,0.24,40.72
1,-0.00,1.67,0.19,40.23
1,-0.01,1.61,0.19,40.48
1,-0.08,0.62,-0.02,42.83
