seconds, accX, accY, accZ, temp
30,0.03,1.05,0.14,41.26
30,0.04,2.02,0.51,41.49
30,0.16,2.02,0.55,37.88
30,-0.05,1.49,0.18,37.88
30,-0.10,0.26,-0.40,38.82
30,-0.10,0.26,-0.23,39.31
30,-0.01,0.33,-0.23,39.31
30,0.05,1.12,0.27,39.30
30,0.05,1.12,0.56,40.51
30,0.10,2.07,0.56,39.90
30,-0.06,1.32,0.11,39.12
30,-0.06,1.33,-0.46,40.91
30,-0.15,0.08,-0.46,41.42
30,-0.06,0.45,-0.22,38.29
30,-0.06,1.19,0.23,39.31
30,-0.04,1.19,0.23,40.64
30,0.04,2.12,0.49,40.64
30,0.03,1.11,-0.02,37.64
30,-0.04,1.11,-0.02,39.48
30,-0.17,0.02,-0.46,39.48
30,-0.16,0.47,-0.15,38.29
30,0.03,0.47,-0.14,36.81
30,0.21,1.46,0.36,36.81
30,0.12,2.08,0.55,40.39
30,0.12,2.08,-0.05,39.56
30,-0.08,0.91,-0.05,39.56
30,-0.22,-0.13,-0.48,39.58
30,-0.22,-0.15,-0.12,38.48
30,-0.01,0.60,-0.12,39.07
30,0.23,1.71,0.39,36.72
30,0.23,1.70,0.45,36.66
30,0.04,2.08,0.45,38.23
30,-0.09,0.68,-0.18,38.23
30,-0.09,-0.20,-0.45,39.97
30,-0.15,-0.20,-0.45,38.86
30,0.04,0.74,0.02,38.86
30,0.04,1.77,0.46,38.71
30,0.10,1.77,0.45,39.93
30,0.05,2.00,0.45,39.93
30,-0.09,0.57,-0.23,37.78
30,-0.09,0.57,-0.44,38.40
30,-0.18,-0.17,-0.44,38.40
30,-0.01,0.83,-0.01,37.26
30,-0.01,0.83,0.43,36.13
30,0.01,1.88,0.43,36.45
30,0.03,1.87,0.31,38.80
30,0.03,1.82,-0.31,37.75
30,-0.13,0.45,-0.31,38.30
30,-0.11,-0.08,-0.40,37.51
30,-0.11,0.94,0.12,36.62
30,0.06,0.94,0.12,35.71
30,0.18,1.95,0.53,35.71
30,0.18,1.69,0.29,38.60
30,-0.01,1.69,0.26,38.64
30,-0.09,0.33,-0.37,38.64
30,-0.10,0.21,-0.33,39.97
30,-0.10,0.21,-0.35,38.68
30,-0.02,1.05,0.15,38.68
30,0.15,2.03,0.50,37.15
30,0.15,2.03,0.16,37.78
30,-0.02,1.46,0.16,37.78
30,-0.11,0.22,-0.41,38.28
30,-0.11,0.21,-0.23,39.72
30,-0.04,0.34,-0.23,39.66
30,0.05,1.12,0.28,39.66
30,0.05,1.11,0.54,39.06
30,0.11,2.05,0.54,37.55
30,-0.03,1.31,0.10,37.55
30,-0.03,0.11,-0.45,36.84
30,-0.19,0.11,-0.45,37.93
30,-0.01,0.44,-0.24,37.93
30,-0.03,1.20,0.25,39.82
30,-0.03,1.20,0.25,36.40
30,0.01,2.15,0.50,36.40
30,0.06,1.10,-0.02,37.39
30,-0.07,1.10,-0.48,38.64
30,-0.18,-0.02,-0.48,38.64
30,0.04,0.50,-0.13,39.08
30,0.04,0.50,0.38,38.90
30,0.21,1.49,0.38,38.90
30,0.09,2.13,0.55,42.01
30,0.09,2.16,-0.09,39.34
30,-0.06,0.84,-0.09,39.66
30,-0.19,-0.13,-0.47,38.87
30,-0.19,0.58,-0.13,39.54
30,-0.05,0.58,-0.13,37.36
30,0.23,1.68,0.36,37.36
30,0.23,2.08,0.45,38.44
30,0.08,2.08,0.45,40.96
30,-0.10,0.68,-0.17,40.96
30,-0.11,-0.17,-0.46,38.35
30,-0.17,-0.17,-0.44,38.30
30,0.05,0.75,-0.00,38.30
30,0.11,1.73,0.46,36.40
30,0.11,1.73,0.44,38.58
30,0.06,2.01,0.44,38.58
30,-0.13,0.57,-0.23,38.21
30,-0.13,0.57,-0.44,36.84
30,-0.15,-0.14,-0.44,36.78
30,-0.02,0.86,0.00,38.34
30,-0.02,0.87,0.45,36.04
30,-0.01,1.94,0.45,36.31
30,0.01,1.84,0.29,37.88
30,0.01,0.40,-0.33,36.56
30,-0.10,0.40,-0.33,37.00
30,-0.10,-0.01,-0.38,37.00
30,-0.07,0.94,0.13,40.24
30,0.05,0.94,0.16,38.96
30,0.17,1.94,0.53,38.96
30,0.13,1.64,0.26,38.22
30,0.00,1.64,0.26,39.41
30,-0.11,0.32,-0.36,39.41
30,-0.09,0.19,-0.33,37.97
30,-0.09,0.19,0.15,39.45
30,-0.01,1.05,0.15,39.45
30,0.15,2.03,0.53,36.15
30,0.15,2.02,0.17,39.12
30,-0.05,1.45,0.17,39.37
30,-0.11,0.22,-0.40,40.15
30,-0.11,0.23,-0.23,37.59
30,-0.02,0.36,-0.23,36.06
30,0.04,1.14,0.27,36.06
30,0.04,2.08,0.56,38.95
30,0.10,2.08,0.56,37.96
30,-0.05,1.27,0.10,37.96
30,-0.03,0.07,-0.45,38.27
30,-0.16,0.07,-0.46,36.50
30,-0.07,0.44,-0.21,36.50
30,-0.12,1.21,0.25,38.41
30,0.01,1.21,0.47,39.95
30,0.05,2.11,0.47,39.95
30,-0.04,1.08,-0.03,37.75
30,-0.04,1.08,-0.47,38.64
30,-0.17,0.02,-0.47,38.64
30,0.04,0.51,-0.12,37.48
30,0.04,0.55,0.38,34.90
30,0.22,1.49,0.38,34.76
30,0.12,2.09,0.54,40.25
30,0.12,0.87,-0.07,40.83
30,-0.10,0.87,-0.07,36.49
30,-0.20,-0.13,-0.49,36.49
30,-0.20,0.64,-0.09,38.29
30,-0.03,0.64,-0.09,39.10
30,0.20,1.75,0.36,39.10
30,0.24,2.06,0.44,37.51
30,0.05,2.06,0.44,36.49
30,-0.08,0.64,-0.18,36.49
30,-0.14,-0.19,-0.45,38.32
30,-0.14,-0.19,0.02,40.93
30,0.03,0.77,0.02,40.93
30,0.09,1.77,0.48,36.57
30,0.09,1.77,0.43,35.18
30,0.06,1.98,0.43,34.51
30,-0.10,0.56,-0.25,41.56
30,-0.10,0.55,-0.43,41.38
30,-0.18,-0.14,-0.43,40.76
30,0.01,0.87,0.01,36.85
30,0.01,1.90,0.44,36.04
30,0.00,1.90,0.44,39.05
30,-0.01,1.86,0.30,39.05
30,-0.01,0.43,-0.33,40.63
30,-0.10,0.43,-0.37,37.84
30,-0.07,-0.03,-0.37,37.84
30,-0.07,0.96,0.13,38.15
30,0.06,0.96,0.16,36.96
30,0.18,1.96,0.53,36.96
