seconds, accX, accY, accZ, temp
1,-0.21,1.02,0.09,43.10
1,-0.11,0.89,0.09,48.55
1,0.07,1.16,0.03,48.55
1,0.08,1.01,0.07,42.82
1,0.14,1.01,0.10,46.30
1,-0.03,0.90,0.22,46.30
1,-0.20,1.04,0.16,43.92
1,-0.20,1.00,0.11,47.40
1,-0.17,0.88,0.11,47.13
1,0.03,1.12,0.04,43.99
1,0.03,1.07,0.06,43.36
1,0.17,1.07,0.06,46.30
1,0.01,0.90,0.18,46.30
1,0.06,1.03,0.21,45.27
1,-0.19,1.03,0.19,42.22
1,-0.20,0.91,0.13,42.22
1,-0.04,1.05,0.06,42.96
1,-0.04,1.05,0.04,46.14
1,0.16,1.11,0.04,45.98
1,0.05,0.93,0.15,43.63
1,0.05,0.92,0.23,43.09
1,-0.15,0.99,0.23,43.31
1,-0.21,0.96,0.13,43.31
1,-0.21,0.98,0.07,47.06
1,-0.06,0.98,0.09,43.01
1,0.13,1.15,0.03,43.01
1,0.09,0.96,0.11,44.33
1,0.09,0.96,0.24,45.23
1,-0.09,0.95,0.24,45.23
1,-0.21,1.00,0.14,42.83
1,-0.21,1.03,0.10,40.31
1,-0.10,0.90,0.10,40.23
1,0.08,1.17,0.03,44.93
1,0.08,1.00,0.09,47.21
1,0.14,1.00,0.10,39.63
1,-0.05,0.90,0.23,39.63
1,-0.03,1.03,0.15,43.28
1,-0.21,1.03,0.11,40.87
1,-0.16,0.89,0.11,40.87
1,0.03,1.14,0.04,44.32
1,0.03,1.18,0.06,43.79
1,0.16,1.05,0.06,43.56
1,0.01,0.91,0.20,42.78
1,0.01,1.03,0.19,42.89
1,-0.20,1.03,0.19,43.15
1,-0.19,0.90,0.13,43.15
1,-0.20,1.06,0.05,41.85
1,-0.01,1.06,0.04,47.01
1,0.16,1.10,0.04,47.01
1,0.05,0.91,0.16,45.13
1,0.05,0.91,0.23,46.07
1,-0.16,1.00,0.23,45.64
1,-0.22,0.94,0.14,44.08
1,-0.22,1.00,0.07,43.88
1,-0.06,1.00,0.07,40.26
1,0.14,1.14,0.03,40.26
1,0.14,0.95,0.12,46.08
1,0.10,0.95,0.11,42.52
1,-0.12,0.96,0.23,42.52
1,-0.21,0.99,0.14,42.77
1,-0.21,0.99,0.09,42.32
1,-0.09,0.92,0.09,42.32
1,0.08,1.16,0.03,44.26
1,0.08,1.18,0.09,46.61
1,0.13,0.99,0.09,46.48
1,-0.06,0.92,0.23,42.56
1,-0.06,1.04,0.15,43.54
1,-0.20,1.04,0.17,49.43
1,-0.14,0.88,0.11,49.43
1,-0.15,1.14,0.03,46.63
1,0.04,1.14,0.07,46.86
1,0.15,1.04,0.07,46.86
1,-0.00,0.91,0.20,45.59
1,-0.00,0.91,0.20,45.90
1,-0.19,1.04,0.20,46.08
1,-0.18,0.89,0.13,43.73
1,-0.18,1.09,0.05,47.58
1,-0.01,1.09,0.05,45.66
1,0.16,1.08,0.05,45.66
1,0.17,0.91,0.16,46.86
1,0.04,0.91,0.15,44.02
1,-0.18,1.01,0.21,44.02
1,-0.20,0.94,0.14,41.15
1,-0.20,0.88,0.07,44.11
1,-0.06,1.01,0.07,44.01
1,0.14,1.12,0.03,43.23
1,0.14,0.94,0.13,42.29
1,0.08,0.94,0.13,41.69
1,-0.12,0.97,0.23,41.69
1,-0.09,0.98,0.14,47.05
1,-0.21,0.98,0.15,40.09
1,-0.09,0.94,0.08,40.09
1,0.09,1.15,0.03,40.21
1,0.09,1.15,0.10,43.38
1,0.12,0.97,0.10,43.76
1,-0.08,0.93,0.24,43.76
1,-0.08,0.89,0.15,45.89
1,-0.21,1.02,0.15,44.48
1,-0.13,0.89,0.11,44.48
1,-0.13,1.16,0.03,41.88
1,0.05,1.16,0.01,40.30
1,0.15,1.03,0.07,40.30
1,-0.02,0.91,0.22,43.87
1,-0.02,0.91,0.17,43.98
1,-0.20,1.04,0.17,43.98
1,-0.18,0.89,0.12,48.64
1,-0.18,0.92,0.05,39.91
1,0.00,1.10,0.05,40.25
1,0.16,1.07,0.05,48.09
1,0.16,0.91,0.17,45.99
1,0.02,0.91,0.15,42.23
1,-0.18,1.02,0.21,42.23
1,-0.14,0.92,0.14,41.53
1,-0.20,0.92,0.06,39.82
1,-0.04,1.03,0.06,39.82
1,0.15,1.12,0.04,43.66
1,0.15,1.12,0.14,42.78
1,0.07,0.93,0.14,42.96
1,-0.13,0.97,0.23,42.17
1,-0.13,0.97,0.14,43.71
1,-0.22,0.97,0.14,44.74
1,-0.08,0.97,0.09,44.74
1,-0.08,1.15,0.04,48.96
1,0.11,1.15,0.05,39.94
1,0.10,0.97,0.11,39.94
1,-0.09,0.94,0.24,41.50
1,-0.09,0.94,0.14,43.70
1,-0.21,1.01,0.14,43.25
1,-0.12,0.91,0.10,47.95
1,-0.12,1.15,0.03,48.67
1,0.07,1.15,0.03,43.16
1,0.14,1.01,0.08,43.16
1,0.15,0.91,0.22,46.09
1,-0.03,0.91,0.22,39.60
1,-0.20,1.03,0.16,39.60
1,-0.17,0.89,0.12,39.98
1,-0.17,0.89,0.04,37.26
1,0.02,1.12,0.04,37.44
1,0.15,1.06,0.06,42.14
1,0.15,1.10,0.19,45.51
1,0.01,0.92,0.19,46.86
1,-0.18,1.02,0.21,46.86
1,-0.18,0.91,0.13,49.22
1,-0.19,0.91,0.18,44.38
1,-0.03,1.05,0.05,44.38
1,-0.04,1.10,0.04,42.79
1,0.15,1.10,0.15,46.74
1,0.05,0.93,0.15,46.74
1,-0.14,0.99,0.22,38.79
1,-0.14,0.95,0.13,43.23
1,-0.21,0.95,0.13,43.05
1,-0.07,0.98,0.08,47.75
1,-0.07,1.14,0.03,41.14
1,0.11,1.14,0.03,46.60
1,0.10,0.97,0.11,46.60
1,0.10,0.95,0.24,40.86
1,-0.09,0.95,0.14,45.39
1,-0.21,1.01,0.14,45.39
1,-0.10,0.92,0.09,41.75
1,-0.10,0.90,0.03,43.16
1,0.08,1.15,0.03,43.19
1,0.14,0.99,0.08,48.68
1,0.14,0.91,0.23,48.27
1,-0.03,0.91,0.23,42.42
1,-0.21,1.02,0.16,42.42
1,-0.22,0.89,0.11,40.32
1,-0.15,0.89,0.11,44.74
1,0.03,1.12,0.04,44.74
1,0.15,1.05,0.07,40.03
1,0.15,1.05,0.19,42.02
1,0.00,0.92,0.19,42.07
1,-0.20,1.03,0.20,42.85
1,-0.20,1.03,0.13,43.56
1,-0.19,0.90,0.13,47.42
1,-0.02,1.06,0.06,47.42
1,-0.04,1.09,0.05,41.82
1,0.15,1.09,0.02,41.45
1,0.05,0.93,0.15,41.45
1,-0.15,1.00,0.22,46.38
1,-0.15,1.00,0.13,44.75
1,-0.21,0.95,0.13,45.22
1,-0.06,0.99,0.07,45.22
1,-0.06,0.94,0.01,44.38
1,0.13,1.13,0.01,39.60
1,0.09,0.96,0.12,39.60
1,0.09,0.97,0.23,42.13
1,-0.10,0.97,0.20,41.99
1,-0.21,0.99,0.14,41.99
1,-0.10,0.93,0.10,44.87
1,-0.10,0.93,0.03,46.40
1,0.08,1.14,0.03,46.40
1,0.13,0.99,0.09,44.76
1,0.13,0.99,0.23,44.84
1,-0.05,0.93,0.23,44.86
1,-0.21,1.02,0.16,45.65
1,-0.21,0.90,0.11,43.11
1,-0.14,0.90,0.10,43.47
1,0.04,1.14,0.04,43.47
1,0.03,1.03,0.07,40.72
1,0.15,1.03,0.20,38.13
1,-0.00,0.91,0.20,38.13
1,-0.19,1.04,0.19,52.09
1,-0.19,1.03,0.12,46.60
1,-0.18,0.91,0.12,46.92
1,-0.01,1.08,0.05,45.36
1,-0.01,1.07,0.05,41.56
1,0.15,1.07,0.05,42.13
1,0.03,0.93,0.17,42.13
1,0.02,1.01,0.22,43.80
1,-0.17,1.01,0.19,40.18
1,-0.19,0.94,0.13,40.18
1,-0.06,1.02,0.06,45.23
1,-0.06,1.02,0.04,48.79
1,0.13,1.13,0.04,48.73
1,0.08,0.95,0.12,45.60
1,0.08,0.97,0.23,43.07
1,-0.12,0.97,0.23,41.30
1,-0.21,0.98,0.14,41.30
1,-0.22,0.95,0.09,39.65
