seconds, accX, accY, accZ, temp
9,-0.02,1.02,0.08,39.99
9,-0.04,1.02,0.08,40.08
9,0.00,0.99,0.08,40.08
9,0.02,0.98,0.11,43.91
9,0.02,0.98,0.08,38.43
9,-0.01,1.01,0.08,38.43
9,-0.04,1.03,0.09,38.92
9,-0.04,1.06,0.09,38.21
9,-0.01,1.00,0.09,37.78
9,0.03,0.98,0.09,44.83
9,0.03,1.00,0.10,42.98
9,0.01,1.00,0.10,43.48
9,-0.04,1.03,0.08,43.48
9,-0.02,1.00,0.09,44.06
9,-0.02,1.00,0.09,40.75
9,0.02,0.98,0.09,40.75
9,0.00,0.99,0.10,39.94
9,0.00,0.99,0.08,41.25
9,-0.02,1.03,0.08,41.04
9,-0.03,1.01,0.08,43.39
9,-0.03,0.98,0.09,39.58
9,0.01,0.98,0.09,41.89
9,0.02,0.98,0.10,41.89
9,0.05,1.02,0.09,43.84
9,-0.02,1.02,0.09,46.93
9,-0.04,1.02,0.09,46.93
9,0.01,0.99,0.09,45.95
9,0.01,0.99,0.10,43.48
9,0.02,0.98,0.10,43.29
9,-0.01,1.01,0.10,40.94
9,-0.01,1.02,0.09,38.31
9,-0.03,1.02,0.09,36.02
9,0.00,1.00,0.08,36.02
9,0.00,0.97,0.08,39.46
9,0.02,0.97,0.08,39.82
9,0.00,1.00,0.08,39.82
9,0.02,1.03,0.09,44.40
9,-0.04,1.03,0.09,39.96
9,-0.03,1.01,0.09,39.96
9,0.02,0.98,0.09,41.13
9,0.02,0.99,0.09,37.75
9,0.01,0.99,0.09,38.05
9,-0.03,1.02,0.09,38.05
9,-0.03,1.02,0.08,40.73
9,-0.02,1.02,0.08,40.47
9,0.02,0.98,0.09,40.47
9,0.01,0.98,0.09,40.98
9,0.01,0.98,0.08,41.95
9,-0.01,1.02,0.08,41.95
9,-0.03,1.02,0.08,44.74
9,-0.03,1.05,0.09,46.73
9,0.01,0.99,0.09,46.68
9,0.02,0.97,0.09,41.98
9,0.02,1.02,0.09,36.23
9,-0.01,1.02,0.09,36.25
9,-0.03,1.02,0.09,36.25
9,-0.01,1.00,0.09,40.04
9,-0.01,1.00,0.09,37.84
9,0.02,0.96,0.09,37.84
9,-0.00,1.00,0.10,39.31
9,-0.00,1.00,0.08,44.46
9,-0.05,1.02,0.08,44.53
9,-0.01,1.01,0.08,42.18
9,-0.01,0.98,0.09,37.00
9,0.02,0.98,0.09,37.67
9,0.01,0.99,0.09,37.67
9,0.03,1.02,0.08,43.26
9,-0.03,1.02,0.09,44.97
9,-0.02,1.01,0.09,44.97
9,0.01,0.98,0.08,40.12
9,0.01,0.98,0.10,48.26
9,0.02,0.98,0.10,48.26
9,-0.02,1.03,0.08,38.53
9,-0.02,1.03,0.10,45.04
9,-0.03,1.03,0.10,45.34
9,0.00,0.98,0.09,45.34
9,0.00,0.98,0.10,41.91
9,0.01,0.98,0.09,41.98
9,-0.02,1.02,0.09,41.98
9,-0.04,1.03,0.08,36.35
9,-0.04,1.03,0.08,44.91
9,0.00,1.01,0.08,44.91
9,0.03,0.97,0.09,45.18
9,0.03,1.00,0.09,44.83
9,0.01,1.00,0.09,45.01
9,-0.03,1.04,0.09,37.96
9,-0.03,1.01,0.08,39.32
9,-0.01,1.01,0.08,42.85
9,0.02,0.97,0.08,42.85
9,0.01,0.98,0.09,41.43
9,0.01,0.98,0.08,42.47
9,-0.03,1.02,0.08,42.47
9,-0.02,1.02,0.07,38.14
9,-0.02,1.04,0.08,43.99
9,0.02,0.98,0.08,44.22
9,0.02,0.98,0.09,40.31
9,0.02,1.03,0.09,41.41
9,-0.02,1.03,0.09,41.49
9,-0.03,1.02,0.09,41.49
9,-0.05,0.99,0.09,40.97
9,0.01,0.99,0.10,42.06
9,0.03,0.98,0.10,42.06
9,-0.01,1.00,0.08,41.67
9,-0.01,1.00,0.09,41.29
9,-0.03,1.02,0.09,41.26
9,-0.00,1.00,0.08,42.04
9,-0.00,0.97,0.08,35.35
9,0.03,0.97,0.08,40.47
9,0.00,1.01,0.09,40.47
9,0.00,1.03,0.08,44.89
9,-0.04,1.03,0.09,37.74
9,-0.02,1.00,0.09,37.74
9,0.01,0.98,0.09,43.53
9,0.01,0.98,0.09,38.68
9,0.01,0.99,0.09,38.68
9,-0.03,1.02,0.10,42.12
9,-0.03,1.00,0.08,42.36
9,-0.02,1.00,0.08,39.76
9,0.02,0.98,0.10,39.76
9,0.02,0.98,0.09,40.91
