seconds, accX, accY, accZ, temp
10,-0.12,-0.61,0.05,38.06
10,0.02,-0.61,0.05,37.65
10,0.14,-0.45,0.31,37.65
10,0.16,-0.21,0.21,38.41
10,0.28,-0.21,0.25,39.69
10,0.39,-0.00,1.37,39.69
10,0.58,0.44,-0.12,39.20
10,0.58,0.44,-0.31,41.23
10,0.66,0.96,-0.31,40.69
10,0.68,1.45,-0.56,39.12
10,0.68,1.45,-0.57,40.33
10,0.25,2.32,-0.57,39.08
10,-0.25,3.02,-0.77,39.08
10,-0.22,3.49,-0.89,43.13
10,-0.66,3.49,-0.91,37.06
10,-1.22,3.87,-1.09,37.06
10,-1.53,3.90,-1.42,40.21
10,-1.53,3.90,-1.39,39.25
10,-1.55,3.56,-1.39,39.25
10,-1.33,3.21,-1.31,39.91
10,-1.33,3.19,-1.01,39.87
10,-1.09,2.88,-1.01,39.66
10,-0.74,2.56,-0.78,40.45
10,-0.74,2.29,-0.58,41.92
10,-0.48,2.29,-0.59,39.24
10,-0.44,2.04,-0.47,39.24
10,-0.41,1.74,-0.42,43.48
10,-0.47,1.74,-0.37,42.10
10,-0.48,1.46,-0.37,42.10
10,-0.45,1.08,-0.25,41.54
10,-0.45,1.09,-0.10,41.29
10,-0.43,0.90,-0.10,41.18
10,-0.48,0.56,-0.09,41.96
10,-0.48,0.25,0.11,38.75
10,-0.52,0.25,0.11,39.46
10,-0.44,0.09,-1.23,39.46
10,-0.47,-0.24,0.17,39.50
10,-0.53,-0.24,0.17,40.04
10,-0.57,-0.38,0.24,40.04
10,-0.58,-0.50,0.33,38.69
10,-0.58,-0.50,0.43,38.91
10,-0.61,-0.60,0.43,38.94
10,-0.64,-0.71,0.48,40.51
10,-0.64,-0.74,0.52,38.66
10,-0.60,-0.81,0.52,38.01
10,-0.52,-0.91,0.56,38.01
10,-0.53,-1.07,0.60,40.55
10,-0.53,-1.07,0.62,40.86
10,-0.46,-1.17,0.49,40.86
10,-0.18,-1.17,0.50,39.42
10,-0.18,-1.17,0.68,39.03
10,0.15,-1.11,0.68,39.03
10,0.35,-0.95,0.49,38.13
10,0.35,-0.95,1.99,40.85
10,0.51,-0.82,1.99,40.71
10,0.52,-0.40,0.38,40.71
10,0.52,-0.08,0.20,41.04
10,0.55,-0.08,0.20,39.60
10,0.68,0.29,-0.11,39.60
10,0.68,0.92,-0.30,39.15
10,0.86,0.92,-0.46,38.90
10,0.86,1.55,-0.46,38.90
10,0.67,2.19,-0.63,41.60
10,0.67,2.24,-0.82,38.80
10,0.28,2.68,-0.82,38.49
10,-0.29,3.11,-1.02,40.06
10,-0.29,3.54,-1.24,39.69
10,-0.92,3.54,-1.24,40.25
10,-1.47,3.90,-1.35,40.25
10,-1.44,4.38,-1.49,37.81
10,-1.69,4.38,-1.45,38.73
10,-1.79,4.42,-1.52,38.73
10,-1.82,3.90,-1.62,41.08
10,-1.82,3.90,-1.57,40.63
10,-1.82,3.28,-1.57,40.22
10,-1.52,2.69,-1.49,41.79
10,-1.52,2.72,-1.37,41.98
10,-1.12,2.03,-1.37,40.55
10,-0.79,1.38,-1.21,40.55
10,-0.79,0.86,-0.97,40.33
10,-0.59,0.86,-0.96,37.16
10,-0.42,0.52,-0.84,37.16
10,-0.19,0.28,-0.40,43.38
