seconds, accX, accY, accZ, temp
1,-0.04,0.78,-0.22,44.72
1,-0.06,1.47,-0.22,46.33
1,-0.10,0.28,5.65,46.33
1,-0.08,0.55,3.41,42.09
1,-0.21,0.55,3.41,36.84
1,0.21,2.14,-3.15,36.84
1,-0.07,0.92,-4.03,38.36
1,-0.07,0.92,-2.67,38.11
1,-0.09,1.80,-2.67,38.01
1,0.18,0.18,4.98,40.36
1,0.18,0.13,4.39,39.63
1,-0.19,0.69,4.39,43.82
1,-0.39,0.91,0.48,43.82
1,-0.39,1.02,-3.83,43.28
1,-0.16,1.02,-3.84,41.39
1,-0.12,1.95,-4.59,41.39
1,0.01,0.34,2.96,38.69
1,0.01,0.34,3.61,38.19
1,-0.24,1.01,3.61,38.19
1,-0.29,0.71,2.31,36.97
1,-0.29,0.70,-2.87,40.32
1,-0.18,1.01,-2.87,40.36
1,-0.15,1.98,-5.50,43.49
1,-0.15,0.44,0.60,41.03
1,-0.02,0.44,0.62,40.46
1,0.06,1.15,3.93,40.46
1,0.07,0.31,4.65,44.98
1,-0.18,0.31,-0.77,38.74
1,-0.33,1.13,-0.77,38.74
1,-0.15,1.79,-5.29,44.59
1,-0.15,1.75,-1.71,40.02
1,-0.00,0.75,-1.71,40.02
1,-0.05,1.37,1.85,41.59
1,-0.05,0.07,5.86,39.88
1,-0.13,0.07,5.86,43.33
1,-0.27,1.11,0.47,43.33
1,-0.26,1.48,-3.93,45.86
1,-0.20,1.48,-3.92,39.97
1,-0.06,1.04,-3.48,39.97
1,-0.07,1.44,-0.23,43.64
1,-0.07,1.44,6.20,41.60
1,-0.08,0.03,6.20,41.68
1,-0.24,1.00,2.61,42.46
1,-0.24,1.53,-1.75,43.20
1,0.21,1.53,-1.75,41.45
1,-0.10,1.25,-4.35,41.45
1,-0.10,1.59,-2.27,42.01
1,-0.10,1.59,-2.27,41.39
1,0.05,0.13,4.42,41.39
1,-0.21,0.99,3.77,42.21
1,-0.21,0.99,1.42,40.33
1,-0.23,0.60,1.42,40.18
1,-0.18,1.35,-4.16,40.97
1,-0.18,1.36,-3.78,41.26
1,-0.11,1.61,-3.78,37.72
1,-0.01,0.42,2.35,37.72
1,-0.01,1.01,3.36,37.35
1,-0.34,1.01,3.34,39.75
1,-0.24,0.42,2.84,39.75
1,-0.20,1.42,-3.08,46.00
1,-0.20,1.42,-4.43,46.77
1,-0.11,1.53,-4.43,46.77
1,-0.04,0.70,-0.09,40.73
1,-0.04,0.73,3.90,36.03
1,-0.29,0.92,3.90,36.01
1,-0.15,0.16,4.76,43.84
1,-0.15,1.35,-1.21,36.54
1,-0.48,1.35,-1.21,38.81
1,-0.13,1.33,-4.15,38.81
1,-0.17,1.08,-2.28,44.31
1,-0.04,1.08,1.87,39.90
1,-0.10,1.20,1.87,39.90
1,-0.16,0.12,5.21,43.05
1,-0.16,0.09,0.22,47.00
1,-0.30,1.28,0.22,47.03
1,-0.17,1.05,-2.95,44.68
1,-0.17,1.39,-3.93,41.62
1,-0.11,1.39,-3.93,38.97
1,-0.07,1.20,0.10,38.97
1,-0.07,0.19,5.68,42.56
1,0.05,0.19,5.66,38.41
1,-0.24,1.08,2.47,38.41
1,-0.06,0.94,-1.29,43.60
1,-0.06,0.94,-4.67,40.65
1,-0.12,1.57,-4.67,40.50
1,-0.10,1.28,-1.70,37.36
1,-0.10,0.36,3.65,38.38
1,0.01,0.36,3.65,43.45
1,-0.22,1.00,3.48,43.45
1,-0.23,0.49,1.36,41.40
1,-0.17,0.49,1.33,41.28
1,-0.19,1.67,-4.29,41.28
1,-0.09,1.27,-3.05,42.54
1,-0.09,1.27,1.45,38.61
1,-0.07,0.76,1.45,38.61
1,-0.26,0.94,3.48,42.37
1,-0.26,0.90,2.94,41.00
1,-0.19,0.34,2.94,35.50
1,-0.22,1.62,-3.31,35.50
1,-0.22,1.21,-3.69,44.32
1,-0.09,1.21,-3.70,36.60
1,-0.06,1.12,-0.76,36.60
1,-0.04,0.65,3.47,38.89
1,-0.04,0.65,4.23,44.38
1,-0.15,0.28,4.23,44.38
1,-0.87,0.74,-0.96,46.55
1,-0.87,0.75,-3.45,44.95
1,-0.14,1.19,-3.45,44.58
1,-0.09,1.36,-2.74,38.32
1,-0.09,0.89,2.19,43.89
1,-0.12,0.89,2.19,39.73
1,-0.25,0.31,4.13,39.73
1,-0.24,1.23,0.44,40.86
1,-0.30,1.23,-2.44,39.12
1,-0.17,0.96,-2.44,39.12
1,-0.13,1.62,-4.14,39.68
1,-0.13,1.59,0.53,41.41
1,-0.06,0.91,0.53,40.97
1,0.04,0.52,4.49,40.97
1,0.04,0.97,2.51,39.08
1,-0.23,0.97,2.51,39.69
1,-0.33,0.68,-0.87,39.69
1,-0.32,1.79,-4.55,40.39
1,-0.13,1.79,-4.51,39.98
1,-0.07,0.94,-1.20,39.98
1,0.13,0.90,2.80,41.98
1,0.13,0.90,3.95,37.30
1,-0.17,0.73,3.95,36.76
1,-0.16,0.72,0.78,38.33
1,-0.16,0.69,-3.99,41.62
1,-0.18,1.69,-3.99,44.43
1,-0.07,1.03,-2.55,44.43
1,-0.06,0.98,0.90,38.74
1,-0.06,0.98,0.90,41.40
1,-0.22,0.61,4.27,41.40
1,-0.20,0.58,2.52,47.95
1,-0.20,0.58,-2.76,46.64
1,-0.16,1.40,-2.76,46.64
1,-0.09,1.10,-3.22,46.21
1,-0.09,1.09,-1.16,47.65
1,-0.09,1.28,-1.16,44.83
1,0.04,0.54,3.72,44.83
1,0.04,0.57,3.66,43.87
1,-0.21,0.57,3.68,48.20
1,-1.17,0.31,-0.14,48.20
1,-1.18,1.05,-3.14,43.70
1,-0.11,1.05,-2.80,43.64
1,-0.10,1.52,-2.80,43.64
1,-0.07,0.66,2.14,41.10
1,-0.07,0.63,3.56,44.66
1,-0.27,0.63,3.56,45.06
1,-0.27,1.03,0.95,41.14
1,-0.27,1.00,-2.26,42.58
1,-0.16,1.00,-2.26,41.31
1,-0.13,1.64,-3.85,41.31
1,-0.11,0.70,0.64,40.56
1,-0.05,0.70,0.68,40.25
1,-0.01,0.73,3.87,40.25
1,-0.19,0.76,2.89,41.89
1,-0.19,0.76,-0.99,44.64
1,-0.27,0.82,-0.99,44.89
1,-0.12,1.62,-4.04,37.84
1,-0.12,0.85,-1.08,41.66
1,-0.06,0.85,-1.08,38.89
1,-0.05,1.11,2.19,38.89
1,-0.01,0.55,3.54,42.74
1,-0.33,0.55,3.55,39.99
1,-0.20,0.92,0.43,39.99
1,-0.16,1.47,-3.34,36.86
1,-0.16,1.47,-2.44,41.47
1,-0.08,1.01,-2.44,41.46
1,-0.10,1.15,0.47,43.02
1,-0.10,0.43,4.67,37.38
1,-0.07,0.43,4.67,49.42
1,-0.19,0.82,2.08,49.42
1,-0.23,1.14,-2.10,43.01
1,-0.11,1.14,-2.08,41.45
1,-0.11,1.14,-3.14,41.45
1,-0.10,1.33,-1.22,43.66
1,-0.10,1.33,3.50,44.60
1,0.00,0.50,3.50,45.07
1,-0.14,0.76,3.36,38.81
1,-0.14,0.80,0.06,38.19
1,-0.79,0.30,0.06,40.13
1,-0.13,1.23,-3.12,40.13
1,-0.13,1.44,-2.62,42.12
1,-0.10,1.44,-2.62,45.89
1,-0.08,0.61,2.07,45.89
1,-0.11,0.82,3.60,44.34
1,-0.17,0.82,1.33,39.76
1,-0.24,0.77,1.33,39.76
1,-0.17,1.17,-2.38,35.19
1,-0.17,1.13,-3.45,45.58
1,-0.13,1.51,-3.45,45.41
1,-0.05,0.77,0.45,43.06
1,-0.05,0.81,2.96,44.18
