,iteration,time,id,x,y,dx,dy
0,0,0.0,0,279.0142,69.99786,0.014190674,-0.0021362305
1,1,0.001,0,279.0136,69.9979,-0.000579834,3.8146973e-05
2,2,0.002,0,279.0208,69.99617,0.0072021484,-0.0017318726
3,3,0.003,0,279.01453,69.996704,-0.006286621,0.0005340576
4,4,0.004,0,279.0167,69.99776,0.002166748,0.0010528564
5,5,0.005,0,279.01706,69.99542,0.00036621094,-0.0023345947
6,6,0.006,0,279.02542,69.99863,0.008361816,0.0032043457
7,7,0.007,0,279.02243,69.998474,-0.0029907227,-0.00015258789
8,8,0.008,0,279.0408,69.976074,0.018371582,-0.022399902
9,9,0.009,0,279.0411,69.97551,0.00030517578,-0.0005645752
10,10,0.01,0,279.05127,69.965385,0.0101623535,-0.010124207
11,11,0.011,0,279.05145,69.964935,0.00018310547,-0.00045013428
12,12,0.012,0,279.05118,69.964966,-0.0002746582,3.0517578e-05
13,13,0.013,0,279.05112,69.964905,-6.1035156e-05,-6.1035156e-05
14,14,0.014,0,279.0508,69.96492,-0.00030517578,1.5258789e-05
15,15,0.015,0,279.04935,69.96547,-0.0014648438,0.0005493164
16,16,0.016,0,279.05484,69.96646,0.005493164,0.0009918213
17,17,0.017,0,279.05618,69.967545,0.0013427734,0.001083374
18,18,0.018,0,279.05515,69.96753,-0.0010375977,-1.5258789e-05
19,19,0.019,0,279.0567,69.97931,0.0015563965,0.011779785
20,20,0.02,0,279.05786,69.982544,0.001159668,0.0032348633
21,21,0.021,0,279.05942,69.97656,0.0015563965,-0.0059814453
22,22,0.022,0,279.05905,69.97773,-0.00036621094,0.0011672974
23,23,0.023,0,279.05545,69.967636,-0.0036010742,-0.010093689
24,24,0.024,0,279.06714,69.96945,0.011688232,0.0018157959
25,25,0.025,0,279.07214,69.96738,0.005004883,-0.0020751953
26,26,0.026,0,279.07614,69.95746,0.0039978027,-0.009918213
27,27,0.027,0,279.07416,69.95305,-0.0019836426,-0.00440979
28,28,0.028,0,279.09198,69.96141,0.017822266,0.008361816
29,29,0.029,0,279.10513,69.97566,0.013153076,0.014251709
30,30,0.03,0,279.1184,69.9854,0.0132751465,0.009735107
31,31,0.031,0,279.12753,69.99921,0.009124756,0.013809204
32,32,0.032,0,279.1335,70.09569,0.0059814453,0.09648132
33,33,0.033,0,279.1343,70.08911,0.00079345703,-0.006576538
34,34,0.034,0,279.1341,70.13423,-0.00021362305,0.04512024
35,35,0.035,0,279.1281,70.17584,-0.0059814453,0.041610718
36,36,0.036,0,279.13635,70.176956,0.008239746,0.0011138916
37,37,0.037,0,279.14053,70.1873,0.004180908,0.010345459
38,38,0.038,0,279.1446,70.18701,0.004058838,-0.000289917
39,39,0.039,0,279.14523,70.19438,0.00064086914,0.007369995
40,40,0.04,0,279.14554,70.18921,0.00030517578,-0.0051727295
41,41,0.041,0,279.1475,70.190125,0.001953125,0.00091552734
42,42,0.042,0,279.1474,70.189514,-9.1552734e-05,-0.00061035156
43,43,0.043,0,279.13992,70.190155,-0.0074768066,0.00064086914
44,44,0.044,0,279.14224,70.20107,0.002319336,0.010917664
45,45,0.045,0,279.1448,70.20657,0.0025634766,0.0055007935
46,46,0.046,0,279.14883,70.218094,0.0040283203,0.011520386
47,47,0.047,0,279.14966,70.218506,0.0008239746,0.0004119873
48,48,0.048,0,279.17117,70.2428,0.021514893,0.024291992
49,49,0.049,0,279.1802,70.26833,0.009033203,0.025535583
50,50,0.05,0,279.18085,70.26785,0.00064086914,-0.00048065186
