,iteration,time,id,x,y,dx,dy
0,0,0.0,0,278.99994,69.99988,-6.1035156e-05,-0.00012207031
1,1,0.001,0,279.0001,69.9998,0.00015258789,-7.6293945e-05
2,2,0.002,0,278.9998,70.00006,-0.00030517578,0.0002593994
3,3,0.003,0,278.98865,70.15174,-0.011138916,0.15168
4,4,0.004,0,278.98865,70.15198,0.0,0.00023651123
5,5,0.005,0,278.98914,70.152115,0.00048828125,0.0001373291
6,6,0.006,0,278.9889,70.15152,-0.00024414062,-0.0005950928
7,7,0.007,0,278.9895,70.152756,0.00061035156,0.0012359619
8,8,0.008,0,278.98953,70.157486,3.0517578e-05,0.0047302246
9,9,0.009,0,278.9958,70.06407,0.0062561035,-0.09341431
10,10,0.01,0,279.0032,69.95645,0.0074157715,-0.10762024
11,11,0.011,0,279.004,69.95847,0.00079345703,0.0020217896
12,12,0.012,0,279.00504,69.95925,0.0010375977,0.00077819824
13,13,0.013,0,279.00443,69.958084,-0.00061035156,-0.0011672974
14,14,0.014,0,279.00388,69.956345,-0.0005493164,-0.001739502
15,15,0.015,0,278.93646,70.01528,-0.06741333,0.058937073
16,16,0.016,0,278.8663,70.06261,-0.07015991,0.047325134
17,17,0.017,0,278.86588,70.06726,-0.0004272461,0.0046539307
18,18,0.018,0,278.7279,70.17262,-0.13796997,0.10536194
19,19,0.019,0,278.72806,70.17726,0.00015258789,0.004638672
20,20,0.02,0,278.77252,70.125244,0.04446411,-0.052017212
21,21,0.021,0,278.80093,70.09846,0.028411865,-0.026786804
22,22,0.022,0,278.82233,70.067154,0.021392822,-0.031303406
23,23,0.023,0,278.85834,70.056946,0.036010742,-0.01020813
24,24,0.024,0,278.88956,70.04636,0.031219482,-0.0105896
25,25,0.025,0,278.92398,70.03471,0.034423828,-0.011642456
26,26,0.026,0,278.94925,70.01145,0.025268555,-0.023262024
27,27,0.027,0,278.99463,70.09438,0.04537964,0.08293152
28,28,0.028,0,279.02924,70.17108,0.034606934,0.0766983
29,29,0.029,0,279.0704,70.245415,0.041168213,0.07433319
30,30,0.03,0,279.1068,70.31758,0.03640747,0.07216644
31,31,0.031,0,279.1143,70.56061,0.0074768066,0.24302673
32,32,0.032,0,279.2043,71.29291,0.090026855,0.7322998
33,33,0.033,0,279.24216,71.40603,0.037841797,0.11312103
34,34,0.034,0,279.2737,71.532234,0.031555176,0.12620544
35,35,0.035,0,279.2732,71.5331,-0.0005187988,0.0008621216
36,36,0.036,0,279.27405,71.53289,0.0008544922,-0.00020599365
37,37,0.037,0,279.22784,71.064865,-0.046203613,-0.4680252
38,38,0.038,0,279.22855,71.055405,0.0007019043,-0.009460449
39,39,0.039,0,279.20255,70.705505,-0.026000977,-0.3498993
40,40,0.04,0,279.16577,70.38121,-0.03677368,-0.32429504
41,41,0.041,0,279.1264,70.30377,-0.039367676,-0.077438354
42,42,0.042,0,279.0837,70.224686,-0.04269409,-0.0790863
43,43,0.043,0,279.08386,70.22424,0.00015258789,-0.00044250488
44,44,0.044,0,279.08377,70.224174,-9.1552734e-05,-6.866455e-05
45,45,0.045,0,279.07687,70.34981,-0.0068969727,0.12563324
46,46,0.046,0,279.07077,70.468185,-0.0061035156,0.118377686
47,47,0.047,0,279.07037,70.47278,-0.00039672852,0.0045928955
48,48,0.048,0,279.30643,70.71863,0.23605347,0.24584961
49,49,0.049,0,279.5317,70.96094,0.22528076,0.24230957
50,50,0.05,0,279.52997,70.96083,-0.001739502,-0.00010681152
51,51,0.051,0,279.5351,70.83991,0.005126953,-0.120918274
52,52,0.052,0,279.53,70.708206,-0.0050964355,-0.13170624
53,53,0.053,0,279.32474,70.54945,-0.20526123,-0.15875244
54,54,0.054,0,279.123,70.397575,-0.20175171,-0.15187836
55,55,0.055,0,279.1247,70.39643,0.0017089844,-0.0011444092
56,56,0.056,0,279.26224,70.39857,0.13754272,0.0021362305
57,57,0.057,0,279.33026,70.39743,0.06802368,-0.0011367798
58,58,0.058,0,279.3878,70.39438,0.057525635,-0.0030517578
