,iteration,time,id,x,y,dx,dy
0,0,0.0,0,278.87375,78.92624,-0.12625122,-0.07376099
1,1,0.001,0,278.8769,78.921715,0.0031433105,-0.004524231
2,2,0.002,0,278.87692,78.92171,3.0517578e-05,-7.6293945e-06
3,3,0.003,0,278.8771,78.92171,0.00018310547,0.0
4,4,0.004,0,278.89325,78.96298,0.016143799,0.041275024
5,5,0.005,0,278.8938,78.96262,0.0005493164,-0.00035858154
6,6,0.006,0,278.95517,78.97846,0.06137085,0.015838623
7,7,0.007,0,279.02155,78.98933,0.06637573,0.010864258
8,8,0.008,0,279.1657,78.97258,0.14416504,-0.016746521
9,9,0.009,0,279.17474,78.96408,0.009033203,-0.0084991455
10,10,0.01,0,279.2146,79.00827,0.039855957,0.044189453
11,11,0.011,0,279.255,79.035225,0.040405273,0.02695465
12,12,0.012,0,279.2808,78.899086,0.025787354,-0.13613892
13,13,0.013,0,279.32535,78.86486,0.044555664,-0.034225464
14,14,0.014,0,279.4404,78.85405,0.11505127,-0.010810852
15,15,0.015,0,279.54044,78.84336,0.10003662,-0.010688782
16,16,0.016,0,279.40536,78.90506,-0.1350708,0.061698914
17,17,0.017,0,279.42688,78.91068,0.021514893,0.005622864
18,18,0.018,0,279.36334,78.948784,-0.0635376,0.038101196
19,19,0.019,0,279.29263,78.97463,-0.07070923,0.025848389
20,20,0.02,0,279.37546,78.98998,0.08282471,0.015350342
21,21,0.021,0,279.44696,79.00499,0.071502686,0.015007019
22,22,0.022,0,279.47598,78.98299,0.029022217,-0.022003174
23,23,0.023,0,279.57874,79.036705,0.102752686,0.053718567
24,24,0.024,0,279.648,79.03044,0.0692749,-0.006263733
25,25,0.025,0,279.70523,79.02599,0.05722046,-0.004447937
26,26,0.026,0,279.77643,79.024055,0.07119751,-0.0019378662
27,27,0.027,0,279.8259,79.01053,0.049468994,-0.0135269165
28,28,0.028,0,279.88962,79.15497,0.0637207,0.1444397
29,29,0.029,0,279.9409,79.29446,0.05126953,0.13948822
30,30,0.03,0,279.92255,79.34813,-0.018341064,0.05367279
31,31,0.031,0,279.89935,79.410706,-0.02319336,0.062576294
32,32,0.032,0,280.3012,80.241035,0.40185547,0.8303299
33,33,0.033,0,280.2956,80.48521,-0.0056152344,0.24417114
34,34,0.034,0,280.33722,80.88347,0.041625977,0.39826202
35,35,0.035,0,280.36267,81.319695,0.02545166,0.4362259
36,36,0.036,0,280.4797,81.14573,0.11703491,-0.17396545
37,37,0.037,0,280.5669,81.33252,0.08718872,0.18679047
38,38,0.038,0,280.59332,81.31796,0.026428223,-0.014556885
39,39,0.039,0,280.59216,81.31814,-0.001159668,0.00017547607
40,40,0.04,0,280.62418,81.23432,0.03201294,-0.08381653
41,41,0.041,0,280.64157,81.1563,0.01739502,-0.07801819
42,42,0.042,0,280.64816,81.18996,0.006591797,0.03365326
43,43,0.043,0,280.6372,81.26354,-0.010955811,0.07358551
44,44,0.044,0,280.6346,81.321266,-0.0025939941,0.057724
45,45,0.045,0,280.619,81.376945,-0.015625,0.05567932
46,46,0.046,0,280.5918,81.536194,-0.027191162,0.15924835
47,47,0.047,0,280.54736,81.70431,-0.044433594,0.16811371
48,48,0.048,0,280.50937,81.87802,-0.037994385,0.17371368
49,49,0.049,0,280.45547,82.03963,-0.053894043,0.16160583
50,50,0.05,0,280.47845,82.079315,0.022979736,0.03968811
51,51,0.051,0,280.48917,82.11867,0.01071167,0.039352417
52,52,0.052,0,280.50046,82.1523,0.011291504,0.03363037
53,53,0.053,0,280.50592,82.17295,0.0054626465,0.020652771
54,54,0.054,0,280.5892,82.0816,0.08328247,-0.09135437
55,55,0.055,0,280.66415,81.9897,0.07495117,-0.09189606
56,56,0.056,0,280.74652,81.86043,0.08236694,-0.12927246
57,57,0.057,0,280.80023,81.80417,0.053710938,-0.056259155
58,58,0.058,0,280.8006,81.74569,0.00036621094,-0.05847931
59,59,0.059,0,280.789,81.6879,-0.01159668,-0.057792664
60,60,0.06,0,280.78494,81.63252,-0.004058838,-0.055374146
61,61,0.061,0,280.76917,81.583824,-0.015777588,-0.048698425
62,62,0.062,0,280.7034,81.53241,-0.06576538,-0.05141449
63,63,0.063,0,280.61722,81.483215,-0.08618164,-0.049194336
64,64,0.064,0,280.74667,81.44943,0.12945557,-0.03378296
65,65,0.065,0,280.8808,81.42044,0.13412476,-0.0289917
66,66,0.066,0,280.98947,81.38071,0.108673096,-0.039733887
67,67,0.067,0,281.0939,81.34096,0.10443115,-0.039749146
68,68,0.068,0,281.1925,80.91261,0.098602295,-0.42834473
69,69,0.069,0,281.2661,80.49933,0.0736084,-0.4132843
70,70,0.07,0,281.27612,80.24907,0.010009766,-0.2502594
71,71,0.071,0,281.24823,79.48473,-0.027893066,-0.76433563
72,72,0.072,0,281.19257,79.283424,-0.055664062,-0.2013092
73,73,0.073,0,281.19812,79.20708,0.005554199,-0.07634735
74,74,0.074,0,281.19638,79.09798,-0.001739502,-0.10910034
75,75,0.075,0,281.18408,78.993835,-0.012298584,-0.104141235
76,76,0.076,0,281.28888,79.041725,0.10479736,0.04788971
77,77,0.077,0,281.38397,79.08668,0.09509277,0.044952393
78,78,0.078,0,281.4232,79.25115,0.039215088,0.16447449
79,79,0.079,0,281.44888,79.41073,0.0256958,0.15957642
80,80,0.08,0,281.44748,79.41128,-0.0014038086,0.0005493164
81,81,0.081,0,281.4475,79.41153,3.0517578e-05,0.00025177002
