,iteration,time,id,x,y,dx,dy
0,0,0.0,0,345.70145,268.98923,-0.29855347,-0.010772705
1,1,0.004,0,345.29874,268.72922,-0.40270996,-0.26000977
2,2,0.008,0,345.2973,268.7285,-0.0014343262,-0.0007324219
3,3,0.012,0,343.33685,267.63855,-1.9604492,-1.0899353
4,4,0.016,0,345.5056,268.08752,2.1687622,0.4489746
5,5,0.02,0,346.9887,269.03958,1.4830933,0.9520569
6,6,0.024,0,348.74387,270.00198,1.7551575,0.96240234
7,7,0.028,0,347.63327,270.34488,-1.1105957,0.3428955
8,8,0.032,0,344.718,270.17386,-2.9152832,-0.17102051
9,9,0.036,0,342.60297,268.35532,-2.1150208,-1.8185425
10,10,0.04,0,343.23608,267.7536,0.6331177,-0.6017151
11,11,0.044,0,344.73642,268.0963,1.5003357,0.3427124
12,12,0.048,0,347.0299,268.77722,2.2934875,0.6809082
13,13,0.052,0,349.05258,268.92215,2.0226746,0.14492798
14,14,0.056,0,348.39816,269.95688,-0.65441895,1.034729
15,15,0.06,0,345.83234,269.821,-2.5658264,-0.13586426
16,16,0.064,0,343.1906,268.3988,-2.6417236,-1.4222107
17,17,0.068,0,341.95477,267.8899,-1.2358398,-0.50891113
18,18,0.072,0,343.34442,267.83026,1.3896484,-0.059631348
19,19,0.076,0,346.19666,268.27307,2.852234,0.44281006
20,20,0.08,0,347.74167,268.72723,1.5450134,0.4541626
21,21,0.084,0,349.00403,270.27887,1.2623596,1.5516357
22,22,0.088,0,347.47153,269.92838,-1.5325012,-0.35049438
23,23,0.092,0,344.66653,269.4807,-2.8049927,-0.44766235
24,24,0.096,0,343.0253,268.69876,-1.6412354,-0.7819519
25,25,0.1,0,343.30695,267.98547,0.28164673,-0.71328735
26,26,0.104,0,344.90033,267.83743,1.5933838,-0.14804077
27,27,0.108,0,347.62653,268.69165,2.7261963,0.8542175
28,28,0.112,0,348.8899,268.88474,1.2633667,0.19308472
29,29,0.116,0,347.30374,269.48666,-1.5861511,0.6019287
30,30,0.12,0,345.75476,269.34216,-1.5489807,-0.14450073
31,31,0.124,0,343.0456,268.7692,-2.7091675,-0.5729675
32,32,0.128,0,342.78076,268.06863,-0.26483154,-0.7005615
33,33,0.132,0,344.16147,268.08774,1.3807068,0.019104004
34,34,0.136,0,346.70956,268.71185,2.5480957,0.624115
35,35,0.14,0,348.4489,269.23846,1.7393494,0.5266113
36,36,0.144,0,348.39462,269.7351,-0.05429077,0.49664307
37,37,0.148,0,346.0814,269.49255,-2.3132324,-0.24255371
38,38,0.152,0,343.51904,268.55582,-2.5623474,-0.93673706
39,39,0.156,0,342.24896,267.92453,-1.2700806,-0.6312866
40,40,0.16,0,343.12,267.66318,0.8710327,-0.26135254
41,41,0.164,0,346.22308,268.01163,3.1030884,0.3484497
42,42,0.168,0,347.858,268.53336,1.6349182,0.5217285
43,43,0.172,0,349.37186,269.99002,1.513855,1.456665
44,44,0.176,0,347.80048,269.87192,-1.5713806,-0.11810303
45,45,0.18,0,345.34137,269.4401,-2.4591064,-0.43182373
46,46,0.184,0,342.38412,268.39603,-2.9572449,-1.0440674
47,47,0.188,0,342.85706,267.9127,0.4729309,-0.4833374
48,48,0.192,0,344.92398,267.7051,2.066925,-0.20758057
49,49,0.196,0,347.2727,268.85617,2.3487244,1.151062
50,50,0.2,0,348.67197,269.2351,1.3992615,0.37893677
51,51,0.204,0,348.49698,270.30173,-0.1749878,1.0666199
52,52,0.208,0,345.98264,269.24673,-2.5143433,-1.0549927
53,53,0.212,0,342.745,268.55893,-3.2376404,-0.6878052
54,54,0.216,0,342.7334,267.57773,-0.01159668,-0.9812012
55,55,0.22,0,344.04886,267.5626,1.3154602,-0.015136719
56,56,0.224,0,346.6758,268.2834,2.6269531,0.7207947
57,57,0.228,0,348.37476,269.25714,1.6989441,0.9737549
58,58,0.232,0,349.60602,270.1855,1.2312622,0.9283447
59,59,0.236,0,346.70828,270.10007,-2.8977356,-0.0854187
60,60,0.24,0,344.63635,269.33002,-2.07193,-0.77005005
61,61,0.244,0,342.15164,267.78964,-2.4847107,-1.5403748
62,62,0.248,0,343.54163,267.50342,1.3899841,-0.28622437
63,63,0.252,0,345.5072,267.73233,1.9655762,0.22891235
64,64,0.256,0,347.88214,268.57288,2.374939,0.84054565
65,65,0.26,0,348.67316,269.25906,0.7910156,0.68618774
66,66,0.264,0,347.86115,269.89642,-0.8120117,0.6373596
67,67,0.268,0,345.00583,269.46777,-2.8553162,-0.4286499
68,68,0.272,0,342.72882,268.3355,-2.277008,-1.1322632
69,69,0.276,0,342.86475,267.63455,0.1359253,-0.70095825
70,70,0.28,0,344.23004,267.3891,1.3652954,-0.24545288
71,71,0.284,0,347.36493,268.36005,3.1348877,0.97094727
72,72,0.288,0,348.70798,268.5203,1.3430481,0.1602478
73,73,0.292,0,348.49402,269.4673,-0.21395874,0.94699097
74,74,0.296,0,346.3678,269.10083,-2.1262207,-0.36645508
75,75,0.3,0,343.91306,268.80707,-2.4547424,-0.2937622
76,76,0.304,0,342.44766,267.34912,-1.4653931,-1.4579468
77,77,0.308,0,343.6397,267.48285,1.1920471,0.13372803
78,78,0.312,0,346.55008,268.57306,2.9103699,1.09021
79,79,0.316,0,348.09854,268.75113,1.5484619,0.17807007
80,80,0.32,0,348.84552,269.06213,0.74697876,0.31100464
81,81,0.324,0,347.27655,269.86676,-1.5689697,0.80462646
82,82,0.328,0,344.69913,269.14764,-2.577423,-0.7191162
83,83,0.332,0,342.616,267.76987,-2.08313,-1.3777771
84,84,0.336,0,343.35562,267.5347,0.739624,-0.23516846
85,85,0.34,0,345.44342,268.21338,2.087799,0.6786804
86,86,0.344,0,347.7697,268.72232,2.326294,0.50894165
87,87,0.348,0,349.34555,269.3123,1.5758362,0.5899658
88,88,0.352,0,348.36548,269.6607,-0.980072,0.3484192
89,89,0.356,0,345.7136,269.44135,-2.651886,-0.21936035
90,90,0.36,0,343.2473,267.77634,-2.466278,-1.6650085
91,91,0.364,0,342.37796,267.2928,-0.86935425,-0.48355103
92,92,0.368,0,344.41824,267.31335,2.0402832,0.020568848
93,93,0.372,0,346.7467,268.06216,2.3284607,0.7488098
94,94,0.376,0,349.207,269.02612,2.4602966,0.96395874
95,95,0.38,0,348.726,270.28955,-0.48098755,1.2634277
96,96,0.384,0,347.30695,269.91257,-1.4190674,-0.37698364
97,97,0.388,0,344.1544,269.38364,-3.1525574,-0.52893066
98,98,0.392,0,342.91443,267.93008,-1.2399597,-1.4535522
99,99,0.396,0,343.15045,267.16287,0.23602295,-0.7672119
100,100,0.4,0,346.24124,268.15408,3.0907898,0.99121094
101,101,0.404,0,348.63037,268.79752,2.3891296,0.6434326
102,102,0.408,0,349.54428,269.4085,0.9139099,0.61099243
103,103,0.412,0,347.63342,270.00452,-1.9108582,0.5960083
104,104,0.416,0,345.04074,269.1487,-2.592682,-0.85580444
105,105,0.42,0,343.24872,268.26477,-1.7920227,-0.88394165
106,106,0.424,0,342.3521,266.9353,-0.89660645,-1.3294678
107,107,0.428,0,344.80585,267.162,2.4537354,0.22668457
108,108,0.432,0,347.87924,268.5776,3.0733948,1.4156189
109,109,0.436,0,349.6936,269.55127,1.8143616,0.97366333
110,110,0.44,0,348.70728,269.69055,-0.9863281,0.13928223
111,111,0.444,0,346.5249,269.96143,-2.182373,0.27087402
112,112,0.448,0,343.60645,268.419,-2.918457,-1.5424194
