,iteration,time,id,x,y,dx,dy
0,0,0.0,0,344.93643,264.77582,-1.0635681,-0.22418213
1,1,0.004,0,342.0336,264.18878,-2.902832,-0.58703613
2,2,0.008,0,341.9517,263.93408,-0.08190918,-0.2546997
3,3,0.012,0,343.20282,263.79007,1.2511292,-0.14401245
4,4,0.016,0,345.6587,264.29703,2.4558716,0.506958
5,5,0.02,0,346.0549,264.89832,0.39620972,0.60128784
6,6,0.024,0,346.05948,265.05264,0.0045776367,0.1543274
7,7,0.028,0,345.4598,265.17136,-0.5996704,0.11871338
8,8,0.032,0,342.41357,264.93372,-3.0462341,-0.23764038
9,9,0.036,0,341.7989,264.20483,-0.61468506,-0.72888184
10,10,0.04,0,342.86417,264.22018,1.0652771,0.015350342
11,11,0.044,0,345.375,264.41196,2.5108337,0.19177246
12,12,0.048,0,346.17688,264.91324,0.8018799,0.50128174
13,13,0.052,0,346.1686,264.92056,-0.008270264,0.0073242188
14,14,0.056,0,345.81995,264.9343,-0.34866333,0.01373291
15,15,0.06,0,343.81317,264.98685,-2.006775,0.05255127
16,16,0.064,0,342.00403,264.24155,-1.8091431,-0.7453003
17,17,0.068,0,341.9991,264.2142,-0.00491333,-0.02734375
18,18,0.072,0,343.82047,264.49136,1.8213501,0.27716064
19,19,0.076,0,345.95917,264.69885,2.1387024,0.20748901
20,20,0.08,0,345.962,264.95868,0.0028381348,0.25982666
21,21,0.084,0,345.96,265.21472,-0.0020141602,0.25604248
22,22,0.088,0,345.0539,265.0505,-0.9060974,-0.16421509
23,23,0.092,0,342.54654,264.86444,-2.5073547,-0.18606567
24,24,0.096,0,342.5416,264.62512,-0.0049438477,-0.23931885
25,25,0.1,0,343.301,264.24966,0.7593994,-0.37545776
26,26,0.104,0,345.7013,264.59143,2.400299,0.34176636
27,27,0.108,0,346.2981,265.09073,0.59680176,0.4992981
28,28,0.112,0,346.28317,265.09662,-0.014923096,0.0058898926
29,29,0.116,0,345.7353,265.10403,-0.5478821,0.0074157715
30,30,0.12,0,343.50177,264.75232,-2.2335205,-0.3517151
31,31,0.124,0,341.92355,264.43332,-1.5782166,-0.31900024
32,32,0.128,0,342.92465,264.43488,1.0010986,0.0015563965
33,33,0.132,0,344.86826,264.6616,1.9436035,0.22671509
34,34,0.136,0,346.2216,265.14258,1.3533325,0.48098755
35,35,0.14,0,346.30032,265.13596,0.07873535,-0.0066223145
36,36,0.144,0,345.86453,265.13275,-0.43579102,-0.0032043457
37,37,0.148,0,344.21448,265.0319,-1.6500549,-0.100860596
38,38,0.152,0,342.14014,264.5781,-2.0743408,-0.4537964
39,39,0.156,0,342.13702,264.32983,-0.003112793,-0.2482605
40,40,0.16,0,343.61777,264.32675,1.4807434,-0.0030822754
41,41,0.164,0,346.0353,264.68192,2.4175415,0.35516357
