,iteration,time,id,x,y,dx,dy
0,0,0.0,0,278.99222,69.99518,-0.0077819824,-0.0048217773
1,1,0.001,0,278.98425,69.9827,-0.007965088,-0.012481689
2,2,0.002,0,278.99393,70.00918,0.009674072,0.026481628
3,3,0.003,0,279.00327,70.02567,0.009338379,0.016494751
4,4,0.004,0,279.03003,70.045364,0.026763916,0.019691467
5,5,0.005,0,279.03427,70.05181,0.0042419434,0.0064468384
6,6,0.006,0,279.05063,70.06027,0.016357422,0.008460999
7,7,0.007,0,279.05298,70.067795,0.0023498535,0.007522583
8,8,0.008,0,279.01868,70.02525,-0.034301758,-0.042541504
9,9,0.009,0,279.01498,70.01613,-0.003692627,-0.009124756
10,10,0.01,0,279.00888,70.00595,-0.0061035156,-0.010177612
11,11,0.011,0,278.9951,70.003,-0.013793945,-0.0029525757
12,12,0.012,0,279.00848,70.005875,0.013397217,0.0028762817
13,13,0.013,0,279.015,70.01587,0.0065307617,0.009994507
14,14,0.014,0,279.01486,70.015594,-0.00015258789,-0.0002746582
15,15,0.015,0,279.0148,70.01547,-6.1035156e-05,-0.00012207031
16,16,0.016,0,279.0292,70.0146,0.014404297,-0.000869751
17,17,0.017,0,279.04218,70.01193,0.012969971,-0.002670288
18,18,0.018,0,279.0515,70.01788,0.009338379,0.0059509277
19,19,0.019,0,279.05212,70.01463,0.00061035156,-0.003250122
20,20,0.02,0,279.05283,70.01689,0.0007019043,0.0022583008
21,21,0.021,0,279.05536,70.01068,0.002532959,-0.006210327
22,22,0.022,0,279.05734,70.00687,0.0019836426,-0.0038146973
23,23,0.023,0,279.0481,70.0061,-0.009246826,-0.00076293945
24,24,0.024,0,279.04837,70.01073,0.0002746582,0.004623413
25,25,0.025,0,279.04718,70.007065,-0.0011901855,-0.0036621094
26,26,0.026,0,279.04816,70.00664,0.0009765625,-0.0004272461
27,27,0.027,0,279.04666,70.00209,-0.0014953613,-0.004547119
28,28,0.028,0,279.1287,69.9304,0.08203125,-0.07169342
29,29,0.029,0,279.09354,69.97505,-0.03515625,0.044654846
30,30,0.03,0,279.13104,69.92975,0.037506104,-0.045303345
31,31,0.031,0,279.1298,69.923904,-0.0012512207,-0.005844116
32,32,0.032,0,279.16342,69.938034,0.03363037,0.014129639
33,33,0.033,0,279.1861,69.94557,0.02267456,0.007537842
34,34,0.034,0,279.18735,69.94765,0.0012512207,0.0020751953
35,35,0.035,0,279.1871,69.94118,-0.00024414062,-0.0064697266
36,36,0.036,0,279.18973,69.95111,0.0026245117,0.009933472
37,37,0.037,0,279.1846,69.96475,-0.005126953,0.013641357
38,38,0.038,0,279.17896,69.97253,-0.005645752,0.007774353
39,39,0.039,0,279.1762,69.97667,-0.002746582,0.004142761
40,40,0.04,0,279.17722,69.987465,0.0010070801,0.010795593
41,41,0.041,0,279.17783,69.98639,0.00061035156,-0.0010757446
42,42,0.042,0,279.17862,69.98675,0.00079345703,0.00035858154
43,43,0.043,0,279.18045,69.98624,0.0018310547,-0.00051116943
44,44,0.044,0,279.1665,69.98995,-0.013946533,0.0037155151
45,45,0.045,0,279.14264,69.99273,-0.023864746,0.0027770996
46,46,0.046,0,279.12137,69.992874,-0.021270752,0.0001449585
47,47,0.047,0,279.09634,69.99036,-0.025024414,-0.0025177002
48,48,0.048,0,279.1011,69.998566,0.004760742,0.0082092285
49,49,0.049,0,279.09744,70.004105,-0.0036621094,0.0055389404
50,50,0.05,0,279.0994,70.020775,0.001953125,0.016670227
51,51,0.051,0,279.08856,70.02641,-0.01083374,0.0056381226
52,52,0.052,0,279.0996,70.02045,0.011047363,-0.0059661865
53,53,0.053,0,279.09695,70.02838,-0.0026550293,0.00793457
54,54,0.054,0,279.0996,70.02425,0.0026550293,-0.004135132
55,55,0.055,0,279.09348,70.023605,-0.006134033,-0.00064086914
56,56,0.056,0,279.09406,70.016266,0.000579834,-0.0073394775
57,57,0.057,0,279.0914,70.010254,-0.0026550293,-0.006011963
58,58,0.058,0,279.09668,70.00275,0.005279541,-0.007507324
59,59,0.059,0,279.09525,70.00453,-0.0014343262,0.0017852783
60,60,0.06,0,279.0986,70.011406,0.0033569336,0.0068740845
61,61,0.061,0,279.09537,70.01492,-0.0032348633,0.0035171509
62,62,0.062,0,279.0965,70.01086,0.0011291504,-0.0040664673
63,63,0.063,0,279.09384,70.01106,-0.0026550293,0.00020599365
64,64,0.064,0,279.09592,70.008255,0.0020751953,-0.0028076172
65,65,0.065,0,279.0957,70.0113,-0.00021362305,0.0030441284
66,66,0.066,0,279.09488,70.00839,-0.0008239746,-0.0029067993
67,67,0.067,0,279.0946,70.00668,-0.0002746582,-0.0017089844
68,68,0.068,0,279.0927,70.006516,-0.0018920898,-0.00016784668
69,69,0.069,0,279.09274,70.007385,3.0517578e-05,0.000869751
70,70,0.07,0,279.0927,70.00658,-3.0517578e-05,-0.0008087158
71,71,0.071,0,279.09042,70.00864,-0.0022888184,0.0020599365
72,72,0.072,0,279.10016,70.00756,0.009735107,-0.0010757446
73,73,0.073,0,279.099,70.002045,-0.001159668,-0.0055160522
74,74,0.074,0,279.10925,69.99951,0.010253906,-0.002532959
75,75,0.075,0,279.104,69.994125,-0.0052490234,-0.0053863525
76,76,0.076,0,279.11395,69.99724,0.0099487305,0.003112793
77,77,0.077,0,279.11035,69.99951,-0.0036010742,0.0022735596
78,78,0.078,0,279.11032,70.00186,-3.0517578e-05,0.0023498535
79,79,0.079,0,279.10037,70.00256,-0.0099487305,0.0007019043
80,80,0.08,0,279.1006,70.007996,0.00021362305,0.005432129
81,81,0.081,0,279.10098,70.00428,0.00039672852,-0.0037155151
82,82,0.082,0,279.10574,69.99617,0.004760742,-0.008110046
83,83,0.083,0,279.10394,69.999886,-0.0018005371,0.0037155151
84,84,0.084,0,279.1037,70.0036,-0.00024414062,0.0037155151
85,85,0.085,0,279.103,70.003815,-0.0007019043,0.00021362305
86,86,0.086,0,279.1022,70.00429,-0.00079345703,0.00047302246
87,87,0.087,0,279.1023,70.00906,9.1552734e-05,0.004776001
88,88,0.088,0,279.10385,70.005775,0.0015563965,-0.003288269
89,89,0.089,0,279.10526,70.00527,0.0014038086,-0.00050354004
90,90,0.09,0,279.10956,70.00518,0.0043029785,-9.1552734e-05
91,91,0.091,0,279.1134,70.00257,0.0038452148,-0.002609253
92,92,0.092,0,279.0945,70.01552,-0.01889038,0.0129470825
93,93,0.093,0,279.0945,70.01022,0.0,-0.0052948
94,94,0.094,0,279.08325,70.00725,-0.011260986,-0.0029754639
95,95,0.095,0,279.0599,70.004875,-0.023345947,-0.0023727417
96,96,0.096,0,279.06445,70.00276,0.004547119,-0.0021133423
97,97,0.097,0,279.06488,70.002815,0.0004272461,5.340576e-05
98,98,0.098,0,279.06476,70.002884,-0.00012207031,6.866455e-05
99,99,0.099,0,279.0644,70.0031,-0.00036621094,0.00021362305
100,100,0.1,0,279.06598,70.00452,0.0015869141,0.0014190674
101,101,0.101,0,279.0656,70.00718,-0.00036621094,0.0026626587
102,102,0.102,0,279.1107,70.006516,0.045074463,-0.0006637573
