,iteration,time,id,x,y,dx,dy
0,0,0.0,0,334.99973,94.999825,-0.0002746582,-0.00017547607
1,1,0.001,0,334.99966,95.000046,-6.1035156e-05,0.00022125244
2,2,0.002,0,334.9997,94.99995,3.0517578e-05,-9.918213e-05
3,3,0.003,0,335.01025,95.07115,0.010559082,0.07120514
4,4,0.004,0,335.00537,95.07515,-0.0048828125,0.0039978027
5,5,0.005,0,335.006,95.07273,0.00064086914,-0.002418518
6,6,0.006,0,335.00253,95.07784,-0.003479004,0.0051116943
7,7,0.007,0,334.99655,95.07847,-0.0059814453,0.00062561035
8,8,0.008,0,335.0092,95.07094,0.012634277,-0.0075302124
9,9,0.009,0,335.00824,95.070274,-0.0009460449,-0.0006637573
10,10,0.01,0,335.00912,95.07278,0.00088500977,0.0025024414
11,11,0.011,0,335.01193,95.07374,0.0028076172,0.0009613037
12,12,0.012,0,335.01157,95.07456,-0.00036621094,0.0008239746
13,13,0.013,0,335.0121,95.076416,0.0005187988,0.0018539429
14,14,0.014,0,335.01028,95.07474,-0.0018005371,-0.0016784668
15,15,0.015,0,335.0081,95.075874,-0.0021972656,0.0011367798
16,16,0.016,0,335.0077,95.07582,-0.00039672852,-5.340576e-05
17,17,0.017,0,335.00748,95.07575,-0.00021362305,-6.866455e-05
18,18,0.018,0,335.00717,95.07559,-0.00030517578,-0.00016021729
19,19,0.019,0,335.01077,95.057686,0.0036010742,-0.017906189
20,20,0.02,0,335.00418,95.074554,-0.006591797,0.016868591
21,21,0.021,0,335.0051,95.07309,0.00091552734,-0.0014648438
22,22,0.022,0,335.00555,95.07441,0.00045776367,0.0013198853
23,23,0.023,0,335.00607,95.074615,0.0005187988,0.00020599365
24,24,0.024,0,335.03983,95.06491,0.03375244,-0.00970459
25,25,0.025,0,335.06543,95.05482,0.025604248,-0.010093689
26,26,0.026,0,335.09586,95.04461,0.030426025,-0.01020813
27,27,0.027,0,335.12408,95.02517,0.02822876,-0.019439697
28,28,0.028,0,335.16003,95.02664,0.035949707,0.0014724731
29,29,0.029,0,335.1944,95.02427,0.034362793,-0.0023727417
30,30,0.03,0,335.197,95.01631,0.0025939941,-0.0079574585
31,31,0.031,0,335.196,95.00448,-0.0009765625,-0.011833191
32,32,0.032,0,335.19666,95.02134,0.00064086914,0.016860962
33,33,0.033,0,335.2072,95.02805,0.010559082,0.006713867
34,34,0.034,0,335.214,95.04007,0.0067749023,0.012016296
35,35,0.035,0,335.2235,95.04599,0.009521484,0.00592041
36,36,0.036,0,335.17303,95.03971,-0.050476074,-0.0062789917
37,37,0.037,0,335.12534,95.03462,-0.047698975,-0.005088806
38,38,0.038,0,335.07565,95.027466,-0.049682617,-0.007156372
39,39,0.039,0,335.0224,95.024086,-0.053253174,-0.0033798218
40,40,0.04,0,335.0383,95.03932,0.015899658,0.015235901
41,41,0.041,0,335.05185,95.05355,0.013549805,0.014228821
42,42,0.042,0,335.02835,95.067986,-0.023498535,0.014434814
43,43,0.043,0,335.00214,95.08153,-0.0262146,0.013542175
44,44,0.044,0,335.00232,95.08196,0.00018310547,0.0004348755
45,45,0.045,0,335.0089,95.07552,0.006591797,-0.006439209
46,46,0.046,0,335.01163,95.0705,0.0027160645,-0.0050201416
47,47,0.047,0,335.02103,95.06295,0.009399414,-0.0075531006
48,48,0.048,0,335.00693,95.06284,-0.014099121,-0.00010681152
49,49,0.049,0,334.98914,95.06013,-0.017791748,-0.0027160645
50,50,0.05,0,334.97498,95.05676,-0.014160156,-0.003364563
51,51,0.051,0,334.95862,95.05412,-0.016357422,-0.0026397705
52,52,0.052,0,334.96783,95.05815,0.009216309,0.0040283203
53,53,0.053,0,334.97513,95.05862,0.007293701,0.00046539307
54,54,0.054,0,334.98206,95.06199,0.0069274902,0.0033721924
55,55,0.055,0,334.99442,95.051254,0.012359619,-0.010734558
56,56,0.056,0,334.99286,95.056885,-0.0015563965,0.005630493
57,57,0.057,0,334.99258,95.05775,-0.0002746582,0.0008621216
58,58,0.058,0,334.98926,95.06408,-0.003326416,0.0063323975
59,59,0.059,0,334.9896,95.06232,0.00033569336,-0.0017623901
60,60,0.06,0,335.00552,95.06636,0.015930176,0.004043579
61,61,0.061,0,335.0186,95.068405,0.013061523,0.0020446777
62,62,0.062,0,335.02014,95.06763,0.0015563965,-0.00077819824
63,63,0.063,0,335.01727,95.06098,-0.0028686523,-0.0066452026
64,64,0.064,0,335.04395,95.05558,0.026672363,-0.0054016113
65,65,0.065,0,335.06738,95.05099,0.0234375,-0.0045928955
66,66,0.066,0,335.0723,95.04419,0.00491333,-0.0067977905
67,67,0.067,0,335.07413,95.042435,0.0018310547,-0.0017547607
68,68,0.068,0,335.11383,95.05534,0.03970337,0.012908936
69,69,0.069,0,335.11594,95.05219,0.002105713,-0.00315094
70,70,0.07,0,335.11746,95.04918,0.0015258789,-0.0030136108
71,71,0.071,0,335.12204,95.04093,0.0045776367,-0.0082473755
72,72,0.072,0,335.1289,95.03858,0.006866455,-0.0023498535
73,73,0.073,0,335.1276,95.041336,-0.0013122559,0.0027542114
74,74,0.074,0,335.13004,95.04008,0.0024414062,-0.0012588501
75,75,0.075,0,335.1265,95.04392,-0.003540039,0.0038452148
76,76,0.076,0,335.12698,95.04394,0.00048828125,1.5258789e-05
77,77,0.077,0,335.12714,95.04394,0.00015258789,0.0
78,78,0.078,0,335.12732,95.0438,0.00018310547,-0.0001373291
79,79,0.079,0,335.126,95.04372,-0.0013122559,-8.392334e-05
80,80,0.08,0,335.1092,95.046234,-0.016815186,0.0025177002
81,81,0.081,0,335.10428,95.046074,-0.00491333,-0.00016021729
82,82,0.082,0,335.09885,95.04552,-0.005432129,-0.0005569458
83,83,0.083,0,335.09265,95.04591,-0.0061950684,0.00039672852
84,84,0.084,0,335.0901,95.050255,-0.0025634766,0.0043411255
85,85,0.085,0,335.08795,95.05057,-0.0021362305,0.00031280518
86,86,0.086,0,335.08038,95.057236,-0.0075683594,0.006668091
87,87,0.087,0,335.07843,95.05194,-0.001953125,-0.0052948
88,88,0.088,0,335.0783,95.05195,-0.00012207031,7.6293945e-06
89,89,0.089,0,335.07806,95.0519,-0.00024414062,-4.5776367e-05
90,90,0.09,0,335.07797,95.05182,-9.1552734e-05,-8.392334e-05
91,91,0.091,0,335.07822,95.05184,0.00024414062,2.2888184e-05
92,92,0.092,0,335.0779,95.05159,-0.00030517578,-0.00025177002
93,93,0.093,0,335.07806,95.051575,0.00015258789,-1.5258789e-05
94,94,0.094,0,335.078,95.05151,-6.1035156e-05,-6.1035156e-05
95,95,0.095,0,335.0771,95.05226,-0.00091552734,0.00074768066
96,96,0.096,0,335.0787,95.05068,0.0016174316,-0.0015792847
97,97,0.097,0,335.0788,95.05056,9.1552734e-05,-0.00012207031
98,98,0.098,0,335.07816,95.05036,-0.00064086914,-0.00019836426
