,iteration,time,id,x,y,dx,dy
0,0,0.0,0,333.8042,101.996925,-0.19580078,-0.003074646
1,1,0.001,0,333.80627,101.99695,0.0020751953,2.2888184e-05
2,2,0.002,0,333.80643,101.99689,0.00015258789,-6.1035156e-05
3,3,0.003,0,333.80676,101.99781,0.00033569336,0.00092315674
4,4,0.004,0,333.80258,102.01574,-0.004180908,0.017929077
5,5,0.005,0,333.80396,102.01474,0.001373291,-0.0009994507
6,6,0.006,0,333.80984,102.02263,0.0058898926,0.007888794
7,7,0.007,0,333.8214,102.02682,0.011566162,0.0041885376
8,8,0.008,0,333.81522,102.01899,-0.0061950684,-0.007827759
9,9,0.009,0,333.81592,102.02039,0.0007019043,0.0014038086
10,10,0.01,0,333.81683,102.01929,0.00091552734,-0.0011062622
11,11,0.011,0,333.8216,102.02405,0.004760742,0.004760742
12,12,0.012,0,333.81503,102.01002,-0.0065612793,-0.014030457
13,13,0.013,0,333.8218,101.993385,0.0067749023,-0.01663208
14,14,0.014,0,333.82162,101.99355,-0.00018310547,0.00016784668
15,15,0.015,0,333.82175,101.9932,0.00012207031,-0.00035095215
16,16,0.016,0,333.82474,101.98762,0.0029907227,-0.005584717
17,17,0.017,0,333.8346,101.9805,0.009857178,-0.007118225
18,18,0.018,0,333.83456,101.980515,-3.0517578e-05,1.5258789e-05
19,19,0.019,0,333.83478,101.980545,0.00021362305,3.0517578e-05
20,20,0.02,0,333.82764,101.98665,-0.0071411133,0.0061035156
21,21,0.021,0,333.82648,101.987404,-0.001159668,0.00075531006
22,22,0.022,0,333.82077,101.99368,-0.005706787,0.0062789917
23,23,0.023,0,333.8209,101.992516,0.00012207031,-0.0011672974
24,24,0.024,0,333.85492,101.96551,0.0340271,-0.027008057
25,25,0.025,0,333.89407,101.930214,0.039154053,-0.03529358
26,26,0.026,0,333.93503,101.89609,0.04095459,-0.03412628
27,27,0.027,0,333.98273,101.86351,0.047698975,-0.032577515
28,28,0.028,0,334.0147,101.849266,0.031982422,-0.01424408
29,29,0.029,0,334.05368,101.83487,0.038970947,-0.0143966675
30,30,0.03,0,334.086,101.815544,0.032318115,-0.019325256
31,31,0.031,0,334.12613,101.798546,0.040130615,-0.016998291
32,32,0.032,0,334.11526,101.81879,-0.010864258,0.020240784
33,33,0.033,0,334.1156,101.821625,0.00033569336,0.0028381348
34,34,0.034,0,334.13986,101.84987,0.024261475,0.028244019
35,35,0.035,0,334.1383,101.84963,-0.0015563965,-0.00023651123
36,36,0.036,0,334.15295,101.864586,0.0146484375,0.014953613
37,37,0.037,0,334.17288,101.87731,0.019927979,0.01272583
38,38,0.038,0,334.14978,101.88879,-0.023101807,0.011474609
39,39,0.039,0,334.12802,101.8927,-0.021759033,0.0039138794
40,40,0.04,0,334.10373,101.901566,-0.024291992,0.008865356
41,41,0.041,0,334.08783,101.90784,-0.015899658,0.0062713623
42,42,0.042,0,334.0508,101.92583,-0.037017822,0.017990112
43,43,0.043,0,334.01486,101.93907,-0.035949707,0.013244629
44,44,0.044,0,333.97458,101.95665,-0.040283203,0.017578125
45,45,0.045,0,333.93973,101.96398,-0.034851074,0.007331848
46,46,0.046,0,333.9324,101.96494,-0.0073242188,0.0009613037
47,47,0.047,0,333.92435,101.97146,-0.008056641,0.006515503
48,48,0.048,0,333.9179,101.97476,-0.006439209,0.0033035278
49,49,0.049,0,333.91077,101.9773,-0.0071411133,0.0025405884
50,50,0.05,0,333.89108,101.98155,-0.019683838,0.0042495728
51,51,0.051,0,333.87823,101.98325,-0.0128479,0.001701355
52,52,0.052,0,333.87332,101.98294,-0.00491333,-0.00031280518
53,53,0.053,0,333.8757,101.984,0.002380371,0.0010604858
54,54,0.054,0,333.87708,101.98277,0.001373291,-0.0012283325
55,55,0.055,0,333.87543,101.98467,-0.0016479492,0.0018997192
