,iteration,time,id,x,y,dx,dy
0,0,0.0,0,252.18788,89.139145,0.18788147,0.1391449
1,1,0.001,0,252.18823,89.13982,0.00035095215,0.0006713867
2,2,0.002,0,252.18823,89.139854,0.0,3.8146973e-05
3,3,0.003,0,252.18805,89.140915,-0.00018310547,0.0010604858
4,4,0.004,0,252.18013,89.21563,-0.0079193115,0.07471466
5,5,0.005,0,252.18286,89.1733,0.0027313232,-0.04232788
6,6,0.006,0,252.18129,89.19275,-0.0015716553,0.019447327
7,7,0.007,0,252.18224,89.21367,0.0009460449,0.0209198
8,8,0.008,0,252.17523,89.22216,-0.007003784,0.008491516
9,9,0.009,0,252.17566,89.21935,0.0004272461,-0.0028076172
10,10,0.01,0,252.17686,89.22422,0.0012054443,0.0048675537
11,11,0.011,0,252.18144,89.22807,0.0045776367,0.0038528442
12,12,0.012,0,252.18483,89.2023,0.0033874512,-0.025772095
13,13,0.013,0,252.20357,89.18108,0.018737793,-0.021217346
14,14,0.014,0,252.2003,89.18297,-0.0032653809,0.0018844604
15,15,0.015,0,252.21844,89.154724,0.0181427,-0.028244019
16,16,0.016,0,252.2247,89.04945,0.0062561035,-0.105270386
17,17,0.017,0,252.22287,89.05152,-0.0018310547,0.002067566
18,18,0.018,0,252.21997,88.99429,-0.00289917,-0.05722809
19,19,0.019,0,252.23225,88.94779,0.012283325,-0.04650116
20,20,0.02,0,252.23907,88.9777,0.0068206787,0.029907227
21,21,0.021,0,252.2496,89.014305,0.010528564,0.036605835
22,22,0.022,0,252.25552,89.05546,0.00592041,0.041152954
23,23,0.023,0,252.2637,89.08765,0.008178711,0.032188416
24,24,0.024,0,252.2975,89.086975,0.033798218,-0.0006713867
25,25,0.025,0,252.33072,89.08261,0.033218384,-0.0043640137
26,26,0.026,0,252.37138,89.07429,0.040664673,-0.008323669
27,27,0.027,0,252.42075,89.06322,0.049362183,-0.011070251
28,28,0.028,0,252.45787,88.938255,0.037124634,-0.12496185
29,29,0.029,0,252.49019,88.8106,0.032318115,-0.12765503
30,30,0.03,0,252.5369,88.62053,0.046707153,-0.1900711
31,31,0.031,0,252.54053,88.61866,0.0036315918,-0.0018692017
32,32,0.032,0,252.52142,88.66791,-0.019104004,0.04924774
33,33,0.033,0,252.50493,88.72287,-0.016494751,0.05496216
34,34,0.034,0,252.48657,88.77687,-0.018356323,0.054000854
35,35,0.035,0,252.47581,88.82866,-0.010757446,0.05178833
36,36,0.036,0,252.45595,88.899864,-0.019866943,0.07120514
37,37,0.037,0,252.4469,88.98077,-0.009048462,0.0809021
38,38,0.038,0,252.41673,89.12578,-0.030166626,0.1450119
39,39,0.039,0,252.42136,89.13169,0.004623413,0.0059127808
40,40,0.04,0,252.40448,89.09986,-0.01687622,-0.031829834
41,41,0.041,0,252.40236,89.05861,-0.0021209717,-0.041252136
42,42,0.042,0,252.39523,89.02466,-0.0071258545,-0.033950806
43,43,0.043,0,252.39465,88.98494,-0.000579834,-0.039718628
44,44,0.044,0,252.36508,89.013306,-0.029571533,0.028366089
45,45,0.045,0,252.35435,89.02343,-0.010726929,0.010124207
46,46,0.046,0,252.33649,89.0396,-0.017868042,0.016166687
