,iteration,time,id,x,y,dx,dy
0,0,0.0,0,363.0017,146.9996,0.0017089844,-0.00039672852
1,1,0.004,0,363.0017,146.9996,0.0,0.0
2,2,0.008,0,363.0017,146.99965,0.0,4.5776367e-05
3,3,0.012,0,363.00208,146.99937,0.00036621094,-0.0002746582
4,4,0.016,0,363.0025,146.99675,0.0004272461,-0.0026245117
5,5,0.02,0,363.0017,146.9986,-0.00079345703,0.0018463135
6,6,0.024,0,363.00266,146.99648,0.0009460449,-0.0021209717
7,7,0.028,0,363.00253,146.9976,-0.00012207031,0.0011291504
8,8,0.032,0,363.06055,146.97662,0.058013916,-0.020980835
9,9,0.036,0,363.06,146.97382,-0.0005493164,-0.0028076172
10,10,0.04,0,363.06042,146.97435,0.0004272461,0.0005340576
11,11,0.044,0,363.0606,146.97455,0.00018310547,0.00019836426
12,12,0.048,0,363.07037,146.98746,0.009765625,0.012908936
13,13,0.052,0,363.08182,146.99858,0.011444092,0.011123657
14,14,0.056,0,363.0814,146.99983,-0.0004272461,0.0012512207
15,15,0.06,0,363.08105,146.99994,-0.00033569336,0.00010681152
16,16,0.064,0,363.0988,147.02107,0.017730713,0.021133423
17,17,0.068,0,363.0969,147.02716,-0.0018920898,0.006088257
18,18,0.072,0,363.09796,147.0261,0.0010681152,-0.0010681152
19,19,0.076,0,363.09958,147.02756,0.0016174316,0.0014648438
20,20,0.08,0,363.10022,147.02795,0.00064086914,0.00039672852
21,21,0.084,0,363.09763,147.03186,-0.0025939941,0.00390625
22,22,0.088,0,363.09875,147.03084,0.0011291504,-0.0010223389
23,23,0.092,0,363.09778,147.03366,-0.0009765625,0.002822876
24,24,0.096,0,363.0988,147.03096,0.0010070801,-0.0027008057
25,25,0.1,0,363.09845,147.03197,-0.00033569336,0.0010070801
26,26,0.104,0,363.09854,147.032,9.1552734e-05,3.0517578e-05
27,27,0.108,0,363.09848,147.03198,-6.1035156e-05,-1.5258789e-05
28,28,0.112,0,363.09958,147.02948,0.0010986328,-0.0025024414
29,29,0.116,0,363.09927,147.03078,-0.00030517578,0.0012969971
30,30,0.12,0,363.09937,147.03091,9.1552734e-05,0.0001373291
31,31,0.124,0,363.09753,147.03384,-0.0018310547,0.0029296875
32,32,0.128,0,363.09744,147.034,-9.1552734e-05,0.00015258789
33,33,0.132,0,363.0974,147.03412,-3.0517578e-05,0.00012207031
34,34,0.136,0,363.09744,147.03409,3.0517578e-05,-3.0517578e-05
35,35,0.14,0,363.0975,147.0345,6.1035156e-05,0.0004119873
36,36,0.144,0,363.0972,147.03246,-0.00030517578,-0.0020446777
37,37,0.148,0,363.0972,147.03246,0.0,0.0
38,38,0.152,0,363.0972,147.03246,0.0,0.0
39,39,0.156,0,363.0974,147.03246,0.00021362305,0.0
40,40,0.16,0,363.09766,147.03188,0.00024414062,-0.000579834
41,41,0.164,0,363.09766,147.03188,0.0,0.0
42,42,0.168,0,363.09766,147.03188,0.0,0.0
43,43,0.172,0,363.09763,147.03215,-3.0517578e-05,0.0002746582
44,44,0.176,0,363.09796,147.03171,0.00033569336,-0.00044250488
45,45,0.18,0,363.09827,147.03214,0.00030517578,0.0004272461
46,46,0.184,0,363.09833,147.03203,6.1035156e-05,-0.00010681152
47,47,0.188,0,363.09827,147.03125,-6.1035156e-05,-0.00077819824
48,48,0.192,0,363.09296,147.04088,-0.0053100586,0.009628296
49,49,0.196,0,363.09308,147.04036,0.00012207031,-0.0005187988
50,50,0.2,0,363.09222,147.0399,-0.0008544922,-0.00045776367
51,51,0.204,0,363.09534,147.0519,0.003112793,0.011993408
52,52,0.208,0,363.0919,147.03973,-0.0034484863,-0.012161255
53,53,0.212,0,363.09192,147.03989,3.0517578e-05,0.00015258789
54,54,0.216,0,363.09186,147.03986,-6.1035156e-05,-3.0517578e-05
55,55,0.22,0,363.09262,147.0403,0.00076293945,0.00044250488
56,56,0.224,0,363.0926,147.04036,-3.0517578e-05,6.1035156e-05
