,iteration,time,id,x,y,dx,dy
0,0,0.0,0,292.9973,126.08294,-0.0026855469,0.08293915
1,1,0.004,0,292.99786,126.08373,0.0005493164,0.00079345703
2,2,0.008,0,292.99768,126.083954,-0.00018310547,0.00022125244
3,3,0.012,0,292.9982,126.08392,0.0005187988,-3.0517578e-05
4,4,0.016,0,292.99808,126.084236,-0.00012207031,0.00031280518
5,5,0.02,0,292.99762,126.08438,-0.00045776367,0.0001449585
6,6,0.024,0,293.00168,126.07338,0.004058838,-0.011001587
7,7,0.028,0,293.0002,126.072365,-0.0014648438,-0.0010147095
8,8,0.032,0,293.2265,126.06947,0.22628784,-0.0028915405
9,9,0.036,0,293.2628,126.07123,0.0362854,0.0017547607
10,10,0.04,0,293.26614,126.069695,0.0033569336,-0.0015335083
11,11,0.044,0,293.26535,126.069145,-0.00079345703,-0.0005493164
12,12,0.048,0,293.37964,126.06683,0.11428833,-0.0023117065
13,13,0.052,0,293.50366,126.06986,0.12402344,0.0030288696
14,14,0.056,0,293.51523,126.07084,0.011566162,0.0009765625
15,15,0.06,0,293.53525,126.07662,0.020019531,0.005783081
16,16,0.064,0,293.62933,126.0725,0.09408569,-0.004119873
17,17,0.068,0,293.72095,126.07381,0.09161377,0.0013046265
18,18,0.072,0,293.71732,126.11536,-0.0036315918,0.041549683
19,19,0.076,0,293.7187,126.15605,0.001373291,0.04069519
20,20,0.08,0,293.72662,126.23288,0.00793457,0.076828
21,21,0.084,0,293.74304,126.30604,0.016418457,0.073158264
22,22,0.088,0,293.74158,126.30509,-0.0014648438,-0.0009460449
23,23,0.092,0,293.7414,126.30474,-0.00018310547,-0.00035095215
24,24,0.096,0,293.7399,126.30364,-0.0014953613,-0.0010986328
25,25,0.1,0,293.73938,126.30303,-0.0005187988,-0.00061035156
26,26,0.104,0,293.73953,126.302765,0.00015258789,-0.0002670288
27,27,0.108,0,293.73987,126.3024,0.00033569336,-0.00036621094
28,28,0.112,0,293.7396,126.30287,-0.0002746582,0.00047302246
29,29,0.116,0,293.73953,126.30295,-6.1035156e-05,7.6293945e-05
30,30,0.12,0,293.7395,126.30255,-3.0517578e-05,-0.00039672852
31,31,0.124,0,293.7398,126.30264,0.00030517578,9.1552734e-05
32,32,0.128,0,293.73987,126.30217,6.1035156e-05,-0.00047302246
33,33,0.132,0,293.73953,126.302895,-0.00033569336,0.0007247925
34,34,0.136,0,293.75983,126.292015,0.02029419,-0.010879517
35,35,0.14,0,293.785,126.28565,0.025177002,-0.006362915
36,36,0.144,0,293.81006,126.2807,0.025054932,-0.004951477
37,37,0.148,0,293.82944,126.27223,0.019378662,-0.008468628
38,38,0.152,0,293.82928,126.27204,-0.00015258789,-0.00019073486
39,39,0.156,0,293.82928,126.27184,0.0,-0.00019836426
40,40,0.16,0,293.82925,126.271454,-3.0517578e-05,-0.00038909912
41,41,0.164,0,293.8276,126.27203,-0.0016479492,0.000579834
42,42,0.168,0,293.83255,126.26859,0.0049438477,-0.003440857
43,43,0.172,0,293.83524,126.26658,0.0026855469,-0.0020141602
44,44,0.176,0,293.83994,126.26188,0.004699707,-0.004699707
45,45,0.18,0,293.84183,126.26013,0.0018920898,-0.0017471313
46,46,0.184,0,293.84274,126.26028,0.00091552734,0.0001449585
47,47,0.188,0,293.84308,126.26077,0.00033569336,0.00049591064
48,48,0.192,0,293.8436,126.26073,0.0005187988,-4.5776367e-05
49,49,0.196,0,293.84418,126.261955,0.000579834,0.0012283325
50,50,0.2,0,293.84402,126.26194,-0.00015258789,-1.5258789e-05
51,51,0.204,0,293.8439,126.26196,-0.00012207031,2.2888184e-05
52,52,0.208,0,293.844,126.26253,9.1552734e-05,0.0005645752
53,53,0.212,0,293.8439,126.263756,-9.1552734e-05,0.0012283325
54,54,0.216,0,293.8434,126.26305,-0.00048828125,-0.0007095337
55,55,0.22,0,293.8433,126.26193,-0.00012207031,-0.0011138916
56,56,0.224,0,293.84314,126.26246,-0.00015258789,0.0005264282
57,57,0.228,0,293.8433,126.262764,0.00015258789,0.00030517578
58,58,0.232,0,293.86246,126.264595,0.019165039,0.0018310547
59,59,0.236,0,293.87924,126.26782,0.016784668,0.003227234
60,60,0.24,0,293.8978,126.26997,0.018554688,0.0021514893
61,61,0.244,0,293.91113,126.27386,0.013336182,0.0038833618
62,62,0.248,0,293.8958,126.27185,-0.015319824,-0.0020065308
63,63,0.252,0,293.87805,126.26821,-0.01776123,-0.0036392212
64,64,0.256,0,293.87772,126.2681,-0.00033569336,-0.00011444092
65,65,0.26,0,293.87762,126.26861,-9.1552734e-05,0.00051116943
66,66,0.264,0,293.87753,126.26882,-9.1552734e-05,0.00021362305
67,67,0.268,0,293.87726,126.26952,-0.0002746582,0.0007019043
68,68,0.272,0,293.87656,126.26995,-0.0007019043,0.0004272461
69,69,0.276,0,293.87543,126.27115,-0.0011291504,0.0011978149
70,70,0.28,0,293.87646,126.27015,0.0010375977,-0.0009994507
71,71,0.284,0,293.877,126.26966,0.0005493164,-0.00048828125
72,72,0.288,0,293.87762,126.269135,0.00061035156,-0.0005264282
73,73,0.292,0,293.87744,126.26933,-0.00018310547,0.00019836426
74,74,0.296,0,293.8777,126.2696,0.00024414062,0.0002670288
75,75,0.3,0,293.87784,126.26957,0.00015258789,-3.0517578e-05
76,76,0.304,0,293.87805,126.27033,0.00021362305,0.00076293945
77,77,0.308,0,293.87747,126.27096,-0.000579834,0.00062561035
