,iteration,time,id,x,y,dx,dy
0,0,0.0,0,346.03082,234.99966,0.030822754,-0.00033569336
1,1,0.002,0,346.0421,234.99774,0.011291504,-0.0019226074
2,2,0.004,0,346.21747,234.9973,0.175354,-0.00044250488
3,3,0.006,0,346.30588,234.95189,0.088409424,-0.045410156
4,4,0.008,0,346.32578,234.94914,0.019897461,-0.002746582
5,5,0.01,0,346.3106,234.95108,-0.015167236,0.0019378662
6,6,0.012,0,346.29538,234.95268,-0.0152282715,0.0016021729
7,7,0.014,0,346.202,234.97296,-0.09338379,0.02027893
8,8,0.016,0,346.1845,234.97575,-0.017486572,0.0027923584
9,9,0.018,0,346.18457,234.97545,6.1035156e-05,-0.00030517578
10,10,0.02,0,346.18475,234.9766,0.00018310547,0.0011444092
11,11,0.022,0,346.18832,234.97643,0.0035705566,-0.00016784668
12,12,0.024,0,346.18756,234.97647,-0.00076293945,4.5776367e-05
13,13,0.026,0,346.18582,234.9767,-0.001739502,0.00022888184
14,14,0.028,0,346.1841,234.97688,-0.0017089844,0.00018310547
15,15,0.03,0,346.17926,234.9365,-0.004852295,-0.040390015
16,16,0.032,0,346.1766,234.9155,-0.0026550293,-0.020996094
17,17,0.034,0,346.17657,234.90434,-3.0517578e-05,-0.011154175
18,18,0.036,0,346.1787,234.90433,0.0021362305,-1.5258789e-05
19,19,0.038,0,346.19302,234.90497,0.014312744,0.00064086914
20,20,0.04,0,346.20685,234.90321,0.013824463,-0.0017547607
21,21,0.042,0,346.2332,234.8998,0.02633667,-0.0034179688
22,22,0.044,0,346.23462,234.89946,0.0014343262,-0.00033569336
23,23,0.046,0,346.23303,234.89984,-0.0015869141,0.00038146973
24,24,0.048,0,346.2062,234.90387,-0.026824951,0.0040283203
25,25,0.05,0,346.17017,234.90848,-0.03604126,0.0046081543
26,26,0.052,0,346.13126,234.91281,-0.038909912,0.004333496
27,27,0.054,0,346.10696,234.94502,-0.024291992,0.032211304
28,28,0.056,0,346.08548,234.99216,-0.021484375,0.0471344
29,29,0.058,0,346.1023,235.0308,0.016815186,0.038650513
30,30,0.06,0,346.1256,235.08559,0.02331543,0.054779053
31,31,0.062,0,346.12555,235.08578,-6.1035156e-05,0.00019836426
32,32,0.064,0,346.1357,235.12073,0.0101623535,0.034942627
33,33,0.066,0,346.13474,235.11815,-0.0009765625,-0.0025787354
34,34,0.068,0,346.13522,235.11911,0.00048828125,0.0009613037
35,35,0.07,0,346.1266,235.04752,-0.008636475,-0.07159424
36,36,0.072,0,346.12656,234.99483,-3.0517578e-05,-0.0526886
37,37,0.074,0,346.126,234.99313,-0.0005493164,-0.0016937256
38,38,0.076,0,346.12524,234.9917,-0.00076293945,-0.0014343262
39,39,0.078,0,346.15567,234.9874,0.030426025,-0.0043029785
40,40,0.08,0,346.1857,234.98187,0.030029297,-0.0055236816
41,41,0.082,0,346.18567,234.98193,-3.0517578e-05,6.1035156e-05
42,42,0.084,0,346.1859,234.9816,0.00024414062,-0.00033569336
43,43,0.086,0,346.17795,234.98378,-0.007965088,0.0021820068
44,44,0.088,0,346.1356,235.0019,-0.0423584,0.018127441
45,45,0.09,0,346.11157,235.00325,-0.024017334,0.0013427734
46,46,0.092,0,346.09286,235.02917,-0.018707275,0.025924683
47,47,0.094,0,346.09894,235.04588,0.006072998,0.016708374
48,48,0.096,0,346.10913,235.08418,0.010192871,0.03829956
49,49,0.098,0,346.11703,235.10829,0.007904053,0.024108887
50,50,0.1,0,346.13046,235.15486,0.013427734,0.046569824
51,51,0.102,0,346.12857,235.14746,-0.0018920898,-0.0074005127
52,52,0.104,0,346.12836,235.14595,-0.00021362305,-0.0015106201
53,53,0.106,0,346.11923,235.14377,-0.009124756,-0.0021820068
54,54,0.108,0,346.1122,235.14258,-0.007019043,-0.0011901855
55,55,0.11,0,346.11212,235.14255,-9.1552734e-05,-3.0517578e-05
56,56,0.112,0,346.11224,235.1425,0.00012207031,-4.5776367e-05
57,57,0.114,0,346.14484,235.13773,0.032592773,-0.004776001
58,58,0.116,0,346.1783,235.13203,0.033477783,-0.0056915283
59,59,0.118,0,346.17834,235.13203,3.0517578e-05,0.0
60,60,0.12,0,346.17844,235.13202,9.1552734e-05,-1.5258789e-05
61,61,0.122,0,346.17853,235.13196,9.1552734e-05,-6.1035156e-05
62,62,0.124,0,346.1787,235.13185,0.00018310547,-0.00010681152
63,63,0.126,0,346.1675,235.13432,-0.011199951,0.0024719238
64,64,0.128,0,346.15714,235.13614,-0.010375977,0.0018157959
65,65,0.13,0,346.14557,235.13818,-0.011566162,0.0020446777
66,66,0.132,0,346.13434,235.13986,-0.011230469,0.0016784668
67,67,0.134,0,346.13437,235.13992,3.0517578e-05,6.1035156e-05
68,68,0.136,0,346.1343,235.14005,-6.1035156e-05,0.00012207031
69,69,0.138,0,346.1343,235.14012,0.0,7.6293945e-05
70,70,0.14,0,346.13422,235.14029,-9.1552734e-05,0.00016784668
71,71,0.142,0,346.13742,235.13556,0.0032043457,-0.0047302246
72,72,0.144,0,346.14816,235.15297,0.0107421875,0.017410278
73,73,0.146,0,346.14844,235.15297,0.0002746582,0.0
74,74,0.148,0,346.15613,235.18094,0.0076904297,0.02796936
75,75,0.15,0,346.18762,235.16693,0.03149414,-0.014007568
76,76,0.152,0,346.22534,235.16718,0.037719727,0.00024414062
77,77,0.154,0,346.2554,235.16554,0.030059814,-0.0016326904
78,78,0.156,0,346.2919,235.16837,0.036499023,0.002822876
79,79,0.158,0,346.27124,235.1639,-0.0206604,-0.004470825
80,80,0.16,0,346.25293,235.16548,-0.018310547,0.0015869141
81,81,0.162,0,346.21844,235.16687,-0.034484863,0.0013885498
82,82,0.164,0,346.18777,235.17305,-0.030670166,0.0061798096
83,83,0.166,0,346.16794,235.17723,-0.019836426,0.004180908
84,84,0.168,0,346.16797,235.1775,3.0517578e-05,0.0002746582
85,85,0.17,0,346.1762,235.1766,0.008239746,-0.00090026855
86,86,0.172,0,346.19446,235.20908,0.018249512,0.032470703
87,87,0.174,0,346.18918,235.20746,-0.005279541,-0.0016174316
88,88,0.176,0,346.18436,235.20944,-0.0048217773,0.0019836426
89,89,0.178,0,346.1802,235.2118,-0.0041503906,0.0023651123
90,90,0.18,0,346.15472,235.21948,-0.025482178,0.007675171
91,91,0.182,0,346.15756,235.21916,0.0028381348,-0.00032043457
92,92,0.184,0,346.1571,235.21892,-0.00045776367,-0.00024414062
93,93,0.186,0,346.16528,235.21777,0.008178711,-0.0011444092
94,94,0.188,0,346.17526,235.21628,0.009979248,-0.0014953613
95,95,0.19,0,346.206,235.20615,0.030731201,-0.010131836
96,96,0.192,0,346.2366,235.19969,0.03060913,-0.006454468
97,97,0.194,0,346.24057,235.1956,0.003967285,-0.0040893555
98,98,0.196,0,346.24454,235.19304,0.003967285,-0.0025634766
99,99,0.198,0,346.2423,235.1919,-0.0022277832,-0.0011444092
100,100,0.2,0,346.19986,235.20073,-0.04244995,0.008834839
101,101,0.202,0,346.1813,235.20383,-0.018554688,0.0030975342
102,102,0.204,0,346.15958,235.21156,-0.021728516,0.007736206
103,103,0.206,0,346.1488,235.23479,-0.010772705,0.023223877
104,104,0.208,0,346.14432,235.2733,-0.004486084,0.038513184
105,105,0.21,0,346.1389,235.2972,-0.005432129,0.023895264
106,106,0.212,0,346.13422,235.34859,-0.0046691895,0.0513916
107,107,0.214,0,346.13876,235.32811,0.004547119,-0.020477295
108,108,0.216,0,346.14844,235.34038,0.009674072,0.012268066
109,109,0.218,0,346.14603,235.28903,-0.0024108887,-0.051345825
110,110,0.22,0,346.15155,235.26846,0.0055236816,-0.020568848
111,111,0.222,0,346.2523,235.2746,0.100738525,0.006134033
112,112,0.224,0,346.35248,235.29718,0.10018921,0.022583008
113,113,0.226,0,346.35248,235.29718,0.0,0.0
114,114,0.228,0,346.35248,235.29718,0.0,0.0
115,115,0.23,0,346.34485,235.29503,-0.0076293945,-0.0021514893
116,116,0.232,0,346.3421,235.29358,-0.002746582,-0.001449585
117,117,0.234,0,346.3035,235.29591,-0.038604736,0.0023345947
118,118,0.236,0,346.29645,235.29623,-0.0070495605,0.00032043457
119,119,0.238,0,346.24255,235.29292,-0.053894043,-0.0033111572
120,120,0.24,0,346.19385,235.29445,-0.048706055,0.0015258789
121,121,0.242,0,346.17014,235.28888,-0.023712158,-0.005569458
122,122,0.244,0,346.15027,235.29239,-0.019866943,0.0035095215
123,123,0.246,0,346.1695,235.28914,0.019226074,-0.003250122
124,124,0.248,0,346.19147,235.29277,0.021972656,0.0036315918
125,125,0.25,0,346.20258,235.29712,0.011108398,0.004348755
126,126,0.252,0,346.2193,235.30672,0.016723633,0.009597778
127,127,0.254,0,346.219,235.30641,-0.00030517578,-0.00030517578
128,128,0.256,0,346.21954,235.30937,0.0005493164,0.002960205
129,129,0.258,0,346.2194,235.30927,-0.00015258789,-0.00010681152
130,130,0.26,0,346.2194,235.31055,0.0,0.0012817383
131,131,0.262,0,346.23654,235.3027,0.017150879,-0.007843018
132,132,0.264,0,346.25153,235.30042,0.014984131,-0.0022888184
133,133,0.266,0,346.26422,235.29613,0.0126953125,-0.0042877197
134,134,0.268,0,346.27924,235.29846,0.015014648,0.0023345947
135,135,0.27,0,346.2828,235.2972,0.0035705566,-0.0012664795
136,136,0.272,0,346.2878,235.29654,0.005004883,-0.00065612793
137,137,0.274,0,346.27097,235.29877,-0.016845703,0.0022277832
138,138,0.276,0,346.25143,235.30312,-0.01953125,0.004348755
139,139,0.278,0,346.22437,235.30664,-0.027069092,0.0035247803
140,140,0.28,0,346.19702,235.30794,-0.02734375,0.0012969971
141,141,0.282,0,346.2097,235.30563,0.012664795,-0.0023040771
142,142,0.284,0,346.22388,235.3044,0.014190674,-0.0012359619
143,143,0.286,0,346.22397,235.30478,9.1552734e-05,0.00038146973
144,144,0.288,0,346.22403,235.30481,6.1035156e-05,3.0517578e-05
145,145,0.29,0,346.22397,235.30472,-6.1035156e-05,-9.1552734e-05
146,146,0.292,0,346.224,235.30608,3.0517578e-05,0.0013580322
147,147,0.294,0,346.20425,235.31003,-0.019744873,0.0039520264
148,148,0.296,0,346.18448,235.31358,-0.01977539,0.0035552979
149,149,0.298,0,346.20416,235.31001,0.019683838,-0.0035705566
150,150,0.3,0,346.22403,235.30637,0.019866943,-0.0036468506
151,151,0.302,0,346.25363,235.29681,0.02960205,-0.009552002
152,152,0.304,0,346.28458,235.28902,0.030944824,-0.007797241
153,153,0.306,0,346.2878,235.28545,0.0032348633,-0.0035705566
154,154,0.308,0,346.2945,235.28513,0.0066833496,-0.00032043457
