,iteration,time,id,x,y,dx,dy
0,0,0.0,0,346.0073,233.74434,0.007293701,-0.255661
1,1,0.002,0,346.00745,233.74263,0.00015258789,-0.0017089844
2,2,0.004,0,346.9232,233.80319,0.91574097,0.060562134
3,3,0.006,0,346.986,233.80556,0.062805176,0.0023651123
4,4,0.008,0,346.89368,233.7654,-0.092315674,-0.040161133
5,5,0.01,0,346.84317,233.74942,-0.05050659,-0.015975952
6,6,0.012,0,346.7534,233.72183,-0.089782715,-0.02758789
7,7,0.014,0,346.68002,233.70944,-0.07336426,-0.012390137
8,8,0.016,0,346.6294,233.74643,-0.050628662,0.036987305
9,9,0.018,0,346.64917,233.72375,0.01977539,-0.02267456
10,10,0.02,0,346.62595,233.73381,-0.023223877,0.010055542
11,11,0.022,0,346.61816,233.74779,-0.0077819824,0.013977051
12,12,0.024,0,346.6058,233.7867,-0.012359619,0.038909912
13,13,0.026,0,346.6054,233.78773,-0.00039672852,0.0010375977
14,14,0.028,0,346.5957,233.80391,-0.00970459,0.016174316
15,15,0.03,0,346.59192,233.83676,-0.0037841797,0.032852173
16,16,0.032,0,346.55258,233.70444,-0.03933716,-0.13232422
17,17,0.034,0,346.55673,233.64183,0.0041503906,-0.06260681
18,18,0.036,0,346.5843,233.47527,0.027557373,-0.16656494
19,19,0.038,0,346.5934,233.43292,0.009124756,-0.04234314
20,20,0.04,0,346.64896,233.49121,0.055541992,0.058288574
21,21,0.042,0,346.67975,233.48935,0.030792236,-0.0018615723
22,22,0.044,0,346.69635,233.56168,0.016601562,0.07232666
23,23,0.046,0,346.69376,233.55658,-0.0025939941,-0.0050964355
24,24,0.048,0,346.60364,233.60959,-0.09011841,0.053009033
25,25,0.05,0,346.51324,233.63986,-0.09039307,0.030273438
26,26,0.052,0,346.4157,233.67413,-0.09753418,0.03427124
27,27,0.054,0,346.31393,233.71709,-0.10177612,0.04295349
28,28,0.056,0,346.32074,233.96353,0.00680542,0.2464447
29,29,0.058,0,346.33975,234.22575,0.019012451,0.2622223
30,30,0.06,0,346.34592,234.43922,0.006164551,0.21347046
31,31,0.062,0,346.34595,234.63814,3.0517578e-05,0.19891357
32,32,0.064,0,346.31882,234.61943,-0.027130127,-0.018707275
33,33,0.066,0,346.2892,234.6132,-0.02960205,-0.006225586
34,34,0.068,0,346.25845,234.60228,-0.030761719,-0.010925293
35,35,0.07,0,346.233,234.59608,-0.02545166,-0.0061950684
36,36,0.072,0,346.2208,234.30562,-0.012207031,-0.2904663
37,37,0.074,0,346.22086,234.30702,6.1035156e-05,0.0014038086
38,38,0.076,0,346.2745,234.13881,0.053649902,-0.16821289
39,39,0.078,0,346.32376,233.97827,0.04925537,-0.16053772
40,40,0.08,0,346.37076,234.00269,0.04699707,0.024414062
41,41,0.082,0,346.3999,234.0422,0.029144287,0.039520264
42,42,0.084,0,346.4251,234.07977,0.02520752,0.03756714
43,43,0.086,0,346.45724,234.13176,0.03213501,0.051986694
44,44,0.088,0,346.34927,234.16028,-0.10797119,0.028518677
45,45,0.09,0,346.24252,234.21458,-0.10675049,0.05430603
46,46,0.092,0,346.1538,234.2301,-0.0887146,0.0155181885
47,47,0.094,0,346.15076,234.23141,-0.0030517578,0.0013122559
48,48,0.096,0,346.20895,234.41098,0.05819702,0.17956543
49,49,0.098,0,346.26428,234.62785,0.05532837,0.21687317
50,50,0.1,0,346.30466,234.79138,0.040374756,0.16352844
51,51,0.102,0,346.34546,234.9742,0.040802002,0.18281555
52,52,0.104,0,346.26718,234.79662,-0.07827759,-0.17758179
53,53,0.106,0,346.1842,234.63243,-0.082977295,-0.16418457
54,54,0.108,0,346.08893,234.45966,-0.09527588,-0.17277527
55,55,0.11,0,345.98837,234.30951,-0.10055542,-0.15014648
56,56,0.112,0,345.98914,234.3038,0.00076293945,-0.005706787
57,57,0.114,0,346.07635,234.29956,0.08721924,-0.0042419434
58,58,0.116,0,346.28845,234.30824,0.21209717,0.008682251
59,59,0.118,0,346.41467,234.3503,0.1262207,0.042053223
60,60,0.12,0,346.35886,234.31256,-0.05581665,-0.037734985
61,61,0.122,0,346.30603,234.28215,-0.052825928,-0.030410767
62,62,0.124,0,346.2392,234.2508,-0.066833496,-0.03135681
63,63,0.126,0,346.17538,234.22981,-0.063812256,-0.020980835
64,64,0.128,0,346.15198,234.21252,-0.023406982,-0.017288208
65,65,0.13,0,346.14075,234.21535,-0.011230469,0.002822876
66,66,0.132,0,346.12097,234.19855,-0.01977539,-0.016799927
67,67,0.134,0,346.10757,234.20456,-0.013397217,0.006011963
68,68,0.136,0,346.20587,234.3632,0.09829712,0.15864563
69,69,0.138,0,346.30273,234.54497,0.09686279,0.1817627
70,70,0.14,0,346.29926,234.54137,-0.003479004,-0.0036010742
71,71,0.142,0,346.2983,234.54369,-0.0009460449,0.002319336
72,72,0.144,0,346.29074,234.51376,-0.0075683594,-0.029922485
