,iteration,time,id,x,y,dx,dy
0,0,0.0,0,291.99753,262.9978,-0.0024719238,-0.0021972656
1,1,0.004,0,291.99738,262.998,-0.00015258789,0.00018310547
2,2,0.008,0,292.00024,262.9392,0.0028686523,-0.058776855
3,3,0.012,0,293.7322,263.88065,1.7319641,0.94143677
4,4,0.016,0,293.47705,262.42374,-0.25515747,-1.4569092
5,5,0.02,0,293.31284,261.30966,-0.16421509,-1.1140747
6,6,0.024,0,293.20752,260.93726,-0.10531616,-0.372406
7,7,0.028,0,293.10022,260.02582,-0.107299805,-0.911438
8,8,0.032,0,291.5872,259.19525,-1.513031,-0.8305664
9,9,0.036,0,291.45984,259.11536,-0.12734985,-0.07989502
10,10,0.04,0,291.47137,259.25586,0.0115356445,0.14050293
11,11,0.044,0,291.79056,259.06873,0.31918335,-0.18713379
12,12,0.048,0,292.32693,258.15775,0.53637695,-0.9109802
13,13,0.052,0,292.51523,258.14978,0.18829346,-0.007965088
14,14,0.056,0,292.28543,258.54584,-0.22979736,0.39605713
15,15,0.06,0,292.08167,258.097,-0.20376587,-0.44885254
16,16,0.064,0,291.52344,256.56122,-0.55822754,-1.5357666
17,17,0.068,0,291.17673,255.45514,-0.3467102,-1.1060791
18,18,0.072,0,291.07993,254.9129,-0.09680176,-0.5422363
19,19,0.076,0,290.77,254.07141,-0.30993652,-0.8414917
20,20,0.08,0,290.30386,252.90646,-0.4661255,-1.1649475
21,21,0.084,0,290.3202,253.59865,0.016326904,0.69218445
22,22,0.088,0,290.30637,254.33241,-0.013824463,0.73376465
23,23,0.092,0,290.35336,254.7625,0.04699707,0.43008423
24,24,0.096,0,290.3773,255.4705,0.023925781,0.7080078
25,25,0.1,0,290.76733,254.6672,0.39004517,-0.80329895
26,26,0.104,0,290.77484,254.90025,0.007507324,0.23304749
27,27,0.108,0,291.0859,255.18205,0.31106567,0.28179932
28,28,0.112,0,291.12433,255.16098,0.03842163,-0.021072388
29,29,0.116,0,291.4419,256.77393,0.31756592,1.6129456
30,30,0.12,0,291.63803,256.75824,0.19613647,-0.015686035
