,iteration,time,id,x,y,dx,dy
0,0,0.0,0,176.99995,219.00003,-4.5776367e-05,3.0517578e-05
1,1,0.002,0,176.99995,218.99997,0.0,-6.1035156e-05
2,2,0.004,0,177.00003,219.0002,7.6293945e-05,0.00022888184
3,3,0.006,0,176.99998,218.99997,-4.5776367e-05,-0.00022888184
4,4,0.008,0,177.00352,219.00388,0.003540039,0.00390625
5,5,0.01,0,177.00728,219.01292,0.003753662,0.009048462
6,6,0.012,0,177.00073,219.0533,-0.0065460205,0.040374756
7,7,0.014,0,176.98691,219.09831,-0.013824463,0.045013428
8,8,0.016,0,177.02315,219.2387,0.036239624,0.14038086
9,9,0.018,0,177.03453,219.2229,0.011383057,-0.015792847
10,10,0.02,0,177.0495,219.20396,0.014968872,-0.018936157
11,11,0.022,0,177.06056,219.19838,0.011062622,-0.005584717
12,12,0.024,0,177.10347,219.18959,0.042907715,-0.0087890625
13,13,0.026,0,177.1419,219.19608,0.03843689,0.0064849854
14,14,0.028,0,177.18019,219.19594,0.0382843,-0.0001373291
15,15,0.03,0,177.21916,219.2042,0.038970947,0.008255005
16,16,0.032,0,177.18883,219.1878,-0.030334473,-0.01638794
17,17,0.034,0,177.16399,219.17642,-0.024841309,-0.011383057
18,18,0.036,0,177.18889,219.1876,0.024902344,0.011184692
19,19,0.038,0,177.2195,219.20369,0.03060913,0.016082764
20,20,0.04,0,177.22095,219.20546,0.001449585,0.0017700195
21,21,0.042,0,177.22284,219.20729,0.0018920898,0.0018310547
22,22,0.044,0,177.22493,219.20909,0.002090454,0.0018005371
23,23,0.046,0,177.22485,219.20891,-7.6293945e-05,-0.00018310547
24,24,0.048,0,177.28777,219.19977,0.06291199,-0.009140015
25,25,0.05,0,177.3127,219.1801,0.024932861,-0.01966858
26,26,0.052,0,177.35367,219.1653,0.04096985,-0.014801025
27,27,0.054,0,177.39673,219.16248,0.043060303,-0.002822876
28,28,0.056,0,177.40096,219.1634,0.0042266846,0.00093078613
29,29,0.058,0,177.4057,219.16759,0.0047454834,0.004180908
30,30,0.06,0,177.40935,219.17142,0.0036468506,0.003829956
31,31,0.062,0,177.41443,219.17775,0.0050811768,0.0063323975
32,32,0.064,0,177.42365,219.10852,0.009216309,-0.069229126
33,33,0.066,0,177.43144,219.05162,0.007797241,-0.056900024
34,34,0.068,0,177.44301,218.99344,0.011566162,-0.058181763
35,35,0.07,0,177.44807,218.93524,0.005065918,-0.05819702
36,36,0.072,0,177.44739,218.93573,-0.0006866455,0.00048828125
37,37,0.074,0,177.44705,218.9355,-0.00033569336,-0.00022888184
38,38,0.076,0,177.447,218.93564,-4.5776367e-05,0.0001373291
39,39,0.078,0,177.44702,218.93565,1.5258789e-05,1.5258789e-05
40,40,0.08,0,177.45343,218.92313,0.0064086914,-0.012527466
41,41,0.082,0,177.45703,218.9151,0.0036010742,-0.008026123
42,42,0.084,0,177.46254,218.9086,0.005508423,-0.006500244
43,43,0.086,0,177.45932,218.90799,-0.0032196045,-0.00061035156
44,44,0.088,0,177.49667,218.95374,0.037353516,0.04574585
45,45,0.09,0,177.5347,219.00446,0.038024902,0.050720215
46,46,0.092,0,177.54698,219.00102,0.012283325,-0.0034332275
47,47,0.094,0,177.55576,218.99718,0.008773804,-0.0038452148
48,48,0.096,0,177.54062,219.00209,-0.015136719,0.00491333
49,49,0.098,0,177.51895,219.01086,-0.02166748,0.008773804
50,50,0.1,0,177.51965,219.01042,0.0007019043,-0.00044250488
51,51,0.102,0,177.51988,219.01039,0.00022888184,-3.0517578e-05
