,iteration,time,id,x,y,dx,dy
0,0,0.0,0,177.03134,217.98785,0.031341553,-0.012145996
1,1,0.002,0,177.03133,217.9878,-1.5258789e-05,-6.1035156e-05
2,2,0.004,0,177.03133,217.98767,0.0,-0.00012207031
3,3,0.006,0,177.03142,217.98758,9.1552734e-05,-9.1552734e-05
4,4,0.008,0,177.04654,217.98926,0.01512146,0.0016784668
5,5,0.01,0,177.01883,218.0515,-0.027709961,0.0622406
6,6,0.012,0,177.02577,218.1534,0.006942749,0.10189819
7,7,0.014,0,177.01097,218.31477,-0.014801025,0.16137695
8,8,0.016,0,177.2349,218.56406,0.22392273,0.24928284
9,9,0.018,0,177.24425,218.56718,0.009353638,0.0031280518
10,10,0.02,0,177.24945,218.65746,0.005203247,0.090270996
11,11,0.022,0,177.25465,218.76988,0.005203247,0.11242676
12,12,0.024,0,177.3921,218.79182,0.13745117,0.021942139
13,13,0.026,0,177.52641,218.83562,0.13430786,0.043792725
14,14,0.028,0,177.63737,218.85529,0.110961914,0.01966858
15,15,0.03,0,177.74792,218.88525,0.11054993,0.029968262
16,16,0.032,0,177.74937,218.88881,0.001449585,0.0035552979
17,17,0.034,0,177.75241,218.89375,0.003036499,0.0049438477
18,18,0.036,0,177.76984,218.86902,0.017425537,-0.024734497
19,19,0.038,0,177.76126,218.92168,-0.008575439,0.05265808
20,20,0.04,0,177.89532,218.94965,0.13406372,0.02796936
21,21,0.042,0,177.89525,218.94983,-7.6293945e-05,0.00018310547
22,22,0.044,0,177.96463,218.95877,0.069381714,0.00894165
23,23,0.046,0,178.03395,218.98799,0.06932068,0.029220581
24,24,0.048,0,178.22765,218.94684,0.19369507,-0.041152954
25,25,0.05,0,178.41342,218.92953,0.18577576,-0.017303467
26,26,0.052,0,178.60034,218.91867,0.18692017,-0.010864258
27,27,0.054,0,178.78627,218.93053,0.18592834,0.011856079
28,28,0.056,0,178.88715,218.84497,0.100875854,-0.08555603
29,29,0.058,0,178.89421,218.8421,0.0070648193,-0.0028686523
30,30,0.06,0,178.95314,218.80243,0.058929443,-0.03967285
31,31,0.062,0,179.00977,218.77608,0.056625366,-0.026351929
32,32,0.064,0,179.06125,218.65627,0.051483154,-0.11981201
33,33,0.066,0,179.11128,218.54208,0.05003357,-0.11418152
34,34,0.068,0,179.16266,218.4316,0.051376343,-0.11048889
35,35,0.07,0,179.21043,218.33403,0.04777527,-0.0975647
36,36,0.072,0,179.21048,218.33443,4.5776367e-05,0.00039672852
37,37,0.074,0,179.21043,218.33516,-4.5776367e-05,0.0007324219
38,38,0.076,0,179.21048,218.33528,4.5776367e-05,0.00012207031
39,39,0.078,0,179.21057,218.3358,9.1552734e-05,0.0005187988
40,40,0.08,0,179.21664,218.24594,0.006072998,-0.08985901
41,41,0.082,0,179.2184,218.24342,0.0017547607,-0.0025177002
42,42,0.084,0,179.21823,218.1991,-0.00016784668,-0.044326782
43,43,0.086,0,179.2198,218.16939,0.0015716553,-0.029708862
44,44,0.088,0,179.37491,218.27548,0.15510559,0.10609436
45,45,0.09,0,179.5199,218.39908,0.14498901,0.12359619
46,46,0.092,0,179.5214,218.40019,0.0014953613,0.0011138916
47,47,0.094,0,179.52225,218.40141,0.0008544922,0.0012207031
48,48,0.096,0,179.50894,218.39096,-0.013305664,-0.0104522705
49,49,0.098,0,179.49162,218.38689,-0.017318726,-0.0040740967
50,50,0.1,0,179.48082,218.37625,-0.010803223,-0.010635376
51,51,0.102,0,179.46973,218.37376,-0.01109314,-0.0024871826
52,52,0.104,0,179.42926,218.37195,-0.04046631,-0.0018157959
53,53,0.106,0,179.38976,218.379,-0.039505005,0.0070495605
54,54,0.108,0,179.34818,218.38905,-0.0415802,0.010055542
55,55,0.11,0,179.3084,218.40283,-0.039779663,0.0137786865
56,56,0.112,0,179.30833,218.40228,-6.1035156e-05,-0.0005493164
57,57,0.114,0,179.3085,218.4022,0.00016784668,-7.6293945e-05
58,58,0.116,0,179.30855,218.40213,4.5776367e-05,-7.6293945e-05
59,59,0.118,0,179.30888,218.40247,0.00033569336,0.00033569336
60,60,0.12,0,179.33043,218.39088,0.02154541,-0.011581421
61,61,0.122,0,179.34956,218.38808,0.019134521,-0.0028076172
62,62,0.124,0,179.37006,218.38184,0.020492554,-0.0062408447
63,63,0.126,0,179.39185,218.37788,0.02178955,-0.0039520264
64,64,0.128,0,179.39185,218.37788,0.0,0.0
65,65,0.13,0,179.39185,218.37788,0.0,0.0
66,66,0.132,0,179.39185,218.37788,0.0,0.0
67,67,0.134,0,179.39296,218.37708,0.0011138916,-0.0008087158
68,68,0.136,0,179.39311,218.37706,0.00015258789,-1.5258789e-05
69,69,0.138,0,179.39314,218.3771,3.0517578e-05,4.5776367e-05
70,70,0.14,0,179.39314,218.3771,0.0,0.0
71,71,0.142,0,179.39322,218.37703,7.6293945e-05,-7.6293945e-05
72,72,0.144,0,179.39322,218.37703,0.0,0.0
73,73,0.146,0,179.39319,218.37709,-3.0517578e-05,6.1035156e-05
74,74,0.148,0,179.39322,218.37703,3.0517578e-05,-6.1035156e-05
75,75,0.15,0,179.39323,218.37706,1.5258789e-05,3.0517578e-05
76,76,0.152,0,179.3933,218.37698,6.1035156e-05,-7.6293945e-05
77,77,0.154,0,179.39331,218.37682,1.5258789e-05,-0.00016784668
78,78,0.156,0,179.39346,218.37703,0.00015258789,0.00021362305
79,79,0.158,0,179.39346,218.37709,0.0,6.1035156e-05
80,80,0.16,0,179.3935,218.37697,3.0517578e-05,-0.00012207031
81,81,0.162,0,179.39342,218.37698,-7.6293945e-05,1.5258789e-05
82,82,0.164,0,179.39334,218.37697,-7.6293945e-05,-1.5258789e-05
83,83,0.166,0,179.39305,218.37735,-0.000289917,0.00038146973
84,84,0.168,0,179.39297,218.37787,-7.6293945e-05,0.0005187988
85,85,0.17,0,179.39284,218.37839,-0.0001373291,0.0005187988
86,86,0.172,0,179.3927,218.37836,-0.0001373291,-3.0517578e-05
87,87,0.174,0,179.39243,218.37823,-0.0002746582,-0.00012207031
88,88,0.176,0,179.39244,218.37839,1.5258789e-05,0.00015258789
89,89,0.178,0,179.39235,218.37828,-9.1552734e-05,-0.00010681152
90,90,0.18,0,179.39192,218.37872,-0.0004272461,0.00044250488
91,91,0.182,0,179.3969,218.35596,0.0049743652,-0.022766113
92,92,0.184,0,179.39981,218.33838,0.0029144287,-0.017578125
93,93,0.186,0,179.40393,218.31732,0.004119873,-0.021057129
94,94,0.188,0,179.40591,218.30682,0.0019836426,-0.010498047
95,95,0.19,0,179.40564,218.30788,-0.0002746582,0.0010528564
96,96,0.192,0,179.40404,218.3174,-0.0016021729,0.009521484
97,97,0.194,0,179.404,218.31737,-3.0517578e-05,-3.0517578e-05
98,98,0.196,0,179.39975,218.33847,-0.004257202,0.021102905
99,99,0.198,0,179.3997,218.33855,-4.5776367e-05,7.6293945e-05
100,100,0.2,0,179.39958,218.33844,-0.00012207031,-0.00010681152
101,101,0.202,0,179.39952,218.33844,-6.1035156e-05,0.0
102,102,0.204,0,179.39948,218.33838,-4.5776367e-05,-6.1035156e-05
103,103,0.206,0,179.39948,218.33838,0.0,0.0
104,104,0.208,0,179.39948,218.33838,0.0,0.0
105,105,0.21,0,179.39948,218.33838,0.0,0.0
106,106,0.212,0,179.39946,218.3385,-1.5258789e-05,0.00012207031
107,107,0.214,0,179.40031,218.33641,0.0008544922,-0.002090454
108,108,0.216,0,179.40056,218.33105,0.00024414062,-0.005355835
109,109,0.218,0,179.40097,218.33401,0.0004119873,0.002960205
110,110,0.22,0,179.4011,218.33507,0.00012207031,0.0010528564
111,111,0.222,0,179.40108,218.33499,-1.5258789e-05,-7.6293945e-05
112,112,0.224,0,179.40108,218.33499,0.0,0.0
113,113,0.226,0,179.40108,218.33499,0.0,0.0
114,114,0.228,0,179.40106,218.33504,-1.5258789e-05,4.5776367e-05
115,115,0.23,0,179.4011,218.33517,3.0517578e-05,0.0001373291
116,116,0.232,0,179.40105,218.33511,-4.5776367e-05,-6.1035156e-05
117,117,0.234,0,179.401,218.33516,-4.5776367e-05,4.5776367e-05
118,118,0.236,0,179.40079,218.33522,-0.00021362305,6.1035156e-05
119,119,0.238,0,179.40073,218.33534,-6.1035156e-05,0.00012207031
120,120,0.24,0,179.40073,218.33534,0.0,0.0
121,121,0.242,0,179.4007,218.33522,-3.0517578e-05,-0.00012207031
122,122,0.244,0,179.40071,218.33528,1.5258789e-05,6.1035156e-05
123,123,0.246,0,179.40071,218.33528,0.0,0.0
124,124,0.248,0,179.40071,218.33528,0.0,0.0
125,125,0.25,0,179.40073,218.33524,1.5258789e-05,-4.5776367e-05
126,126,0.252,0,179.40073,218.33524,0.0,0.0
127,127,0.254,0,179.40073,218.33524,0.0,0.0
128,128,0.256,0,179.40073,218.33524,0.0,0.0
129,129,0.258,0,179.4007,218.33524,-3.0517578e-05,0.0
130,130,0.26,0,179.4007,218.33524,0.0,0.0
131,131,0.262,0,179.40067,218.33528,-3.0517578e-05,4.5776367e-05
132,132,0.264,0,179.40067,218.33528,0.0,0.0
133,133,0.266,0,179.40067,218.33528,0.0,0.0
134,134,0.268,0,179.4008,218.3352,0.0001373291,-7.6293945e-05
135,135,0.27,0,179.40083,218.33525,3.0517578e-05,4.5776367e-05
136,136,0.272,0,179.40083,218.33525,0.0,0.0
137,137,0.274,0,179.40182,218.33603,0.0009918213,0.00077819824
138,138,0.276,0,179.40182,218.33603,0.0,0.0
139,139,0.278,0,179.40182,218.33603,0.0,0.0
140,140,0.28,0,179.40182,218.33603,0.0,0.0
141,141,0.282,0,179.40184,218.33603,1.5258789e-05,0.0
142,142,0.284,0,179.40182,218.3359,-1.5258789e-05,-0.00012207031
143,143,0.286,0,179.40182,218.33586,0.0,-4.5776367e-05
144,144,0.288,0,179.40184,218.33585,1.5258789e-05,-1.5258789e-05
145,145,0.29,0,179.40154,218.33583,-0.00030517578,-1.5258789e-05
146,146,0.292,0,179.40154,218.33583,0.0,0.0
147,147,0.294,0,179.40154,218.33583,0.0,0.0
