,iteration,time,id,x,y,dx,dy
0,0,0.0,0,10.992928,170.75876,-0.0070724487,-0.24124146
1,1,0.001,0,10.998251,170.74304,0.00532341,-0.015716553
2,2,0.002,0,10.998335,170.73122,8.392334e-05,-0.0118255615
3,3,0.003,0,11.005863,170.60863,0.007528305,-0.12258911
4,4,0.004,0,10.98404,170.64803,-0.02182293,0.039398193
5,5,0.005,0,10.975624,170.91225,-0.008416176,0.2642212
6,6,0.006,0,10.975738,170.91257,0.000113487244,0.00032043457
7,7,0.007,0,10.975845,170.91292,0.0001077652,0.00035095215
8,8,0.008,0,10.973598,170.92094,-0.0022478104,0.008026123
9,9,0.009,0,10.687772,171.12784,-0.28582573,0.20689392
10,10,0.01,0,10.686007,171.13362,-0.0017652512,0.005783081
11,11,0.011,0,10.685259,171.14151,-0.00074768066,0.007888794
12,12,0.012,0,10.702587,171.055,0.017328262,-0.086517334
13,13,0.013,0,10.70164,170.94608,-0.0009469986,-0.10891724
14,14,0.014,0,10.83509,170.9061,0.13344955,-0.039978027
15,15,0.015,0,10.834399,170.90579,-0.0006904602,-0.00030517578
16,16,0.016,0,10.882744,170.86131,0.048344612,-0.04447937
17,17,0.017,0,10.881896,170.85883,-0.00084781647,-0.0024871826
18,18,0.018,0,10.881836,170.86197,-6.0081482e-05,0.0031433105
19,19,0.019,0,10.881564,170.85878,-0.00027179718,-0.003189087
20,20,0.02,0,10.91109,171.00151,0.029525757,0.14273071
21,21,0.021,0,10.935002,171.1298,0.02391243,0.1282959
22,22,0.022,0,10.933769,171.1411,-0.0012331009,0.011291504
23,23,0.023,0,10.932566,171.37988,-0.001203537,0.23878479
24,24,0.024,0,11.06443,171.46567,0.13186455,0.08578491
25,25,0.025,0,11.175435,171.53459,0.11100483,0.06892395
26,26,0.026,0,11.174925,171.43634,-0.00051021576,-0.09825134
27,27,0.027,0,11.173857,171.31876,-0.0010681152,-0.11758423
28,28,0.028,0,11.161287,171.209,-0.0125694275,-0.10975647
29,29,0.029,0,11.167175,171.09276,0.005887985,-0.116241455
30,30,0.03,0,11.167198,171.09203,2.2888184e-05,-0.0007324219
31,31,0.031,0,11.166898,171.09349,-0.0003004074,0.0014648438
32,32,0.032,0,11.169368,171.0848,0.0024700165,-0.00869751
33,33,0.033,0,11.112538,171.0819,-0.056829453,-0.00289917
34,34,0.034,0,11.11256,171.0818,2.193451e-05,-9.1552734e-05
35,35,0.035,0,11.11229,171.08138,-0.00026988983,-0.0004272461
36,36,0.036,0,11.106253,171.07742,-0.006037712,-0.0039520264
37,37,0.037,0,11.094228,171.0737,-0.012024879,-0.0037231445
38,38,0.038,0,11.086851,171.07178,-0.007376671,-0.0019226074
39,39,0.039,0,11.068434,171.06416,-0.018417358,-0.0076141357
40,40,0.04,0,10.943682,171.10155,-0.124752045,0.037384033
41,41,0.041,0,10.81906,171.12097,-0.12462139,0.019424438
42,42,0.042,0,10.821781,171.11978,0.0027208328,-0.0011901855
43,43,0.043,0,10.72547,171.06372,-0.09631157,-0.05606079
44,44,0.044,0,10.701154,171.06052,-0.024315834,-0.0032043457
45,45,0.045,0,10.666665,171.06163,-0.034488678,0.0011138916
46,46,0.046,0,10.66717,171.06061,0.0005044937,-0.0010223389
47,47,0.047,0,10.60579,171.0585,-0.061379433,-0.002105713
48,48,0.048,0,10.692588,171.067,0.086797714,0.0084991455
49,49,0.049,0,10.788556,171.06665,0.09596825,-0.00035095215
50,50,0.05,0,10.787265,170.80743,-0.001291275,-0.2592163
51,51,0.051,0,10.789205,170.80815,0.0019397736,0.0007171631
52,52,0.052,0,10.812064,170.86557,0.022859573,0.057418823
53,53,0.053,0,10.828087,170.90639,0.016022682,0.04081726
54,54,0.054,0,10.847815,170.95403,0.019727707,0.04763794
55,55,0.055,0,10.858574,171.00255,0.010759354,0.04852295
56,56,0.056,0,10.870391,170.99289,0.011816978,-0.0096588135
57,57,0.057,0,10.874344,170.96603,0.00395298,-0.026855469
58,58,0.058,0,10.878178,170.95044,0.0038337708,-0.015594482
59,59,0.059,0,10.883066,170.92592,0.0048885345,-0.024520874
60,60,0.06,0,10.886337,170.92564,0.003271103,-0.0002746582
61,61,0.061,0,10.885669,170.92485,-0.0006685257,-0.00079345703
62,62,0.062,0,10.887678,170.925,0.0020093918,0.00015258789
63,63,0.063,0,10.8884945,170.92212,0.0008163452,-0.0028839111
64,64,0.064,0,11.101549,170.9787,0.21305466,0.05657959
65,65,0.065,0,11.101894,170.97885,0.0003452301,0.00015258789
66,66,0.066,0,11.102304,170.979,0.00041007996,0.00015258789
67,67,0.067,0,11.101871,170.97888,-0.0004339218,-0.00012207031
68,68,0.068,0,11.050165,171.04984,-0.05170536,0.07095337
69,69,0.069,0,10.984473,171.11258,-0.06569195,0.06274414
70,70,0.07,0,10.918366,171.18085,-0.066106796,0.06826782
71,71,0.071,0,10.853538,171.23268,-0.06482887,0.051834106
72,72,0.072,0,10.812123,171.2586,-0.04141426,0.025924683
73,73,0.073,0,10.769321,171.27232,-0.042801857,0.013717651
74,74,0.074,0,10.769331,171.27348,9.536743e-06,0.001159668
75,75,0.075,0,10.769566,171.27525,0.00023460388,0.0017700195
76,76,0.076,0,10.801085,171.231,0.03151989,-0.04425049
77,77,0.077,0,10.817226,171.18057,0.016140938,-0.050430298
78,78,0.078,0,10.837714,171.12062,0.020487785,-0.059951782
79,79,0.079,0,10.863056,171.05553,0.025341988,-0.065093994
80,80,0.08,0,10.873314,171.0639,0.010257721,0.008377075
81,81,0.081,0,10.882416,171.06622,0.009101868,0.002319336
82,82,0.082,0,10.889342,171.08017,0.0069265366,0.013946533
83,83,0.083,0,10.886925,171.08469,-0.0024175644,0.0045166016
84,84,0.084,0,10.961945,170.98872,0.07501984,-0.095962524
85,85,0.085,0,10.919701,171.03654,-0.042243958,0.047821045
86,86,0.086,0,10.945107,171.01288,0.025406837,-0.023666382
87,87,0.087,0,10.967504,170.97804,0.022396088,-0.034835815
88,88,0.088,0,10.983518,170.93983,0.0160141,-0.038208008
89,89,0.089,0,11.001617,170.8892,0.018099785,-0.050628662
90,90,0.09,0,11.016423,170.84003,0.014805794,-0.049179077
91,91,0.091,0,11.032679,170.78133,0.016255379,-0.05870056
92,92,0.092,0,11.018952,170.8121,-0.013726234,0.030776978
93,93,0.093,0,11.0021715,170.84285,-0.016780853,0.03074646
94,94,0.094,0,10.988216,170.85034,-0.013955116,0.0074920654
95,95,0.095,0,10.974065,170.87643,-0.014151573,0.02609253
