,iteration,time,id,x,y,dx,dy
0,0,0.0,0,19.587954,188.65355,-0.41204643,-0.3464508
1,1,0.001,0,19.667356,188.67531,0.07940292,0.021759033
2,2,0.002,0,19.671234,188.5586,0.0038776398,-0.11671448
3,3,0.003,0,19.683296,188.44833,0.012062073,-0.11026001
4,4,0.004,0,19.601784,188.111,-0.08151245,-0.3373413
5,5,0.005,0,19.602646,188.12035,0.0008621216,0.009353638
6,6,0.006,0,19.60823,188.25812,0.005584717,0.1377716
7,7,0.007,0,19.614456,188.3946,0.006225586,0.13648987
8,8,0.008,0,19.387352,188.46474,-0.22710419,0.070129395
9,9,0.009,0,19.393848,188.37564,0.0064964294,-0.08909607
10,10,0.01,0,19.399181,188.37854,0.005332947,0.00289917
11,11,0.011,0,19.404465,188.45586,0.0052833557,0.077316284
12,12,0.012,0,19.415075,188.33284,0.01061058,-0.12301636
13,13,0.013,0,19.421093,188.23051,0.006017685,-0.10232544
14,14,0.014,0,19.3103,188.33678,-0.11079216,0.10626221
15,15,0.015,0,19.190197,188.48897,-0.120103836,0.15219116
16,16,0.016,0,19.183838,188.45467,-0.0063591003,-0.034301758
17,17,0.017,0,19.182467,188.44827,-0.0013713837,-0.0063934326
18,18,0.018,0,19.170265,188.33168,-0.012201309,-0.11659241
19,19,0.019,0,19.168339,188.2317,-0.0019264221,-0.099975586
20,20,0.02,0,19.232819,188.43996,0.06447983,0.20825195
21,21,0.021,0,19.349113,188.71431,0.11629486,0.27435303
22,22,0.022,0,19.390062,188.72163,0.040948868,0.0073242188
23,23,0.023,0,19.421856,188.73598,0.031793594,0.014343262
24,24,0.024,0,19.654251,188.98276,0.23239517,0.2467804
25,25,0.025,0,19.660095,188.98401,0.005844116,0.0012512207
26,26,0.026,0,19.705017,189.10745,0.044921875,0.1234436
27,27,0.027,0,19.908646,189.2608,0.20362854,0.15335083
28,28,0.028,0,20.2008,189.30031,0.2921543,0.039505005
29,29,0.029,0,20.351486,189.30273,0.15068626,0.0024261475
30,30,0.03,0,20.215494,189.09892,-0.13599205,-0.20381165
31,31,0.031,0,20.213902,189.11165,-0.0015926361,0.01272583
32,32,0.032,0,20.165428,189.0031,-0.04847336,-0.108551025
33,33,0.033,0,20.108643,188.93546,-0.056785583,-0.06764221
34,34,0.034,0,20.072933,188.85577,-0.03570938,-0.0796814
35,35,0.035,0,20.010727,188.81284,-0.06220627,-0.042938232
36,36,0.036,0,20.052708,188.71881,0.041980743,-0.09402466
37,37,0.037,0,20.105621,188.69876,0.052913666,-0.020050049
38,38,0.038,0,20.078701,188.64009,-0.026920319,-0.058670044
39,39,0.039,0,20.05574,188.64369,-0.022960663,0.0036010742
40,40,0.04,0,19.81562,188.78337,-0.24011993,0.13967896
41,41,0.041,0,19.61235,188.96065,-0.20326996,0.17727661
42,42,0.042,0,19.589622,188.97908,-0.022727966,0.018432617
43,43,0.043,0,19.572332,188.96265,-0.017290115,-0.016433716
44,44,0.044,0,19.56508,188.96452,-0.0072517395,0.001876831
45,45,0.045,0,19.564571,188.96622,-0.0005092621,0.0016937256
46,46,0.046,0,19.459877,188.8122,-0.10469437,-0.15402222
47,47,0.047,0,19.338736,188.67972,-0.12114143,-0.1324768
48,48,0.048,0,19.34602,188.60448,0.0072841644,-0.07524109
49,49,0.049,0,19.343548,188.5664,-0.0024719238,-0.03807068
50,50,0.05,0,19.342754,188.52449,-0.00079345703,-0.041915894
51,51,0.051,0,19.338207,188.48445,-0.004547119,-0.040039062
52,52,0.052,0,19.325212,188.22911,-0.012994766,-0.25534058
53,53,0.053,0,19.317574,188.36067,-0.0076389313,0.13156128
54,54,0.054,0,19.319902,188.31606,0.0023288727,-0.0446167
55,55,0.055,0,19.312698,188.2267,-0.007204056,-0.08935547
56,56,0.056,0,19.304794,188.44104,-0.007904053,0.21434021
57,57,0.057,0,19.542038,188.80228,0.23724365,0.36123657
58,58,0.058,0,19.554678,188.85909,0.012639999,0.05680847
59,59,0.059,0,19.553246,188.94678,-0.0014324188,0.08769226
60,60,0.06,0,19.550468,188.72627,-0.0027770996,-0.22050476
61,61,0.061,0,19.551651,188.55762,0.0011825562,-0.1686554
62,62,0.062,0,19.556154,188.61095,0.00450325,0.053329468
63,63,0.063,0,19.557854,188.44945,0.0016994476,-0.16149902
64,64,0.064,0,19.575344,188.4652,0.017490387,0.01574707
65,65,0.065,0,19.580338,188.45338,0.0049934387,-0.011810303
66,66,0.066,0,19.583403,188.4525,0.0030651093,-0.00088500977
67,67,0.067,0,19.595848,188.51936,0.01244545,0.06686401
68,68,0.068,0,19.602287,188.5224,0.006439209,0.003036499
69,69,0.069,0,19.600056,188.53404,-0.002231598,0.011642456
70,70,0.07,0,19.605902,188.54353,0.0058460236,0.009490967
71,71,0.071,0,19.61164,188.58736,0.005739212,0.043823242
72,72,0.072,0,19.629,188.62341,0.01735878,0.03605652
73,73,0.073,0,19.642242,188.6934,0.013242722,0.069992065
74,74,0.074,0,19.661625,188.75014,0.019382477,0.056732178
75,75,0.075,0,19.673954,188.82062,0.012329102,0.07048035
76,76,0.076,0,19.799591,188.71497,0.12563705,-0.105651855
77,77,0.077,0,19.832626,188.7105,0.03303528,-0.004470825
78,78,0.078,0,19.856083,188.71126,0.023456573,0.00076293945
79,79,0.079,0,19.883392,188.71187,0.027309418,0.00061035156
80,80,0.08,0,19.785683,188.72552,-0.097709656,0.013656616
81,81,0.081,0,19.713297,188.76062,-0.07238579,0.035095215
82,82,0.082,0,19.686014,188.77187,-0.027282715,0.011245728
83,83,0.083,0,19.662907,188.82362,-0.023107529,0.051757812
84,84,0.084,0,19.7426,188.76314,0.07969284,-0.06048584
85,85,0.085,0,19.71292,188.76158,-0.029680252,-0.0015563965
86,86,0.086,0,19.722446,188.76347,0.009527206,0.0018920898
87,87,0.087,0,19.735588,188.75542,0.013141632,-0.008056641
88,88,0.088,0,19.68031,188.80702,-0.055278778,0.051605225
