,iteration,time,id,x,y,dx,dy
0,0,0.0,0,12.017281,172.97885,0.017280579,-0.021148682
1,1,0.001,0,12.001799,172.92456,-0.015481949,-0.05429077
2,2,0.002,0,12.00217,172.9245,0.0003709793,-6.1035156e-05
3,3,0.003,0,12.001615,172.92506,-0.00055503845,0.0005645752
4,4,0.004,0,12.002004,172.92484,0.00038909912,-0.00022888184
5,5,0.005,0,12.001333,172.92418,-0.00067043304,-0.00065612793
6,6,0.006,0,12.011543,172.94688,0.010210037,0.022705078
7,7,0.007,0,12.008317,172.9765,-0.0032262802,0.02961731
8,8,0.008,0,12.00874,172.97598,0.0004234314,-0.0005187988
9,9,0.009,0,12.0091305,172.9741,0.0003900528,-0.001876831
10,10,0.01,0,12.010408,172.97415,0.0012779236,4.5776367e-05
11,11,0.011,0,12.008836,172.97478,-0.001572609,0.00062561035
12,12,0.012,0,12.011342,172.9746,0.002506256,-0.00018310547
13,13,0.013,0,12.011559,172.97441,0.00021648407,-0.00018310547
14,14,0.014,0,12.011721,172.97467,0.00016212463,0.0002593994
15,15,0.015,0,12.011592,172.97461,-0.00012874603,-6.1035156e-05
16,16,0.016,0,12.013351,172.97731,0.0017595291,0.0027008057
17,17,0.017,0,12.00325,172.9813,-0.010101318,0.003982544
18,18,0.018,0,11.998428,172.9822,-0.0048217773,0.00090026855
19,19,0.019,0,11.98752,172.9912,-0.010908127,0.009002686
20,20,0.02,0,11.9825535,173.01846,-0.004966736,0.027267456
21,21,0.021,0,11.978583,173.05879,-0.003970146,0.04032898
22,22,0.022,0,11.977861,173.05989,-0.00072193146,0.0010986328
23,23,0.023,0,11.978268,173.06036,0.00040626526,0.00047302246
24,24,0.024,0,11.978743,173.08813,0.0004749298,0.027770996
25,25,0.025,0,11.973667,173.12157,-0.0050754547,0.033432007
26,26,0.026,0,11.97139,173.14944,-0.0022773743,0.027877808
27,27,0.027,0,11.967542,173.18484,-0.0038480759,0.03540039
28,28,0.028,0,11.976892,173.1935,0.009350777,0.008651733
29,29,0.029,0,11.968663,173.23686,-0.008229256,0.04336548
30,30,0.03,0,11.973779,173.23274,0.005115509,-0.004119873
31,31,0.031,0,11.97304,173.22858,-0.0007390976,-0.0041656494
32,32,0.032,0,11.973669,173.23091,0.00062942505,0.0023345947
33,33,0.033,0,11.972206,173.23438,-0.0014629364,0.0034637451
34,34,0.034,0,11.971905,173.23383,-0.00030136108,-0.0005493164
35,35,0.035,0,11.97236,173.2356,0.00045490265,0.0017700195
36,36,0.036,0,11.97188,173.24242,-0.00047969818,0.0068206787
37,37,0.037,0,11.975191,173.24991,0.0033111572,0.0074920654
38,38,0.038,0,11.97793,173.2526,0.0027389526,0.0026855469
39,39,0.039,0,11.95225,173.27754,-0.025680542,0.02494812
40,40,0.04,0,11.949101,173.274,-0.003148079,-0.003540039
41,41,0.041,0,11.943296,173.27441,-0.0058050156,0.0004119873
42,42,0.042,0,11.933401,173.2724,-0.009895325,-0.0020141602
43,43,0.043,0,11.919929,173.27257,-0.013472557,0.00016784668
44,44,0.044,0,11.910204,173.27937,-0.009724617,0.00680542
45,45,0.045,0,11.920797,173.27293,0.010593414,-0.006439209
46,46,0.046,0,11.929939,173.2754,0.009141922,0.0024719238
47,47,0.047,0,11.9147415,173.29002,-0.015197754,0.01461792
48,48,0.048,0,11.907629,173.2894,-0.007112503,-0.00062561035
49,49,0.049,0,11.904985,173.28876,-0.0026435852,-0.00064086914
50,50,0.05,0,11.901789,173.29007,-0.0031967163,0.0013122559
51,51,0.051,0,11.883501,173.29684,-0.018287659,0.0067749023
52,52,0.052,0,11.870157,173.3025,-0.013343811,0.0056610107
53,53,0.053,0,11.859262,173.3029,-0.010894775,0.00039672852
