,iteration,time,id,x,y,dx,dy
0,0,0.0,0,11.997788,172.99025,-0.0022115707,-0.009750366
1,1,0.001,0,11.999271,172.99518,0.0014829636,0.004928589
2,2,0.002,0,11.998593,172.99754,-0.00067806244,0.0023651123
3,3,0.003,0,11.87121,172.93047,-0.12738323,-0.06707764
4,4,0.004,0,11.869982,172.93623,-0.0012283325,0.0057678223
5,5,0.005,0,11.86315,172.93498,-0.006832123,-0.0012512207
6,6,0.006,0,11.881859,172.94826,0.018709183,0.0132751465
7,7,0.007,0,11.874407,173.06273,-0.007452011,0.114471436
8,8,0.008,0,11.874897,173.06013,0.0004901886,-0.0025939941
9,9,0.009,0,11.868061,173.05753,-0.0068359375,-0.002609253
10,10,0.01,0,11.865987,173.05725,-0.0020742416,-0.0002746582
11,11,0.011,0,11.858471,173.05518,-0.0075159073,-0.0020751953
12,12,0.012,0,11.858292,173.0555,-0.00017929077,0.00032043457
13,13,0.013,0,11.859322,173.05759,0.0010299683,0.002090454
14,14,0.014,0,11.856833,173.05594,-0.0024881363,-0.0016479492
15,15,0.015,0,11.859154,173.05614,0.0023202896,0.00019836426
16,16,0.016,0,11.842643,173.05,-0.016510963,-0.006134033
17,17,0.017,0,11.831375,173.04536,-0.011267662,-0.004638672
18,18,0.018,0,11.817638,173.0414,-0.013736725,-0.003967285
19,19,0.019,0,11.7928705,173.04137,-0.024767876,-3.0517578e-05
20,20,0.02,0,11.818171,173.09364,0.025300026,0.05227661
21,21,0.021,0,11.822221,173.1531,0.004050255,0.0594635
22,22,0.022,0,11.823978,173.15195,0.0017576218,-0.001159668
23,23,0.023,0,11.823331,173.15166,-0.00064754486,-0.000289917
24,24,0.024,0,11.824345,173.195,0.0010137558,0.04335022
25,25,0.025,0,11.822653,173.245,-0.0016918182,0.049987793
26,26,0.026,0,11.825264,173.29182,0.0026111603,0.046829224
27,27,0.027,0,11.822865,173.35054,-0.0023994446,0.05871582
28,28,0.028,0,11.849731,173.34569,0.026866913,-0.004852295
29,29,0.029,0,11.862061,173.34666,0.012329102,0.0009765625
30,30,0.03,0,11.86832,173.316,0.006259918,-0.030670166
31,31,0.031,0,11.872053,173.29146,0.0037326813,-0.024536133
32,32,0.032,0,11.871531,173.29013,-0.0005226135,-0.0013275146
33,33,0.033,0,11.871241,173.28908,-0.000289917,-0.0010528564
34,34,0.034,0,11.870742,173.28758,-0.00049877167,-0.0014953613
35,35,0.035,0,11.870571,173.28618,-0.0001707077,-0.0014038086
36,36,0.036,0,11.865622,173.29771,-0.0049495697,0.0115356445
37,37,0.037,0,11.852028,173.30424,-0.013593674,0.0065307617
38,38,0.038,0,11.850821,173.30615,-0.0012073517,0.0019073486
39,39,0.039,0,11.817181,173.3469,-0.033639908,0.040740967
40,40,0.04,0,11.813076,173.34418,-0.0041046143,-0.0027160645
41,41,0.041,0,11.794627,173.34344,-0.01844883,-0.0007324219
42,42,0.042,0,11.793558,173.34242,-0.0010690689,-0.0010223389
43,43,0.043,0,11.791499,173.34169,-0.0020589828,-0.0007324219
44,44,0.044,0,11.802995,173.34267,0.01149559,0.0009765625
45,45,0.045,0,11.798292,173.3496,-0.004702568,0.0069274902
46,46,0.046,0,11.803165,173.35263,0.0048732758,0.003036499
47,47,0.047,0,11.792129,173.37163,-0.011036873,0.018997192
48,48,0.048,0,11.792366,173.37106,0.0002374649,-0.0005645752
49,49,0.049,0,11.79244,173.37299,7.43866e-05,0.0019226074
50,50,0.05,0,11.782982,173.37653,-0.009458542,0.003540039
51,51,0.051,0,11.783003,173.37578,2.0980835e-05,-0.00074768066
52,52,0.052,0,11.777014,173.35739,-0.0059890747,-0.01838684
53,53,0.053,0,11.768219,173.35449,-0.008794785,-0.00289917
54,54,0.054,0,11.768559,173.35373,0.00034046173,-0.00076293945
55,55,0.055,0,11.768795,173.35573,0.00023555756,0.0019989014
56,56,0.056,0,11.774153,173.34895,0.0053577423,-0.0067749023
57,57,0.057,0,11.777096,173.34691,0.002943039,-0.0020446777
58,58,0.058,0,11.783789,173.34601,0.0066928864,-0.00090026855
59,59,0.059,0,11.781075,173.34334,-0.002714157,-0.002670288
60,60,0.06,0,11.781607,173.34502,0.00053215027,0.0016784668
61,61,0.061,0,11.781916,173.34663,0.00030899048,0.0016174316
62,62,0.062,0,11.781611,173.34546,-0.0003042221,-0.0011749268
63,63,0.063,0,11.781385,173.34444,-0.00022602081,-0.0010223389
64,64,0.064,0,11.812717,173.35075,0.031332016,0.0063171387
65,65,0.065,0,11.842314,173.3577,0.029596329,0.006942749
66,66,0.066,0,11.842639,173.35594,0.00032520294,-0.0017547607
67,67,0.067,0,11.841291,173.35362,-0.0013475418,-0.002319336
68,68,0.068,0,11.828186,173.35046,-0.013105392,-0.0031585693
69,69,0.069,0,11.821197,173.34692,-0.006989479,-0.003540039
70,70,0.07,0,11.8120775,173.34232,-0.009119034,-0.0046081543
71,71,0.071,0,11.807655,173.33604,-0.004422188,-0.0062713623
72,72,0.072,0,11.8117695,173.33012,0.004114151,-0.00592041
73,73,0.073,0,11.811029,173.34055,-0.00074005127,0.010421753
74,74,0.074,0,11.812637,173.33899,0.0016078949,-0.0015563965
75,75,0.075,0,11.80621,173.34334,-0.006427765,0.004348755
76,76,0.076,0,11.806604,173.34424,0.00039482117,0.00090026855
77,77,0.077,0,11.806776,173.34552,0.00017166138,0.0012817383
78,78,0.078,0,11.806472,173.34454,-0.0003042221,-0.0009765625
79,79,0.079,0,11.806408,173.3459,-6.389618e-05,0.0013580322
80,80,0.08,0,11.803703,173.34566,-0.0027046204,-0.00024414062
81,81,0.081,0,11.804062,173.34755,0.00035858154,0.0018920898
82,82,0.082,0,11.804331,173.34943,0.00026893616,0.001876831
83,83,0.083,0,11.8054085,173.34978,0.001077652,0.00035095215
84,84,0.084,0,11.794086,173.35767,-0.0113220215,0.007888794
85,85,0.085,0,11.780441,173.36577,-0.013645172,0.008102417
86,86,0.086,0,11.783571,173.3648,0.003129959,-0.0009613037
87,87,0.087,0,11.781786,173.36482,-0.0017852783,1.5258789e-05
88,88,0.088,0,11.781975,173.36609,0.00018882751,0.0012664795
89,89,0.089,0,11.781469,173.36736,-0.0005054474,0.0012664795
90,90,0.09,0,11.784119,173.36705,0.0026493073,-0.00030517578
91,91,0.091,0,11.781884,173.36691,-0.002234459,-0.0001373291
92,92,0.092,0,11.780975,173.36723,-0.0009088516,0.00032043457
93,93,0.093,0,11.775148,173.36502,-0.00582695,-0.0022125244
94,94,0.094,0,11.777311,173.36794,0.0021629333,0.0029144287
95,95,0.095,0,11.773935,173.36475,-0.003376007,-0.003189087
96,96,0.096,0,11.77334,173.36299,-0.0005950928,-0.0017547607
97,97,0.097,0,11.773054,173.36333,-0.0002861023,0.00033569336
98,98,0.098,0,11.773008,173.36124,-4.5776367e-05,-0.002090454
99,99,0.099,0,11.77301,173.36256,1.9073486e-06,0.0013275146
100,100,0.1,0,11.774427,173.36227,0.00141716,-0.000289917
101,101,0.101,0,11.774233,173.36084,-0.00019454956,-0.0014343262
102,102,0.102,0,11.781082,173.36298,0.006849289,0.0021362305
103,103,0.103,0,11.785154,173.36003,0.0040721893,-0.0029449463
104,104,0.104,0,11.802214,173.36845,0.017059326,0.008422852
105,105,0.105,0,11.814111,173.38011,0.011897087,0.011657715
106,106,0.106,0,11.898125,173.38602,0.08401394,0.0059051514
107,107,0.107,0,11.984024,173.3953,0.08589935,0.009277344
108,108,0.108,0,11.900444,173.38715,-0.08358002,-0.008148193
109,109,0.109,0,11.81427,173.38217,-0.08617401,-0.0049743652
110,110,0.11,0,11.810362,173.3816,-0.0039081573,-0.0005645752
111,111,0.111,0,11.809112,173.3836,-0.001250267,0.0019989014
112,112,0.112,0,11.828456,173.36131,0.01934433,-0.02229309
113,113,0.113,0,11.821172,173.35194,-0.0072841644,-0.0093688965
114,114,0.114,0,11.822418,173.35031,0.0012464523,-0.0016326904
115,115,0.115,0,11.820483,173.35036,-0.0019350052,4.5776367e-05
116,116,0.116,0,11.823181,173.34912,0.0026979446,-0.0012359619
117,117,0.117,0,11.821114,173.34966,-0.002067566,0.0005340576
118,118,0.118,0,11.816776,173.34674,-0.004337311,-0.0029144287
119,119,0.119,0,11.820755,173.34818,0.0039787292,0.0014343262
120,120,0.12,0,11.821522,173.3492,0.00076675415,0.0010223389
121,121,0.121,0,11.821508,173.3499,-1.335144e-05,0.0007019043
122,122,0.122,0,11.821602,173.35048,9.346008e-05,0.000579834
123,123,0.123,0,11.821416,173.35123,-0.00018596649,0.00074768066
124,124,0.124,0,11.821381,173.35085,-3.528595e-05,-0.00038146973
125,125,0.125,0,11.821444,173.35185,6.2942505e-05,0.0010070801
126,126,0.126,0,11.821196,173.35072,-0.00024795532,-0.0011291504
127,127,0.127,0,11.817286,173.34868,-0.0039100647,-0.0020446777
128,128,0.128,0,11.818251,173.34721,0.0009651184,-0.0014648438
129,129,0.129,0,11.81808,173.34592,-0.0001707077,-0.0012969971
130,130,0.13,0,11.818331,173.3463,0.00025081635,0.00038146973
131,131,0.131,0,11.816471,173.34666,-0.0018596649,0.00036621094
132,132,0.132,0,11.813759,173.34726,-0.0027122498,0.0005950928
133,133,0.133,0,11.81244,173.34615,-0.0013189316,-0.0011138916
134,134,0.134,0,11.810705,173.34654,-0.0017347336,0.00039672852
135,135,0.135,0,11.809547,173.34532,-0.0011577606,-0.0012207031
136,136,0.136,0,11.810171,173.34383,0.000623703,-0.0014953613
137,137,0.137,0,11.813402,173.34511,0.0032310486,0.0012817383
138,138,0.138,0,11.812073,173.34602,-0.001329422,0.00091552734
139,139,0.139,0,11.801441,173.35167,-0.010631561,0.005645752
140,140,0.14,0,11.825184,173.35109,0.023742676,-0.000579834
141,141,0.141,0,11.836185,173.35449,0.011001587,0.00340271
142,142,0.142,0,11.844369,173.35985,0.008183479,0.005355835
143,143,0.143,0,11.858515,173.36801,0.014145851,0.008163452
144,144,0.144,0,11.7670145,173.40578,-0.09150028,0.037765503
145,145,0.145,0,11.674558,173.44063,-0.09245682,0.034851074
146,146,0.146,0,11.833681,173.34937,0.15912342,-0.09126282
147,147,0.147,0,11.833693,173.35081,1.1444092e-05,0.001449585
148,148,0.148,0,11.8353615,173.35068,0.00166893,-0.0001373291
149,149,0.149,0,11.832971,173.34984,-0.0023908615,-0.0008392334
150,150,0.15,0,11.828106,173.24681,-0.0048646927,-0.103027344
151,151,0.151,0,11.79521,173.2751,-0.032896042,0.028289795
152,152,0.152,0,11.813145,173.28888,0.0179348,0.0137786865
153,153,0.153,0,11.816858,173.31067,0.0037136078,0.02178955
154,154,0.154,0,11.825606,173.33029,0.0087480545,0.019622803
155,155,0.155,0,11.827642,173.35414,0.0020360947,0.023849487
156,156,0.156,0,11.836788,173.32982,0.009145737,-0.02432251
157,157,0.157,0,11.842734,173.31163,0.0059461594,-0.018188477
158,158,0.158,0,11.852443,173.28812,0.009708405,-0.023513794
159,159,0.159,0,11.857046,173.27158,0.004603386,-0.016540527
160,160,0.16,0,11.8542595,173.289,-0.0027866364,0.017425537
161,161,0.161,0,11.843397,173.31277,-0.01086235,0.023773193
162,162,0.162,0,11.843437,173.31345,4.005432e-05,0.0006713867
163,163,0.163,0,11.843037,173.31259,-0.0004005432,-0.0008544922
164,164,0.164,0,11.842656,173.31163,-0.00038051605,-0.0009613037
165,165,0.165,0,11.842466,173.31024,-0.00018978119,-0.0013885498
166,166,0.166,0,11.8424225,173.31075,-4.386902e-05,0.00050354004
167,167,0.167,0,11.837853,173.31432,-0.0045690536,0.0035705566
168,168,0.168,0,11.8379,173.31337,4.673004e-05,-0.0009460449
169,169,0.169,0,11.8372345,173.31157,-0.0006656647,-0.0018005371
170,170,0.17,0,11.837013,173.31052,-0.00022125244,-0.0010528564
171,171,0.171,0,11.837061,173.30988,4.7683716e-05,-0.00064086914
172,172,0.172,0,11.836189,173.30849,-0.0008716583,-0.0013885498
173,173,0.173,0,11.836307,173.31047,0.00011730194,0.0019836426
174,174,0.174,0,11.838588,173.31218,0.002281189,0.0017089844
175,175,0.175,0,11.837964,173.31284,-0.000623703,0.00065612793
176,176,0.176,0,11.844314,173.30864,0.0063495636,-0.004196167
177,177,0.177,0,11.834917,173.30829,-0.009396553,-0.00035095215
178,178,0.178,0,11.838382,173.30896,0.0034646988,0.0006713867
179,179,0.179,0,11.83703,173.30804,-0.0013513565,-0.00091552734
180,180,0.18,0,11.839384,173.33372,0.0023536682,0.025680542
181,181,0.181,0,11.834753,173.30692,-0.0046310425,-0.026809692
182,182,0.182,0,11.835247,173.30685,0.0004940033,-6.1035156e-05
183,183,0.183,0,11.835701,173.3066,0.00045394897,-0.0002593994
184,184,0.184,0,11.834181,173.30702,-0.0015201569,0.0004272461
185,185,0.185,0,11.834139,173.30826,-4.196167e-05,0.0012359619
186,186,0.186,0,11.834853,173.30878,0.00071430206,0.0005187988
187,187,0.187,0,11.836403,173.3103,0.0015497208,0.0015258789
188,188,0.188,0,11.8361845,173.31001,-0.00021839142,-0.000289917
189,189,0.189,0,11.835791,173.3089,-0.0003938675,-0.0011138916
190,190,0.19,0,11.839462,173.30992,0.0036716461,0.0010223389
191,191,0.191,0,11.835769,173.30759,-0.0036935806,-0.0023345947
192,192,0.192,0,11.82523,173.3389,-0.010539055,0.031311035
193,193,0.193,0,11.809639,173.3652,-0.015590668,0.026306152
194,194,0.194,0,11.824509,173.3387,0.01486969,-0.026504517
