,iteration,time,id,x,y,dx,dy
0,0,0.0,0,342.52527,89.01939,-0.47473145,0.019386292
1,1,0.001,0,342.2782,89.01337,-0.24707031,-0.0060195923
2,2,0.002,0,342.78073,88.99605,0.50253296,-0.017318726
3,3,0.003,0,345.19083,89.58051,2.4100952,0.584465
4,4,0.004,0,346.69562,89.73634,1.5047913,0.15583038
5,5,0.005,0,348.18515,89.7745,1.4895325,0.038154602
6,6,0.006,0,346.4514,89.770836,-1.7337646,-0.0036621094
7,7,0.007,0,342.90198,89.20075,-3.549408,-0.5700836
8,8,0.008,0,339.77756,89.60096,-3.1244202,0.40020752
9,9,0.009,0,339.0774,89.337296,-0.7001648,-0.26366425
10,10,0.01,0,340.4101,89.5735,1.3327026,0.23620605
11,11,0.011,0,343.90103,89.2082,3.4909363,-0.36530304
12,12,0.012,0,346.7444,89.80979,2.8433533,0.601593
13,13,0.013,0,347.94598,89.79561,1.2015991,-0.014183044
14,14,0.014,0,345.74652,89.64931,-2.199463,-0.14630127
15,15,0.015,0,342.4252,89.224434,-3.3213196,-0.42487335
16,16,0.016,0,339.86826,89.530235,-2.5569458,0.3058014
17,17,0.017,0,339.82333,89.60804,-0.044921875,0.077804565
18,18,0.018,0,341.6436,89.36258,1.8202515,-0.24546051
19,19,0.019,0,344.99805,89.34338,3.3544617,-0.019195557
20,20,0.02,0,347.53168,89.94055,2.5336304,0.59716797
21,21,0.021,0,347.69888,90.02899,0.16720581,0.08843994
22,22,0.022,0,344.51306,89.31502,-3.1858215,-0.713974
23,23,0.023,0,342.16537,89.348,-2.3476868,0.032981873
24,24,0.024,0,339.49924,89.37739,-2.6661377,0.029388428
25,25,0.025,0,339.49255,89.37799,-0.0066833496,0.00060272217
26,26,0.026,0,342.18713,89.43007,2.69458,0.052078247
27,27,0.027,0,345.96805,89.425606,3.7809143,-0.004463196
28,28,0.028,0,347.9635,89.80622,1.9954529,0.38061523
29,29,0.029,0,347.94662,89.8918,-0.01687622,0.08557892
30,30,0.03,0,345.01382,89.404305,-2.9328003,-0.48749542
31,31,0.031,0,341.4181,89.35166,-3.5957336,-0.052642822
32,32,0.032,0,339.03433,88.85568,-2.3837585,-0.4959793
33,33,0.033,0,339.721,89.36738,0.686676,0.51169586
34,34,0.034,0,342.93924,89.41182,3.2182312,0.044441223
35,35,0.035,0,346.08682,89.40567,3.147583,-0.006149292
36,36,0.036,0,348.04144,89.926994,1.9546204,0.52132416
37,37,0.037,0,347.34686,90.095375,-0.6945801,0.16838074
38,38,0.038,0,343.72565,89.26386,-3.6212158,-0.83151245
39,39,0.039,0,340.5159,88.72846,-3.2097473,-0.5354004
40,40,0.04,0,339.35114,88.980194,-1.1647644,0.25173187
41,41,0.041,0,340.28485,88.99309,0.9337158,0.012893677
42,42,0.042,0,343.2389,89.011566,2.9540405,0.018478394
43,43,0.043,0,347.11255,89.45625,3.8736572,0.4446869
44,44,0.044,0,348.28598,89.81433,1.1734314,0.358078
45,45,0.045,0,346.60144,89.69941,-1.6845398,-0.11492157
46,46,0.046,0,343.06787,89.03459,-3.5335693,-0.6648178
47,47,0.047,0,340.33374,89.29307,-2.7341309,0.25847626
48,48,0.048,0,339.20767,89.28449,-1.1260681,-0.008575439
49,49,0.049,0,340.3611,89.28405,1.1534424,-0.00044250488
50,50,0.05,0,343.8188,89.05706,3.457672,-0.22698975
51,51,0.051,0,347.16495,89.6733,3.346161,0.61624146
52,52,0.052,0,347.69482,89.67839,0.5298767,0.005088806
53,53,0.053,0,346.20398,89.449974,-1.4908447,-0.22841644
54,54,0.054,0,342.83176,89.05596,-3.372223,-0.39401245
55,55,0.055,0,339.6593,89.208374,-3.1724548,0.15241241
56,56,0.056,0,339.6614,89.207146,0.002105713,-0.0012283325
57,57,0.057,0,340.92975,89.21184,1.2683411,0.0046920776
58,58,0.058,0,344.22064,89.23381,3.2908936,0.021972656
59,59,0.059,0,347.60785,90.3831,3.387207,1.149292
60,60,0.06,0,347.6089,90.39594,0.0010375977,0.012840271
61,61,0.061,0,344.79324,89.97264,-2.8156433,-0.4233017
62,62,0.062,0,342.1009,90.05451,-2.6923523,0.08187103
63,63,0.063,0,339.18127,89.801895,-2.9196167,-0.25261688
64,64,0.064,0,339.42648,89.33936,0.24520874,-0.46253204
65,65,0.065,0,341.70618,89.57171,2.2796936,0.23234558
66,66,0.066,0,345.65814,89.95415,3.9519653,0.38243866
67,67,0.067,0,347.62762,90.206726,1.9694824,0.25257874
68,68,0.068,0,347.57935,90.21457,-0.04827881,0.007843018
69,69,0.069,0,344.68057,90.04068,-2.8987732,-0.17388916
70,70,0.07,0,341.08322,89.59576,-3.597351,-0.4449234
71,71,0.071,0,339.15277,89.83574,-1.9304504,0.2399826
