,iteration,time,id,x,y,dx,dy
0,0,0.0,0,296.3648,138.2012,2.3648071,0.2012024
1,1,0.002,0,299.57993,138.20775,3.2151184,0.0065460205
2,2,0.004,0,302.92227,138.27649,3.3423462,0.068740845
3,3,0.006,0,304.73047,138.31964,1.808197,0.043151855
4,4,0.008,0,305.68002,138.44785,0.94955444,0.12820435
5,5,0.01,0,305.73798,138.45482,0.05795288,0.0069732666
6,6,0.012,0,304.4416,138.43782,-1.2963867,-0.016998291
7,7,0.014,0,302.0166,138.46721,-2.4249878,0.029388428
8,8,0.016,0,299.0834,138.45988,-2.933197,-0.0073242188
9,9,0.018,0,296.11807,138.22115,-2.965332,-0.23873901
10,10,0.02,0,294.12665,138.33998,-1.9914246,0.11883545
11,11,0.022,0,291.82635,138.47794,-2.300293,0.13795471
12,12,0.024,0,291.55988,138.4266,-0.2664795,-0.051330566
13,13,0.026,0,291.8054,138.43135,0.24551392,0.0047454834
14,14,0.028,0,293.34302,138.44469,1.5376282,0.013336182
15,15,0.03,0,295.58615,138.4678,2.2431335,0.023117065
16,16,0.032,0,298.74133,138.52286,3.155182,0.05505371
17,17,0.034,0,301.39346,138.37598,2.6521301,-0.1468811
18,18,0.036,0,304.21994,138.25449,2.826477,-0.12149048
19,19,0.038,0,305.83856,138.24968,1.6186218,-0.0048065186
20,20,0.04,0,305.87384,138.25513,0.03527832,0.0054473877
21,21,0.042,0,305.83746,138.24918,-0.036376953,-0.0059509277
22,22,0.044,0,304.06403,138.42378,-1.7734375,0.17460632
23,23,0.046,0,301.413,138.61723,-2.6510315,0.19345093
24,24,0.048,0,298.62347,138.35773,-2.7895203,-0.25950623
25,25,0.05,0,294.8348,137.96733,-3.7886658,-0.39039612
26,26,0.052,0,292.90915,137.9897,-1.9256592,0.022369385
27,27,0.054,0,291.3752,137.97386,-1.5339355,-0.015838623
28,28,0.056,0,291.51273,137.95718,0.1375122,-0.016677856
29,29,0.058,0,291.64374,137.96669,0.13101196,0.009506226
30,30,0.06,0,293.8837,138.25916,2.2399597,0.2924652
31,31,0.062,0,296.36536,138.254,2.481659,-0.0051574707
32,32,0.064,0,299.44244,138.226,3.0770874,-0.027999878
33,33,0.066,0,302.3543,138.19768,2.9118652,-0.028320312
