,iteration,time,id,x,y,dx,dy
0,0,0.0,0,330.99136,90.15944,-2.0086365,0.15943909
1,1,0.004,0,331.91428,90.15729,0.9229126,-0.0021514893
2,2,0.008,0,333.68564,90.17715,1.7713623,0.019859314
3,3,0.012,0,332.5882,90.17711,-1.0974426,-3.8146973e-05
4,4,0.016,0,331.06433,90.20758,-1.5238647,0.030471802
5,5,0.02,0,332.141,90.2149,1.0766602,0.0073165894
6,6,0.024,0,333.7549,90.16253,1.6139221,-0.052368164
7,7,0.028,0,332.4215,90.21977,-1.3334045,0.057243347
8,8,0.032,0,331.44843,90.19605,-0.9730835,-0.023719788
9,9,0.036,0,332.42596,90.21977,0.97753906,0.023719788
10,10,0.04,0,333.75192,90.17011,1.3259583,-0.04965973
11,11,0.044,0,332.39743,90.22941,-1.3544922,0.059295654
12,12,0.048,0,331.37833,90.20279,-1.019104,-0.026618958
13,13,0.052,0,332.47925,90.23993,1.1009216,0.037139893
14,14,0.056,0,333.78842,90.23009,1.3091736,-0.009841919
15,15,0.06,0,332.18042,90.23991,-1.6080017,0.009819031
16,16,0.064,0,331.5748,90.70187,-0.60562134,0.46196747
17,17,0.068,0,333.1339,90.661354,1.5591125,-0.040519714
18,18,0.072,0,333.65628,90.65222,0.5223694,-0.009132385
19,19,0.076,0,332.0798,90.69419,-1.576477,0.0419693
20,20,0.08,0,331.46628,90.653435,-0.6135254,-0.040756226
21,21,0.084,0,333.29538,90.681076,1.8291016,0.027641296
22,22,0.088,0,333.87585,90.62495,0.58047485,-0.056129456
23,23,0.092,0,331.91284,90.66423,-1.9630127,0.039283752
24,24,0.096,0,331.8486,90.60815,-0.0642395,-0.05608368
25,25,0.1,0,333.273,90.68015,1.424408,0.072006226
26,26,0.104,0,333.4184,90.678154,0.14538574,-0.0019989014
27,27,0.108,0,331.82596,90.603485,-1.5924377,-0.074668884
28,28,0.112,0,331.7735,90.59193,-0.052459717,-0.011558533
29,29,0.116,0,333.27203,90.6708,1.4985352,0.07887268
30,30,0.12,0,333.23325,90.66424,-0.03878784,-0.0065612793
31,31,0.124,0,331.43042,90.54367,-1.8028259,-0.12056732
32,32,0.128,0,331.59335,90.51418,0.16293335,-0.02948761
33,33,0.132,0,333.7599,90.61302,2.1665344,0.098838806
34,34,0.136,0,333.1558,90.45655,-0.60409546,-0.15647125
35,35,0.14,0,331.4921,90.53473,-1.6636963,0.078178406
36,36,0.144,0,331.669,90.52711,0.1769104,-0.007621765
37,37,0.148,0,333.84427,90.63775,2.1752625,0.11064148
38,38,0.152,0,333.0742,90.61168,-0.77008057,-0.026069641
39,39,0.156,0,331.55383,90.52197,-1.5203552,-0.08970642
40,40,0.16,0,332.16916,90.505035,0.6153259,-0.016937256
41,41,0.164,0,333.87408,90.419945,1.7049255,-0.08509064
42,42,0.168,0,333.15652,90.57261,-0.7175598,0.15266418
43,43,0.172,0,331.60355,90.51189,-1.5529785,-0.06072235
44,44,0.176,0,332.50272,90.50333,0.8991699,-0.008560181
45,45,0.18,0,333.85754,90.43439,1.3548279,-0.06893921
46,46,0.184,0,332.55634,90.52293,-1.3012085,0.08853912
47,47,0.188,0,331.59717,90.5207,-0.9591675,-0.0022277832
48,48,0.192,0,332.4421,90.52228,0.8449402,0.0015792847
49,49,0.196,0,333.98868,90.46515,1.5465698,-0.057128906
50,50,0.2,0,332.61874,90.54626,-1.3699341,0.08110809
51,51,0.204,0,331.68457,90.544075,-0.9341736,-0.0021820068
52,52,0.208,0,332.70108,90.55163,1.01651,0.0075531006
53,53,0.212,0,333.9901,90.47955,1.289032,-0.07207489
54,54,0.216,0,332.6187,90.56009,-1.3713989,0.08053589
55,55,0.22,0,331.68314,90.56087,-0.9355774,0.00077819824
56,56,0.224,0,333.37598,90.509674,1.6928406,-0.051193237
57,57,0.228,0,334.12747,90.50219,0.75149536,-0.007484436
58,58,0.232,0,332.1509,90.50946,-1.9765625,0.007270813
59,59,0.236,0,331.75235,90.55703,-0.39855957,0.047569275
60,60,0.24,0,333.5352,90.544205,1.7828369,-0.012825012
61,61,0.244,0,334.09662,90.512924,0.5614319,-0.031280518
