,iteration,time,id,x,y,dx,dy
0,0,0.0,0,293.734,117.033356,-0.2659912,0.033355713
1,1,0.002,0,294.26498,117.027016,0.53097534,-0.006340027
2,2,0.004,0,294.99738,117.0058,0.73239136,-0.021217346
3,3,0.006,0,295.74847,117.00735,0.75109863,0.0015487671
4,4,0.008,0,296.0273,117.00504,0.2788391,-0.0023040771
5,5,0.01,0,295.52362,117.02095,-0.5036926,0.015907288
6,6,0.012,0,294.67258,117.06921,-0.8510437,0.04825592
7,7,0.014,0,293.87497,117.06433,-0.7976074,-0.004875183
8,8,0.016,0,293.6497,117.07788,-0.22528076,0.013549805
9,9,0.018,0,294.29214,116.995285,0.64245605,-0.082595825
10,10,0.02,0,295.28522,117.01393,0.9930725,0.01864624
11,11,0.022,0,295.97662,116.97664,0.69140625,-0.03729248
12,12,0.024,0,295.97668,116.976715,6.1035156e-05,7.6293945e-05
13,13,0.026,0,295.4808,116.986534,-0.49588013,0.009819031
14,14,0.028,0,294.4642,116.98884,-1.0166016,0.0023040771
15,15,0.03,0,293.92505,116.983444,-0.53915405,-0.005393982
16,16,0.032,0,293.92514,116.98338,9.1552734e-05,-6.1035156e-05
17,17,0.034,0,294.62555,116.88451,0.70040894,-0.09887695
18,18,0.036,0,295.39563,116.79906,0.77008057,-0.08544922
19,19,0.038,0,296.12485,116.72768,0.7292175,-0.071380615
20,20,0.04,0,296.125,116.72768,0.00015258789,0.0
21,21,0.042,0,295.42346,116.837166,-0.7015381,0.10948944
22,22,0.044,0,294.45416,116.89411,-0.9692993,0.0569458
23,23,0.046,0,293.9269,116.88386,-0.5272522,-0.010253906
24,24,0.048,0,293.92398,116.86502,-0.0029296875,-0.018836975
25,25,0.05,0,294.71188,116.78274,0.78790283,-0.08228302
26,26,0.052,0,295.61978,116.71736,0.90789795,-0.06537628
27,27,0.054,0,296.0526,116.617546,0.4328308,-0.09981537
28,28,0.056,0,295.80917,116.71292,-0.24343872,0.09537506
29,29,0.058,0,295.13528,116.768135,-0.67388916,0.05521393
30,30,0.06,0,294.4571,116.89293,-0.67819214,0.12479401
31,31,0.062,0,293.92456,116.88383,-0.53253174,-0.009101868
32,32,0.064,0,294.205,116.87313,0.28042603,-0.010696411
33,33,0.066,0,294.92365,116.8811,0.71865845,0.007972717
34,34,0.068,0,295.83994,116.78881,0.9162903,-0.092292786
35,35,0.07,0,296.1305,116.7725,0.29055786,-0.016311646
36,36,0.072,0,295.88382,116.84502,-0.24667358,0.072517395
37,37,0.074,0,294.9313,116.88293,-0.95251465,0.03791046
38,38,0.076,0,294.2045,116.88146,-0.72680664,-0.0014648438
39,39,0.078,0,293.92065,116.88684,-0.283844,0.005378723
40,40,0.08,0,294.22064,116.9025,0.2999878,0.015655518
41,41,0.082,0,295.0327,116.7724,0.81207275,-0.13009644
42,42,0.084,0,295.7957,116.74193,0.76297,-0.030471802
43,43,0.086,0,296.0848,116.72125,0.28912354,-0.02067566
44,44,0.088,0,295.58377,116.73473,-0.5010376,0.01348114
45,45,0.09,0,294.9614,116.816925,-0.6223755,0.08219147
46,46,0.092,0,294.187,116.83938,-0.77438354,0.022453308
47,47,0.094,0,293.91782,116.84963,-0.26919556,0.010253906
48,48,0.096,0,294.49722,116.81868,0.57940674,-0.030952454
49,49,0.098,0,295.31705,116.74396,0.8198242,-0.07472229
50,50,0.1,0,296.05612,116.71171,0.7390747,-0.03224945
51,51,0.102,0,296.05603,116.711586,-9.1552734e-05,-0.00012207031
52,52,0.104,0,295.53775,116.72311,-0.51828,0.011520386
53,53,0.106,0,294.5936,116.81424,-0.94415283,0.09113312
54,54,0.108,0,293.90955,116.843155,-0.6840515,0.028915405
55,55,0.11,0,293.90952,116.84325,-3.0517578e-05,9.1552734e-05
